document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/api_calling/scenarios.rst,Scenarios,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/from_on-premises_mongodb_to_dds.rst,From On-Premises MongoDB to DDS,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/from_other_cloud_mongodb_to_dds.rst,From Other Cloud MongoDB to DDS,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faqs/database_connection/how_do_i_install_robo_3t.rst,How Do I Install Robo 3T?,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001095974106.png,figure,16,screenshot,True,False,True,"Interactive buttons (e.g., 'Download Robo 3T') are green, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the Robo 3T download page. | Highlights the 'Download Robo 3T' button as described in step 1.,
umn/source/faqs/database_connection/how_do_i_install_robo_3t.rst,How Do I Install Robo 3T?,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001096133932.png,figure,24,screenshot,True,False,True,"Interactive elements (download links, 'Close' button) are not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the download dialog for Robo 3T 1.3. | Highlights the specific installer file mentioned in step 2.,
umn/source/faqs/database_connection/how_do_i_install_robo_3t.rst,How Do I Install Robo 3T?,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001142893921.png,figure,34,screenshot,True,False,True,"Interactive buttons ('Connect', 'Cancel') are grey, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the main window of Robo 3T. | Displays the MongoDB Connections dialog as described in step 4.,
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001095974050.png,figure,60,screenshot,True,False,True,"Interactive buttons are light gray/blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,incomplete,2,"Shows the MongoDB Connections dialog as described in the RST. | Buttons are not magenta or plain white, triggering hard fail.",
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001143133815.png,figure,70,screenshot,True,False,True,"Interactive buttons are light gray/blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,incomplete,2,"Shows the Connection Settings dialog matching the RST steps. | Buttons are not magenta or plain white, triggering hard fail.",
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001142773917.png,figure,78,screenshot,True,False,True,"Interactive buttons are light gray/blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,incomplete,2,"Shows the Authentication tab settings as described. | Buttons are not magenta or plain white, triggering hard fail.",
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001142773909.png,figure,86,screenshot,True,False,True,"Interactive buttons are light gray/blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,incomplete,2,"Shows the SSL tab settings with certificate path and hostname options. | Buttons are not magenta or plain white, triggering hard fail.",
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001096453848.png,figure,96,screenshot,True,False,True,"Interactive buttons are light gray/blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,incomplete,2,"Shows the configured connection ready to connect. | Buttons are not magenta or plain white, triggering hard fail.",
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001143053817.png,figure,120,screenshot,True,False,True,"Interactive buttons are light gray/blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,incomplete,2,"Shows the MongoDB Connections dialog for non-SSL setup. | Buttons are not magenta or plain white, triggering hard fail.",
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001142773911.png,figure,130,screenshot,True,False,True,"Interactive buttons are light gray/blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,incomplete,2,"Shows the Connection Settings dialog for non-SSL setup. | Buttons are not magenta or plain white, triggering hard fail.",
