document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001508295281.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/configuring_private_domain_names_for_ecss.rst,Configuring Private Domain Names for ECSs,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/best-practice/source/configuring_private_domain_names_for_ecss.rst,Configuring Private Domain Names for ECSs,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001394829705.png,figure,29,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/configuring_private_domain_names_for_ecss.rst,Configuring Private Domain Names for ECSs,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0173959206.png,figure,119,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/configuring_private_domain_names_for_ecss.rst,Configuring Private Domain Names for ECSs,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0131021386.png,substitution_image,333,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/configuring_private_domain_names_for_ecss.rst,Configuring Private Domain Names for ECSs,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001343763404.png,substitution_image,334,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001906813850.png,figure,27,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001906813838.png,figure,64,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows a 'Create Private Zone' dialog matching Figure 2 in the RST | Fields visible (Name, VPC, Email, Tags, Description) align with the RST step f instructions | The Name field hint mentions 'example.com' matching the RST example | VPC dropdown is present as described in the RST | OK and Cancel buttons are visible at the bottom of the dialog",The VPC dropdown value is partially obscured/redacted in the image
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001942373065.png,figure,104,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows an 'Add Record Set' dialog matching Figure 3 in the RST | Type field shows 'A – Map domains to IPv4 addresses' matching the RST instruction | Name field is blank with 'example.com' displayed beside it, matching the RST description | Value field is present for entering the private IP address as described | TTL field with preset options (300, 5 min, 1 h, 12 h, 1 day) is visible","The Value field is empty in the screenshot, so the actual private IP address is not shown"
