document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/configuring_private_domain_names_for_ecss.rst,Configuring Private Domain Names for ECSs,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001906813850.png,figure,27,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Matches the process flow diagram described in the RST. | Clearly illustrates the steps: Create private zone, Add A record, Configure DNS servers.",
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001906813838.png,figure,64,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"UI screenshot matches the 'Create Private Zone' section. | Interactive buttons are magenta, complying with the color rule.",
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001942373065.png,figure,104,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"UI screenshot matches the 'Add Record Set' section. | Interactive buttons are magenta, complying with the color rule.",
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001906973766.png,substitution_image,148,icon,False,False,False,,3,2,3,2,3,0.88,pass,,200,completed,1,Icon matches the region selector reference in the RST. | Low detail as it is a small symbolic graphic.,
umn/source/getting_started/configuring_a_ptr_record.rst,Configuring a PTR Record,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001906973554.png,figure,65,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Create PTR Record' form, which matches Figure 1 in the document. | It displays the EIP, Domain Name, and TTL fields described in step 5. | The 'OK' button is magenta, satisfying the color rule.",
umn/source/getting_started/configuring_a_ptr_record.rst,Configuring a PTR Record,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001906973550.png,figure,75,screenshot,True,False,True,"Interactive buttons (Modify, Delete) are blue, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image shows the PTR Records list, matching Figure 2. | It displays the EIP, Status, TTL, and Domain Name columns. | Hard fail triggered due to button color violation.",
umn/source/getting_started/configuring_a_ptr_record.rst,Configuring a PTR Record,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001906813654.png,substitution_image,88,icon,False,False,False,,2,2,3,3,3,0.83,pass,,200,completed,1,"The image is a location pin icon. | It corresponds to |image1| in step 4, used to select the region and project. | As an icon, the screenshot button color rule does not apply.",
umn/source/getting_started/configuring_a_public_zone.rst,Configuring a Public Zone,/home/ubuntu/repotesting/domain-name-service/umn/source/_static/images/en-us_image_0000001906813590.png,figure,31,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"Flowchart matches the process flow described in the RST. | Visually represents all steps: create zone, add A record, add subdomain A record, change DNS servers.",
