document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/configuring_private_domain_names_for_ecss.rst,Configuring Private Domain Names for ECSs,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faq/private_zones/how_can_i_map_the_private_ip_address_of_an_ecs_to_a_domain_name.rst,How Can I Map the Private IP Address of an ECS to a Domain Name?,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/getting_started/configuring_a_ptr_record.rst,Configuring a PTR Record,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/getting_started/configuring_a_public_zone.rst,Configuring a Public Zone,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/key_operations_recorded_by_cts/viewing_traces.rst,Viewing Traces,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/overview/private_domain_name_resolution.rst,Private Domain Name Resolution,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/overview/product_concepts/record_set.rst,Record Set,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/overview/product_concepts/region_and_az.rst,Region and AZ,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/overview/public_domain_name_resolution.rst,Public Domain Name Resolution,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/overview/reverse_resolution.rst,Reverse Resolution,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/permissions_management/creating_a_user_and_granting_dns_permissions.rst,Creating a User and Granting DNS Permissions,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/private_zones/associating_a_vpc_with_a_private_zone.rst,Associating a VPC with a Private Zone,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/private_zones/creating_a_private_zone.rst,Creating a Private Zone,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/private_zones/disassociating_a_vpc_from_a_private_zone.rst,Disassociating a VPC from a Private Zone,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/private_zones/managing_private_zones.rst,Managing Private Zones,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/ptr_records/creating_a_ptr_record.rst,Creating a PTR Record,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/ptr_records/managing_ptr_records.rst,Managing PTR Records,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/public_zones/configuring_dnssec.rst,Configuring DNSSEC,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/public_zones/creating_a_public_zone.rst,Creating a Public Zone,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/quota_adjustment.rst,Quota Adjustment,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/adding_record_sets/adding_a_cname_record_set.rst,Adding a CNAME Record Set,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/adding_record_sets/adding_a_ptr_record_set.rst,Adding a PTR Record Set,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/adding_record_sets/adding_a_txt_record_set.rst,Adding a TXT Record Set,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/adding_record_sets/adding_an_a_record_set.rst,Adding an A Record Set,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/adding_record_sets/adding_an_aaaa_record_set.rst,Adding an AAAA Record Set,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/adding_record_sets/adding_an_mx_record_set.rst,Adding an MX Record Set,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/adding_record_sets/adding_an_srv_record_set.rst,Adding an SRV Record Set,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/configuring_a_wildcard_dns_record_set.rst,Configuring a Wildcard DNS Record Set,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/exporting_record_sets.rst,Exporting Record Sets,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/importing_record_sets.rst,Importing Record Sets,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/managing_record_sets.rst,Managing Record Sets,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/record_sets/record_set_overview.rst,Record Set Overview,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
