document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
doc/dev-guide/source/request_format/index.rst,Request Format,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/dev-guide/source/request_format/index.rst,Request Format,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000002563735547.png,figure,35,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/request_format/request_example.rst,Request Example,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/dev-guide/source/request_format/request_example.rst,Request Example,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0173496405.png,figure,55,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/audit_using_cts/viewing_traces.rst,Viewing Traces,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000002359774578.png,substitution_image,101,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal bars), used in step 1 as the menu to open Management & Deployment > Cloud Trace Service. | It is an isolated UI symbol rather than a full interface screenshot. | Relevant to the login/navigation step but does not show trace-specific content.",No surrounding console UI is visible to confirm the exact menu location.
umn/source/backup_using_cbr/backing_up_an_ecs.rst,Backing Up an ECS,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000002188678994.png,substitution_image,81,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location pin icon, consistent with its use in the RST as a region/project selector in the upper-left corner of the management console. | It is referenced in both the ECS Backup Procedure (step 2) and the EVS Disk Backup Procedure (step 2) for selecting a region and project. | The icon is clearly visible and identifiable as a location/region pin symbol. | No contradictions between the image content and the RST description.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is specifically the region selector in the OTC console."
umn/source/backup_using_cbr/backing_up_an_ecs.rst,Backing Up an ECS,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000001128656892.png,substitution_image,82,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small downward chevron/arrow icon, consistent with its use in the RST as a clickable element to expand and view disks attached to ECSs. | It is referenced in the EVS Disk Backup Procedure under the 'Server List' field for viewing attached disks. | The chevron shape is a common UI convention for expanding/collapsing a list, matching the 'view the disks' context. | No contradictions between the image content and the RST description.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is specifically the disk-expansion control in the backup configuration dialog."
umn/source/cloud_eye_monitoring/creating_alarm_rules.rst,Creating Alarm Rules,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000002188678994.png,substitution_image,51,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Small location pin/marker icon used as a navigation element | Referenced in RST step 2 as the icon to click for selecting region and project | Icon is a generic UI symbol for location/region selection, not specific to alarm rules | Consistent with the described action of selecting a region and project in the upper left corner","Icon is very small and low-resolution, making fine details hard to discern | No surrounding UI context visible to confirm its placement in the upper left corner"
umn/source/cloud_eye_monitoring/viewing_ecs_metrics.rst,Viewing ECS Metrics,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000002188678994.png,substitution_image,53,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin / map-marker icon, consistent with a region selector in a cloud management console. | In the RST, |image1| is referenced in step 2: 'Click |image1| in the upper left corner and select a region and project,' which aligns with a location/region icon. | The icon is a generic region selector symbol, not specific to ECS metrics, so topic match is partial. | No interactive button controls are visible; it is an isolated pictogram.",The icon does not show any text label or surrounding UI context to confirm it is specifically the region selector in this particular console. | No indication of the project selector portion of the control is visible in the image.
umn/source/disks/detaching_an_evs_disk_from_a_running_ecs.rst,Detaching an EVS Disk from a Running ECS,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000002188678994.png,substitution_image,141,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small isolated location-pin (map marker) symbol, matching the 'icon' classification. | In the RST, |image1| is referenced in Procedure step 2: 'Click |image1| in the upper left corner and select a region and project,' which is consistent with a region/location selector icon. | The icon is a generic region selector, not specific to EVS disk detachment, so topic and detail match are moderate rather than exact. | The visual content (a location pin) is clearly visible and unambiguous. | No contradiction between the icon and the surrounding procedure text.","The image does not show the surrounding console UI, so the exact placement ('upper left corner') cannot be visually confirmed. | No label or text accompanies the icon to confirm it is the region/project selector."
umn/source/disks/overview.rst,Overview,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0205523160.png,figure,16,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/eips/binding_an_eip.rst,Binding an EIP,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000002188678994.png,substitution_image,48,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"Small location pin / map marker icon used as the region/project selector | Referenced in step 2: 'Click |image1| in the upper left corner and select a region and project' | The icon is a generic location symbol commonly used for region selection in cloud consoles | It is a simple isolated pictogram, not a full UI screenshot","The icon is very small and low-resolution, making it hard to confirm exact visual details | No surrounding UI context is visible to confirm it is in the upper left corner of the console"
umn/source/eips/enabling_internet_connectivity_for_an_ecs_without_an_eip_bound.rst,Enabling Internet Connectivity for an ECS Without an EIP Bound,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0128851717.png,substitution_image,176,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"Image is referenced as |image2| in step 6: 'On the Network Interfaces tab, click ... Then, disable Source/Destination Check.' | The graphic is a small downward chevron/arrow, a common expand/collapse UI symbol, consistent with clicking to reveal network interface details. | It is a small isolated UI symbol, classified as an icon. | The icon is generic and low-resolution, so its specific meaning is inferred from context rather than explicit labeling.","No surrounding UI is shown to confirm the exact control the chevron represents. | The icon is small and blurry, limiting detail verification."
umn/source/eips/modifying_an_eip_bandwidth.rst,Modifying an EIP Bandwidth,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000002188678994.png,substitution_image,32,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker symbol, consistent with a region/project selector icon. | In the RST, |image1| is referenced in Procedure step 2: 'Click |image1| in the upper left corner and select a region and project,' which matches a location/region icon. | The icon is an isolated symbolic graphic, not a full UI screenshot, so it is classified as an icon. | No interactive button styling or magenta elements are present.","The image does not show surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or text accompanies the icon to explicitly confirm it is the region/project selector."
umn/source/eips/overview.rst,Overview,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0178890066.png,figure,16,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
