document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/cloud_eye/creating_an_alarm_rule.rst,Creating an Alarm Rule,en-us_image_0000002389328437.png,screenshot,pass,1.00,"Image is a full screenshot of the 'Create Alarm Rule' form in the Cloud Eye management console | Shows all parameters mentioned in step 6: Name, Description, Alarm Type, Resource Type, Dimension, Monitoring Scope, Group, Method, Template, Alarm Notification, Notification Object, Notification Window, Trigger Condition, Advanced Settings, Enterprise Project | Includes the 'Create' button at the bottom right, matching the RST instruction to 'click Create' | Directly corresponds to Figure 1 captioned 'Creating an alarm rule' in the RST",
umn/source/cloud_eye/creating_an_alarm_rule.rst,Creating an Alarm Rule,en-us_image_0000002355688332.png,icon,pass,1.00,"Small location pin / map marker icon, consistent with a region selector | Referenced in RST step 2 as the icon to click 'to select a region and a project' | The location pin symbol is semantically appropriate for region selection in a cloud console",
umn/source/cloud_eye/creating_an_alarm_rule.rst,Creating an Alarm Rule,en-us_image_0000002389448333.png,icon,pass,1.00,"Small hamburger menu icon (three horizontal lines), consistent with a service list / navigation menu toggle | Referenced in RST step 3 as the icon to click 'to open the service list and choose Management & Deployment > Cloud Eye' | The hamburger menu symbol is semantically appropriate for opening a service navigation list",
umn/source/cloud_eye/exporting_monitoring_data.rst,Exporting Monitoring Data,en-us_image_0141273034.png,icon,pass,0.90,"The image is a small gray location-pin / map-marker pictogram, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is referenced in step 2 as the control to click in the upper left corner to select the desired region and project, which matches a region/location selector icon. | The icon appears in the Procedure section and is directly tied to the region-selection step of the export workflow. | The visual content (a teardrop location marker with a central dot) is clear and unambiguous, providing strong visual evidence for a region selector. | No contradiction exists between the icon and the surrounding text.","The image alone does not show the surrounding console UI, so the exact placement in the upper-left corner cannot be confirmed from the image itself. | No label or tooltip is visible in the icon to explicitly confirm it is the region/project selector."
umn/source/cloud_eye/viewing_metrics.rst,Viewing Metrics,en-us_image_0000001818982734.png,icon,partial,0.77,Image is a location pin icon used as |image1| and |image3| in the RST | RST instructs to click this icon in the upper left corner to select region and project | A location pin is a standard icon for region/project selection in cloud consoles | The icon is clearly visible and matches its described purpose,No additional context about the specific cloud platform UI is visible in the icon itself
umn/source/cloud_eye/viewing_metrics.rst,Viewing Metrics,en-us_image_0000001865663457.png,icon,partial,0.77,Image is a hamburger menu icon (three horizontal lines) used as |image2| in the RST | RST instructs to click this icon to choose Network > Elastic IP | A hamburger menu is a standard icon for opening service navigation in cloud consoles | The icon is visible and consistent with its described navigation purpose,The icon is slightly blurry but still identifiable as a hamburger menu | No additional UI context is visible in the isolated icon
umn/source/cloud_eye/viewing_metrics.rst,Viewing Metrics,en-us_image_0000001865663461.png,icon,partial,0.77,Image is a hamburger menu icon (three horizontal lines) used as |image4| in the RST | RST instructs to click this icon to open the service list and choose Management & Deployment > Cloud Eye | A hamburger menu is a standard icon for opening service lists in cloud consoles | The icon is visible and consistent with its described navigation purpose,The icon is slightly blurry but still identifiable as a hamburger menu | No additional UI context is visible in the isolated icon
umn/source/elastic_ip/adding_eips_to_a_shared_bandwidth.rst,Adding EIPs to a Shared Bandwidth,en-us_image_0000001925251293.png,screenshot,pass,1.00,"Image shows the 'Add to Shared Bandwidth' dialog exactly as described in Figure 1 of the RST | Dialog contains EIP field, Select Shared Bandwidth dropdown, bandwidth info, and OK/Cancel buttons matching step 5-6 of the procedure | The info banner about EIP using shared bandwidth aligns with the note in the RST",
umn/source/elastic_ip/adding_eips_to_a_shared_bandwidth.rst,Adding EIPs to a Shared Bandwidth,en-us_image_0000001925410917.png,icon,pass,0.88,"Image is a location pin icon referenced as |image1| in step 2 for selecting region and project | A location/map pin icon is semantically appropriate for a region selector in a cloud console | The icon is small and slightly blurry, limiting detail assessment","Icon is very small and low-resolution, making it difficult to confirm exact visual details | Cannot verify if this is the exact icon used in the specific console version referenced"
umn/source/elastic_ip/adding_eips_to_a_shared_bandwidth.rst,Adding EIPs to a Shared Bandwidth,en-us_image_0000001879491934.png,icon,pass,0.88,"Image is a hamburger menu icon (three horizontal lines) referenced as |image2| in step 3 for opening navigation to choose Network > Elastic IP | A hamburger menu icon is semantically appropriate for opening a navigation menu in a cloud console | The icon is small and slightly blurry, limiting detail assessment","Icon is very small and low-resolution, making it difficult to confirm exact visual details | Cannot verify if this is the exact icon used in the specific console version referenced"
