document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/cloud_eye/viewing_metrics.rst,Viewing Metrics,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001818982734.png,substitution_image,37,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Image is a location pin icon used as |image1| and |image3| in the RST | RST instructs to click this icon in the upper left corner to select region and project | A location pin is a standard icon for region/project selection in cloud consoles | The icon is clearly visible and matches its described purpose,No additional context about the specific cloud platform UI is visible in the icon itself
umn/source/cloud_eye/viewing_metrics.rst,Viewing Metrics,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001865663457.png,substitution_image,36,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Image is a hamburger menu icon (three horizontal lines) used as |image2| in the RST | RST instructs to click this icon to choose Network > Elastic IP | A hamburger menu is a standard icon for opening service navigation in cloud consoles | The icon is visible and consistent with its described navigation purpose,The icon is slightly blurry but still identifiable as a hamburger menu | No additional UI context is visible in the isolated icon
umn/source/cloud_eye/viewing_metrics.rst,Viewing Metrics,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001865663461.png,substitution_image,38,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Image is a hamburger menu icon (three horizontal lines) used as |image4| in the RST | RST instructs to click this icon to open the service list and choose Management & Deployment > Cloud Eye | A hamburger menu is a standard icon for opening service lists in cloud consoles | The icon is visible and consistent with its described navigation purpose,The icon is slightly blurry but still identifiable as a hamburger menu | No additional UI context is visible in the isolated icon
umn/source/elastic_ip/eip_overview.rst,EIP Overview,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001844364154.png,figure,16,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/elastic_ip/exporting_eips.rst,Exporting EIPs,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001818982734.png,substitution_image,31,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'select the desired region and project' in step 2. | A location pin is a standard UI symbol for region/area selection in cloud management consoles. | The icon is small and symbolic, fitting the 'icon' classification. | No contradiction between the icon and its described usage in the procedure.",The icon is generic and not specific to EIPs; it could represent any region selector in any cloud console. | No visible text or label on the icon to confirm it is specifically for region selection.
umn/source/elastic_ip/exporting_eips.rst,Exporting EIPs,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001818982822.png,substitution_image,32,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to open a navigation menu and choose 'Network > Elastic IP' in step 3. | A hamburger menu is a standard UI symbol for opening navigation menus in management consoles. | The icon is small and symbolic, fitting the 'icon' classification. | No contradiction between the icon and its described usage in the procedure.",The icon is generic and not specific to EIPs or the Network section; it could represent any navigation menu. | No visible text or label on the icon to confirm it is specifically for the Network/Elastic IP navigation.
umn/source/elastic_ip/modifying_an_eip_bandwidth.rst,Modifying an EIP Bandwidth,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001818982734.png,substitution_image,38,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Small location-pin / map-marker icon used as the region and project selector in step 2 | Matches the RST instruction: 'Click |image1| in the upper left corner and select the desired region and project' | Generic navigation icon; not specific to EIP bandwidth modification but part of the procedure workflow,No surrounding UI context visible; only the isolated icon is shown | Cannot confirm the exact label or tooltip associated with this icon from the image alone
umn/source/elastic_ip/modifying_an_eip_bandwidth.rst,Modifying an EIP Bandwidth,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001818982822.png,substitution_image,39,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Hamburger / three-line menu icon used as the navigation menu trigger in step 3 | Matches the RST instruction: 'Click |image2| in the upper left corner, and choose Network > Elastic IP' | Standard navigation icon; part of the procedure but not specific to bandwidth modification",No surrounding UI context visible; only the isolated icon is shown | Cannot confirm the menu items (Network > Elastic IP) from the image alone
umn/source/elastic_ip/removing_eips_from_a_shared_bandwidth.rst,Removing EIPs from a Shared Bandwidth,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001879576152.png,substitution_image,36,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a location pin / map marker icon, consistent with step 2's instruction to select region and project | Icon is small and symbolic, appropriate for a region selector in the upper left corner | Semantically relevant to the navigation steps but not the core topic of removing EIPs","Icon is very small and low-resolution, making fine details hard to discern"
umn/source/elastic_ip/removing_eips_from_a_shared_bandwidth.rst,Removing EIPs from a Shared Bandwidth,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001925495185.png,substitution_image,37,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines), consistent with step 3's instruction to open navigation and choose Network > Elastic IP | Standard navigation menu icon appropriate for the upper left corner of a management console | Semantically relevant to the navigation steps but not the core topic of removing EIPs","Icon is very small and low-resolution, making fine details hard to discern"
umn/source/faqs/bandwidth/what_are_inbound_bandwidth_and_outbound_bandwidth.rst,What Are Inbound Bandwidth and Outbound Bandwidth?,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001486922646.png,figure,16,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/faqs/connectivity/what_should_i_do_if_an_eip_cannot_be_pinged.rst,What Should I Do If an EIP Cannot Be Pinged?,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001223659800.png,figure,21,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/faqs/connectivity/what_should_i_do_if_an_eip_cannot_be_pinged.rst,What Should I Do If an EIP Cannot Be Pinged?,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0250117342.png,figure,116,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Terminal screenshot showing iptables -L output on a Linux ECS (ecs-3c4e) | Displays Chain INPUT with ACCEPT icmp echo-request and Chain OUTPUT with ACCEPT icmp echo-reply | Matches Figure 2 'Checking firewall rules' referenced in the Checking Firewall Settings section | Confirms no ICMP rule is blocking ping operations as described in the RST,
