document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/cloud_eye/creating_an_alarm_rule.rst,Creating an Alarm Rule,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/cloud_eye/exporting_monitoring_data.rst,Exporting Monitoring Data,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/cloud_eye/viewing_metrics.rst,Viewing Metrics,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elastic_ip/adding_eips_to_a_shared_bandwidth.rst,Adding EIPs to a Shared Bandwidth,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elastic_ip/assigning_an_eip_and_binding_it_to_an_ecs.rst,Assigning an EIP and Binding It to an ECS,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elastic_ip/eip_overview.rst,EIP Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elastic_ip/exporting_eips.rst,Exporting EIPs,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elastic_ip/managing_eip_tags.rst,Managing EIP Tags,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elastic_ip/modifying_an_eip_bandwidth.rst,Modifying an EIP Bandwidth,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elastic_ip/removing_eips_from_a_shared_bandwidth.rst,Removing EIPs from a Shared Bandwidth,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000002531823460.png,figure,29,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"Screenshot displays the 'Remove from Shared Bandwidth' dialog, directly matching step 6 of the procedure. | Shows the EIP bandwidth selection options and the magenta 'OK' button as described. | Interactive buttons are magenta, complying with the mandatory color rule.",
umn/source/elastic_ip/removing_eips_from_a_shared_bandwidth.rst,Removing EIPs from a Shared Bandwidth,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001879576152.png,substitution_image,36,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,2,"Icon depicts a location pin, used in step 2 to select the desired region and project. | Matches standard cloud console UI for geographic selection.",
umn/source/elastic_ip/removing_eips_from_a_shared_bandwidth.rst,Removing EIPs from a Shared Bandwidth,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001925495185.png,substitution_image,37,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,2,Hamburger menu icon corresponds to the main navigation menu referenced in step 3. | Used to access the Network > Elastic IP path as described in the procedure.,
umn/source/elastic_ip/unbinding_an_eip_from_an_ecs_and_releasing_the_eip.rst,Unbinding an EIP from an ECS and Releasing the EIP,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001818982734.png,substitution_image,70,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a location pin icon, which semantically matches the instruction to click an icon to select the region.",
umn/source/elastic_ip/unbinding_an_eip_from_an_ecs_and_releasing_the_eip.rst,Unbinding an EIP from an ECS and Releasing the EIP,/home/ubuntu/repotesting/elastic-ip/umn/source/_static/images/en-us_image_0000001818982822.png,substitution_image,71,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a hamburger menu icon, which aligns with the instruction to click an icon to open the navigation menu for Network > Elastic IP.",
umn/source/faqs/bandwidth/what_are_inbound_bandwidth_and_outbound_bandwidth.rst,What Are Inbound Bandwidth and Outbound Bandwidth?,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/faqs/connectivity/how_does_an_ipv6_client_on_the_internet_access_the_ecs_that_has_an_eip_bound_in_a_vpc.rst,How Does an IPv6 Client on the Internet Access the ECS That Has an EIP Bound in a VPC?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/connectivity/what_should_i_do_if_an_eip_cannot_be_pinged.rst,What Should I Do If an EIP Cannot Be Pinged?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/eip_binding_and_unbinding/how_do_i_access_the_internet_using_an_eip_bound_to_an_extended_network_interface.rst,How Do I Access the Internet Using an EIP Bound to an Extended Network Interface?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/product_consultation/how_do_i_unbind_an_eip_from_an_instance_and_bind_a_new_eip_to_the_instance.rst,How Do I Unbind an EIP from an Instance and Bind a New EIP to the Instance?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/product_consultation/managing_quotas.rst,Managing Quotas,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/product_consultation/what_are_the_differences_between_eip_private_ip_address_and_virtual_ip_address.rst,"What Are the Differences Between EIP, Private IP Address, and Virtual IP Address?",,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/product_consultation/why_cant_i_find_my_assigned_eip_on_the_management_console.rst,Why Can't I Find My Assigned EIP on the Management Console?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/permissions_management/creating_a_user_and_granting_eip_permissions.rst,Creating a User and Granting EIP Permissions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quick_start/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quick_start/step_1_create_a_vpc.rst,Step 1: Create a VPC,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quick_start/step_2_create_a_subnet_for_the_vpc.rst,Step 2: Create a Subnet for the VPC,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quick_start/step_3_assign_an_eip_and_bind_it_to_an_ecs.rst,Step 3: Assign an EIP and Bind It to an ECS,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quick_start/step_4_create_a_security_group.rst,Step 4: Create a Security Group,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quick_start/step_5_add_a_security_group_rule.rst,Step 5: Add a Security Group Rule,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/service_overview/region_and_az.rst,Region and AZ,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/what_is_elastic_ip.rst,What Is Elastic IP?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/shared_bandwidth/adding_eips_to_a_shared_bandwidth.rst,Adding EIPs to a Shared Bandwidth,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/shared_bandwidth/assigning_a_shared_bandwidth.rst,Assigning a Shared Bandwidth,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/shared_bandwidth/deleting_a_shared_bandwidth.rst,Deleting a Shared Bandwidth,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/shared_bandwidth/exporting_shared_bandwidths.rst,Exporting Shared Bandwidths,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/shared_bandwidth/modifying_a_shared_bandwidth.rst,Modifying a Shared Bandwidth,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/shared_bandwidth/removing_eips_from_a_shared_bandwidth.rst,Removing EIPs from a Shared Bandwidth,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
