document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/examples/deleting_a_dedicated_load_balancer.rst,Deleting a Dedicated Load Balancer,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/examples/deleting_a_dedicated_load_balancer.rst,Deleting a Dedicated Load Balancer,/home/ubuntu/repotesting/elastic-load-balancing/umn/source/_static/images/en-us_image_0294158472.png,figure,17,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/overview.rst,Overview,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/overview.rst,Overview,/home/ubuntu/repotesting/elastic-load-balancing/umn/source/_static/images/en-us_image_0000001625619210.png,figure,16,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/overview.rst,Overview,/home/ubuntu/repotesting/elastic-load-balancing/umn/source/_static/images/en-us_image_0000001673939077.png,figure,37,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/routing_traffic_to_backend_servers_in_different_vpcs_from_the_load_balancer.rst,Routing Traffic to Backend Servers in Different VPCs from the Load Balancer,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/routing_traffic_to_backend_servers_in_different_vpcs_from_the_load_balancer.rst,Routing Traffic to Backend Servers in Different VPCs from the Load Balancer,/home/ubuntu/repotesting/elastic-load-balancing/umn/source/_static/images/en-us_image_0000001674059065.png,figure,21,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/routing_traffic_to_backend_servers_in_different_vpcs_from_the_load_balancer.rst,Routing Traffic to Backend Servers in Different VPCs from the Load Balancer,/home/ubuntu/repotesting/elastic-load-balancing/umn/source/_static/images/en-us_image_0000001674259057.png,figure,81,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/routing_traffic_to_backend_servers_in_different_vpcs_from_the_load_balancer.rst,Routing Traffic to Backend Servers in Different VPCs from the Load Balancer,/home/ubuntu/repotesting/elastic-load-balancing/umn/source/_static/images/en-us_image_0000001625459302.png,figure,104,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/routing_traffic_to_backend_servers_in_different_vpcs_from_the_load_balancer.rst,Routing Traffic to Backend Servers in Different VPCs from the Load Balancer,/home/ubuntu/repotesting/elastic-load-balancing/umn/source/_static/images/en-us_image_0000001674139185.png,figure,116,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
