document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/examples/deleting_a_dedicated_load_balancer.rst,Deleting a Dedicated Load Balancer,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/overview.rst,Overview,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/routing_traffic_to_backend_servers_in_different_vpcs_from_the_load_balancer.rst,Routing Traffic to Backend Servers in Different VPCs from the Load Balancer,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/routing_traffic_to_backend_servers_in_different_vpcs/routing_traffic_to_backend_servers_in_the_same_vpc_as_the_load_balancer.rst,Routing Traffic to Backend Servers in the Same VPC as the Load Balancer,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/using_advanced_forwarding_for_application_iteration.rst,Using Advanced Forwarding for Application Iteration,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/backend_server_shared_load_balancers/configuring_security_group_and_firewall_rules.rst,Configuring Security Group and Firewall Rules,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
umn/source/backend_server_shared_load_balancers/managing_backend_servers/adding_backend_servers.rst,Adding Backend Servers,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/backend_server_shared_load_balancers/managing_backend_servers/changing_backend_server_weights.rst,Changing Backend Server Weights,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/backend_server_shared_load_balancers/managing_backend_servers/removing_backend_servers.rst,Removing Backend Servers,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/backend_server_shared_load_balancers/managing_backend_servers/viewing_backend_servers.rst,Viewing Backend Servers,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/certificate/creating_modifying_or_deleting_a_certificate.rst,"Creating, Modifying, or Deleting a Certificate",,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/certificate/querying_a_listener_by_certificate.rst,Querying a Listener by Certificate,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/certificate/replacing_a_certificate.rst,Replacing a Certificate,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faq/backend_servers/how_do_i_check_the_status_of_a_backend_server.rst,How Do I Check the Status of a Backend Server?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faq/health_checks/how_do_i_troubleshoot_an_unhealthy_backend_server.rst,How Do I Troubleshoot an Unhealthy Backend Server?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faq/load_balancers/how_does_elb_distribute_traffic.rst,How Does ELB Distribute Traffic?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faq/load_balancers/what_is_quota.rst,What Is Quota?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
