document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/appendix/evs_disk_status.rst,EVS Disk Status,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002335530225.png,figure,71,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/attaching_an_existing_evs_disk/attaching_an_existing_shared_disk.rst,Attaching an Existing Shared Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002301563098.png,substitution_image,72,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a location pin / map marker icon, a small symbolic graphic used as a UI element. | The RST references it as the region/project selector in the upper left corner (step 2 of the Procedure). | The icon is a standard navigation element, not directly depicting disk attachment but necessary for the procedure. | The visual matches the described action of selecting a region and project.",No surrounding UI context is visible; only the isolated icon is shown. | No label or text accompanies the icon to confirm it is specifically the region selector.
umn/source/attaching_an_existing_evs_disk/attaching_an_existing_shared_disk.rst,Attaching an Existing Shared Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002335522209.jpg,substitution_image,73,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), a small symbolic navigation graphic. | The RST references it as the menu to open in the upper left corner to navigate to Storage > Elastic Volume Service (step 3 of the Procedure). | The icon is a generic navigation element, not directly depicting disk attachment but required for the procedure. | The visual matches the described action of opening a navigation menu.",No surrounding UI context is visible; only the isolated icon is shown. | No label or text accompanies the icon to confirm it is specifically the main navigation menu.
umn/source/attaching_an_existing_evs_disk/attaching_an_existing_system_disk.rst,Attaching an Existing System Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002335562397.png,substitution_image,56,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin / map marker icon, consistent with a region and project selector in the upper-left corner of a cloud console. | The RST step 2 says 'Click |image1| in the upper left corner and select the desired region and project,' which matches the function of a location/region icon. | The icon is a generic navigation element used in the Procedure section; it is relevant to the overall task of attaching a system disk but not specific to the disk-attachment topic itself.","The image is a small, low-resolution icon; no surrounding UI context (e.g., the full console header) is visible to confirm it is the exact region selector used in the EVS console."
umn/source/attaching_an_existing_evs_disk/attaching_an_existing_system_disk.rst,Attaching an Existing System Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002301563082.jpg,substitution_image,57,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with a navigation menu in the upper-left corner of a cloud console. | The RST step 3 says 'Click |image2| in the upper left corner and choose Storage > Elastic Volume Service,' which matches the function of a navigation menu icon. | The icon is a generic navigation element used in the Procedure section; it is relevant to the overall task but not specific to the disk-attachment topic itself.","The image is a small, low-resolution icon; no surrounding UI context (e.g., the full console header or menu items) is visible to confirm it is the exact navigation menu used in the EVS console."
umn/source/creating_and_using_an_evs_disk.rst,Creating and Using an EVS Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002015229526.png,figure,38,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/creating_and_using_an_evs_disk.rst,Creating and Using an EVS Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002051547313.png,figure,12,other,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"The image is a process flow diagram (schematic), not a UI screenshot or isolated icon, so it is classified as 'other'. | It depicts the EVS usage workflow: users -> Create disks -> Attach disks -> Initialize data disks, matching the RST caption 'Figure 1 Process of using EVS'. | The stages align with the document's described steps (create an EVS disk, attach the data disk, initialize the data disk). | No interactive controls or buttons are visible in the diagram.","The diagram does not explicitly label system vs. data disk creation, which the RST table distinguishes."
umn/source/expanding_evs_disk_capacity/expansion_overview.rst,Expansion Overview,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002146742298.png,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/faq/general/how_do_i_change_the_name_of_my_disk.rst,How Do I Change the Name of My Disk?,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002301561710.png,substitution_image,52,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Location pin icon used for region/project selection in step 2 of the procedure | The RST states 'Click |image1| in the upper left corner and select the desired region and project' | A location pin is a standard symbol for region/area selection | The icon is small and low-resolution but identifiable as a map pin,The icon is very small and lacks surrounding UI context to confirm it appears in the upper left corner of a console
umn/source/faq/performance/why_does_my_disk_performance_test_using_fio_have_incorrect_results.rst,Why Does My Disk Performance Test Using Fio Have Incorrect Results?,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002278862556.png,figure,27,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
