document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/appendix/evs_disk_status.rst,EVS Disk Status,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002335530225.png,figure,71,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a flowchart illustrating transitions between EVS disk statuses. | It directly supports the section's topic and aligns with the table listing disk statuses and their allowed operations. | The diagram accurately depicts the workflow from 'Creating' to 'Available', 'Attaching', 'In-use', 'Detaching', and 'Error', matching the document's description.",
umn/source/attaching_an_existing_evs_disk/attaching_an_existing_non-shared_disk.rst,Attaching an Existing Non-Shared Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002301563090.png,substitution_image,62,icon,False,False,False,,2,2,3,3,3,0.83,pass,,200,completed,1,"The image shows a location pin icon, which semantically aligns with the procedure step to select a region and project.",
umn/source/attaching_an_existing_evs_disk/attaching_an_existing_non-shared_disk.rst,Attaching an Existing Non-Shared Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002335522197.jpg,substitution_image,63,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a hamburger menu icon, which is the standard UI symbol for opening a navigation menu to access Storage and Elastic Volume Service.",
umn/source/attaching_an_existing_evs_disk/attaching_an_existing_shared_disk.rst,Attaching an Existing Shared Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002301563098.png,substitution_image,72,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which corresponds to the RST instruction for selecting a region.",
umn/source/attaching_an_existing_evs_disk/attaching_an_existing_shared_disk.rst,Attaching an Existing Shared Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002335522209.jpg,substitution_image,73,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a hamburger menu icon, which corresponds to the RST instruction for opening the navigation menu.",
umn/source/attaching_an_existing_evs_disk/attaching_an_existing_system_disk.rst,Attaching an Existing System Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002335562397.png,substitution_image,56,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a map pin icon, which semantically matches the RST instruction to select a region and project.",
umn/source/attaching_an_existing_evs_disk/attaching_an_existing_system_disk.rst,Attaching an Existing System Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002301563082.jpg,substitution_image,57,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a hamburger menu icon, which semantically matches the RST instruction to open the navigation menu to select Storage > Elastic Volume Service.",
umn/source/changing_the_evs_disk_type_beta.rst,Changing the EVS Disk Type (Beta),/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002335563257.png,figure,84,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches the 'Modify Specifications' page described in step 5. | Clearly shows the disk type dropdown selection interface and current configuration details.,
umn/source/changing_the_evs_disk_type_beta.rst,Changing the EVS Disk Type (Beta),/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002301561710.png,substitution_image,93,icon,False,False,False,,3,2,3,2,3,0.88,pass,,200,completed,1,Represents the region/project selector icon referenced in step 2. | Low resolution but recognizable as a location pin.,Image is low resolution and blurry.
umn/source/changing_the_evs_disk_type_beta.rst,Changing the EVS Disk Type (Beta),/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002493265210.jpg,substitution_image,94,icon,False,False,False,,3,2,3,2,3,0.88,pass,,200,completed,1,Represents the main navigation menu icon referenced in step 3. | Low resolution but recognizable as a hamburger menu.,Image is low resolution and blurry.
umn/source/creating_and_using_an_evs_disk.rst,Creating and Using an EVS Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002051547313.png,figure,12,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a flowchart illustrating the high-level process of using an EVS disk. | It aligns with Figure 1's description, visually representing the steps: Create disks, Attach disks, and Initialize data disks.",
umn/source/creating_and_using_an_evs_disk.rst,Creating and Using an EVS Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002015229526.png,figure,38,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a step-by-step flowchart that matches the process described for Figure 2. | It accurately depicts the four numbered steps from the RST: Preparations, Create an EVS disk, Attach the disk, and Initialize the disk.",
umn/source/detaching_and_deleting_an_evs_disk/deleting_an_evs_disk.rst,Deleting an EVS Disk,/home/ubuntu/repotesting/elastic-volume-service/umn/source/_static/images/en-us_image_0000002301561710.png,substitution_image,56,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a location pin icon, which aligns with the instruction to select a region and project. | The icon clearly represents the UI element referenced in step 2 of the document.",
