document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/accessing_the_project_management_page.rst,Accessing the Project Management Page,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/application_scenarios.rst,Application Scenarios,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enterprise_personnel_management/authorizing_a_user_group_to_manage_an_enterprise_project.rst,Authorizing a User Group to Manage an Enterprise Project,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enterprise_personnel_management/authorizing_a_user_to_manage_an_enterprise_project.rst,Authorizing a User to Manage an Enterprise Project,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001937385958.png,figure,29,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image is a screenshot of the Enterprise Project details page, directly aligning with the document's topic. | It clearly shows the 'Permissions' tab selected and the 'Authorize User' button, matching the procedural step exactly. | The interactive buttons are magenta, satisfying the mandatory color constraint.",
umn/source/enterprise_personnel_management/removing_users_from_an_enterprise_project.rst,Removing Users from an Enterprise Project,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001964308565.png,figure,29,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches step 3 of the procedure. | Shows the Enterprise Project details page with the Permissions tab selected. | Clearly displays the 'Authorize User' button as instructed.,
umn/source/enterprise_personnel_management/removing_users_from_an_enterprise_project.rst,Removing Users from an Enterprise Project,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001964314613.png,figure,37,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches step 4 of the procedure. | Shows the IAM Users page. | Highlights a specific username to be clicked to access details.,
umn/source/enterprise_personnel_management/removing_users_from_an_enterprise_project.rst,Removing Users from an Enterprise Project,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001964318045.png,figure,47,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches step 5 of the procedure. | Shows the Permissions tab for a user. | Highlights the 'By Enterprise Project' button and the 'Delete' action in the Operation column.,
umn/source/enterprise_project_management/creating_an_enterprise_project.rst,Creating an Enterprise Project,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001213644769.png,figure,35,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the 'Create Enterprise Project' dialog with a magenta 'OK' button, matching the procedure steps.",
umn/source/enterprise_project_management/creating_an_enterprise_project.rst,Creating an Enterprise Project,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001936655078.png,figure,41,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows the 'Enterprise Project Management Service' page with the magenta 'Create Enterprise Project' button and the opened dialog.,
umn/source/enterprise_project_management/modifying_enabling_or_disabling_an_enterprise_project.rst,"Modifying, Enabling, or Disabling an Enterprise Project",/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001936823890.png,figure,36,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the Enterprise Project Management page with the 'More' dropdown open for an enabled project, highlighting 'Modify', which matches the 'Modifying an Enterprise Project' section.",
umn/source/enterprise_project_management/modifying_enabling_or_disabling_an_enterprise_project.rst,"Modifying, Enabling, or Disabling an Enterprise Project",/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001963828029.png,figure,73,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the Enterprise Project Management page with the 'More' dropdown open for a disabled project, highlighting 'Enable', which matches the 'Enabling an Enterprise Project' section.",
umn/source/enterprise_project_management/modifying_enabling_or_disabling_an_enterprise_project.rst,"Modifying, Enabling, or Disabling an Enterprise Project",/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001963830609.png,figure,94,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the Enterprise Project Management page with the 'More' dropdown open for an enabled project, highlighting 'Disable', which matches the 'Disabling an Enterprise Project' section.",
umn/source/enterprise_project_management/selecting_an_enterprise_project_for_a_new_cloud_resource.rst,Selecting an Enterprise Project for a New Cloud Resource,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/enterprise_project_resource_management/adding_resources_to_an_enterprise_project.rst,Adding Resources to an Enterprise Project,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enterprise_project_resource_management/removing_resources_from_an_enterprise_project.rst,Removing Resources from an Enterprise Project,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enterprise_project_resource_management/viewing_migration_events.rst,Viewing Migration Events,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enterprise_project_resource_management/viewing_resources_in_an_enterprise_project.rst,Viewing Resources in an Enterprise Project,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/how_do_i_obtain_an_enterprise_project_id.rst,How Do I Obtain an Enterprise Project ID?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/what_are_the_differences_between_iam_and_enterprise_management.rst,What Are the Differences Between IAM and Enterprise Management,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/what_are_the_differences_between_iam_projects_and_enterprise_projects.rst,What Are the Differences Between IAM Projects and Enterprise Projects?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/multi-project_management/procedure.rst,Procedure,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/multi-project_management/scenario.rst,Scenario,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/recording_tms_operations_using_cts/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
