document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/api_usage_guidelines.rst,API Usage Guidelines,en-us_image_0000001427131632.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/associations/association_overview.rst,Association Overview,en-us_image_0000001477452077.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/associations/creating_an_association_for_an_attachment_in_a_route_table.rst,Creating an Association for an Attachment in a Route Table,en-us_image_0000001674900098.png,screenshot,pass,1.00,"Image shows the Enterprise Router page with a router named 'er-test' and a search bar at the top, matching Figure 1 'Searching for an enterprise router' | The search fields (Name, Enter a keyword, Search by Tag) are visible, consistent with step 4 of the RST | Router details (Status, AZ, ID, ASN, Default Route Table Association) are displayed as expected on the Enterprise Router page",
umn/source/associations/creating_an_association_for_an_attachment_in_a_route_table.rst,Creating an Association for an Attachment in a Route Table,en-us_image_0000001675131132.png,screenshot,pass,1.00,"Image shows the Route Tables view with 'defaultRouteTable' selected and the Associations tab active, matching Figure 2 'Create Association' | The 'Create Association' button is clearly visible, consistent with step 6 of the RST | An existing association (Virtual gateway, vgw-d85f) is shown in the table, demonstrating the association list",
umn/source/associations/creating_an_association_for_an_attachment_in_a_route_table.rst,Creating an Association for an Attachment in a Route Table,en-us_image_0000001190483836.png,icon,pass,0.88,"Image is a small location pin icon, used in step 2 as |image1| for selecting region and project | A location/region pin icon is semantically appropriate for a region and project selector in a cloud management console | The icon is small and symbolic, consistent with an inline UI element referenced in the procedure","The icon is very small and low-resolution, making it difficult to confirm exact visual details | No surrounding UI context is visible to confirm it appears in the upper left corner as described"
umn/source/associations/deleting_an_association_from_a_route_table.rst,Deleting an Association from a Route Table,en-us_image_0000001674900098.png,screenshot,pass,0.90,"Image shows the Enterprise Router page with a search bar (Name dropdown + keyword field), matching RST step 4 'Search for the target enterprise router by name.' | The page displays router 'er-test' with details (Status, AZ, ID, ASN, etc.) and action buttons (Manage Route Table, Manage Attachment, etc.), consistent with the procedure context. | Labeled as Figure 1 in the RST, which is a prerequisite step before navigating to Route Tables to delete an association. | The search interface with 'Name' filter and 'Enter a keyword' field directly matches the described action.",The image does not show the actual deletion of an association; it only shows the router listing/search step.
umn/source/associations/deleting_an_association_from_a_route_table.rst,Deleting an Association from a Route Table,en-us_image_0000001675139170.png,screenshot,pass,1.00,"Image directly shows the Associations tab of a route table (defaultRouteTable) with a table containing ID, Status, Attachment Type, Attachment Name, and Operation columns. | A 'Delete' link is visible in the Operation column for a Virtual gateway attachment (vgw-d85f), exactly matching RST step 6: 'locate the association you want to delete and click Delete in the Operation column.' | Labeled as Figure 2 'Deleting an association' in the RST, which is the core action of the document. | The left panel shows the route table name and the top shows 'Create Route Table' button, consistent with the Route Tables tab context.",The confirmation dialog box mentioned in step 7 is not shown in this image.
umn/source/associations/deleting_an_association_from_a_route_table.rst,Deleting an Association from a Route Table,en-us_image_0000001190483836.png,icon,partial,0.72,"The image is a small location-pin / map-marker icon, used as the region/project selector in the upper-left corner of the management console. | RST step 2 references this as |image1|: 'Click |image1| in the upper left corner and select the desired region and project.' | The icon is a standard UI symbol for region selection, consistent with its described purpose. | It is a prerequisite navigation step, not directly related to the association deletion action itself.",The icon is very small and low-resolution; the exact label or tooltip is not visible. | No surrounding UI context is shown to confirm its placement in the upper-left corner.
umn/source/associations/viewing_associations_in_a_route_table.rst,Viewing Associations in a Route Table,en-us_image_0000001674900098.png,screenshot,pass,1.00,"Image shows the Enterprise Router page with a router named 'er-test' and its details (Status, AZ, ID, ASN, etc.) | Search bar with 'Name' filter and 'Enter a keyword' field is visible at the top, matching the RST step 4 description of searching for a target enterprise router by name | The page title 'Enterprise Router' and the 'Create Enterprise Router' button match the context of the procedure | Figure caption in RST is 'Searching for an enterprise router' which aligns with the visible search interface",
umn/source/associations/viewing_associations_in_a_route_table.rst,Viewing Associations in a Route Table,en-us_image_0000001723178213.png,screenshot,pass,1.00,"Image shows the Route Tables view with 'defaultRouteTable' selected and the 'Associations' tab active | The Associations table displays columns: ID, Status, Attachment Type, Attachment Name, Operation — matching the RST description of viewing settings such as ID, status, and name of each attachment | A virtual gateway attachment (vgw-d85f) is listed with Status 'Normal', consistent with the RST text about viewing attachments | Figure caption in RST is 'Viewing associations' which directly matches the content shown",
