document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/api_usage_guidelines.rst,API Usage Guidelines,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001427131632.png,figure,17,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/associations/association_overview.rst,Association Overview,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001477452077.png,figure,15,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/associations/deleting_an_association_from_a_route_table.rst,Deleting an Association from a Route Table,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,51,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location-pin / map-marker icon, used as the region/project selector in the upper-left corner of the management console. | RST step 2 references this as |image1|: 'Click |image1| in the upper left corner and select the desired region and project.' | The icon is a standard UI symbol for region selection, consistent with its described purpose. | It is a prerequisite navigation step, not directly related to the association deletion action itself.",The icon is very small and low-resolution; the exact label or tooltip is not visible. | No surrounding UI context is shown to confirm its placement in the upper-left corner.
umn/source/attachments/attachment_overview.rst,Attachment Overview,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001427131632.png,figure,11,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/attachments/modifying_the_basic_information_of_an_attachment.rst,Modifying the Basic Information of an Attachment,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,64,icon,False,False,False,,1,2,2,2,3,0.62,partial,,,,200,stop,1,"The image is a small location-pin icon, consistent with a region/project selector referenced in step 2 of the procedure. | The RST states 'Click |image1| in the upper left corner and select the desired region and project,' and a location pin is a common symbol for region selection. | The icon is a preliminary navigation element, not directly related to modifying attachment basic information. | No contradiction between the icon and its described usage in the RST.","The icon is shown in isolation without surrounding UI context, so its exact placement in the upper-left corner cannot be verified. | The icon does not directly illustrate the main topic of modifying attachment information."
umn/source/attachments/viewing_an_attachment.rst,Viewing an Attachment,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,75,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"Small location-pin icon used as |image1| in step 2 to select region and project, matching the RST reference. | It is an isolated UI symbol (pictogram), not a full screenshot. | Relevant to the procedure's region/project selection step.",The icon alone does not show the region/project selection dropdown it triggers. | No surrounding UI context is visible to confirm exact placement.
umn/source/attachments/virtual_gateway_attachments/deleting_a_virtual_gateway_attachment.rst,Deleting a Virtual Gateway Attachment,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,84,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small location pin icon, used in step 2 as the region/project selector | The RST instructs to 'Click |image1| in the upper left corner and select the desired region and project', and a location pin is a common symbol for region selection | The icon is generic and not specific to the virtual gateway deletion topic | No interactive controls are visible in the icon itself","The icon is very small and low-resolution, making it difficult to confirm exact visual details | No surrounding UI context is visible to confirm its placement in the upper left corner"
umn/source/attachments/vpc_attachments/deleting_a_vpc_attachment.rst,Deleting a VPC Attachment,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,52,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin icon used as an inline reference (|image1|) in step 2 of the procedure. | The RST instructs to 'Click |image1| in the upper left corner and select the desired region and project,' and a location pin is a common icon for region/project selection. | The icon is a generic UI element not specific to VPC attachment deletion, so topic match is moderate. | The visual clearly shows a teardrop-shaped location marker with a central dot, consistent with a region selector icon.","The icon is shown in isolation without surrounding UI context, so it is not possible to confirm it is specifically the region/project selector from the management console. | No label or text accompanies the icon to confirm its exact function."
umn/source/attachments/vpn_gateway_attachments/deleting_a_vpn_gateway_attachment.rst,Deleting a VPN Gateway Attachment,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,68,icon,False,False,False,,1,2,2,3,3,0.67,partial,,,,200,stop,1,"Image is a small location pin icon used in step 2 to select region and project | The icon is a generic navigation element, not specific to VPN gateway attachment deletion | The location pin is semantically appropriate for region/project selection as described in the RST","No context of the surrounding UI is visible to confirm placement in upper left corner | The icon is very small and low-resolution, making fine details unclear"
umn/source/attachments/vpn_gateway_attachments/deleting_a_vpn_gateway_attachment.rst,Deleting a VPN Gateway Attachment,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001432667421.png,substitution_image,69,icon,False,False,False,,1,2,2,3,3,0.67,partial,,,,200,stop,1,"Image is a small left-pointing chevron/arrow icon used in step 7 to navigate back from attachment details page | The back arrow is a generic navigation element, not specific to VPN gateway attachment deletion | The icon is semantically appropriate for going back to the VPN gateway list as described in the RST","No context of the surrounding UI is visible to confirm placement in upper left corner | The icon is very small and low-resolution, making fine details unclear"
umn/source/enterprise_routers/deleting_an_enterprise_router.rst,Deleting an Enterprise Router,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,48,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small gray location pin/marker icon, consistent with a region or project selector in a cloud management console | Referenced in step 2 as the element to click in the upper left corner to select region and project | The icon is a standard pictogram for location/region selection, semantically appropriate for the described action | It is an isolated symbolic graphic (icon), not a full UI screenshot",The icon alone does not show the dropdown or selection interface for choosing region and project | No surrounding UI context is visible to confirm its exact placement in the upper left corner
umn/source/enterprise_routers/viewing_an_enterprise_router.rst,Viewing an Enterprise Router,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,52,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Small location-pin icon used as |image1| in step 2: 'Click |image1| in the upper left corner and select the desired region and project.' | The icon is a standard region/project selector pictogram, consistent with the RST instruction. | It is a generic UI element rather than a direct illustration of viewing an enterprise router, so topic and detail match are moderate. | No interactive controls visible; it is an isolated symbolic graphic.",The icon alone does not show the region/project dropdown or selection UI that the RST step describes.
umn/source/faq/how_do_i_route_traffic_to_100.64.x.x_through_an_enterprise_router.rst,How Do I Route Traffic to 100.64.x.x Through an Enterprise Router?,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001446449166.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/flow_logs/creating_a_flow_log.rst,Creating a Flow Log,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,110,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Small gray location-pin icon used as |image1| in step 2 for selecting region and project | The icon is a standard location/region marker, semantically appropriate for region selection in a cloud management console | It is a simple pictogram without any text or complex UI elements","The icon is very small and low-resolution, making it difficult to confirm exact visual details | No surrounding UI context is visible to confirm its placement in the upper-left corner as described in the RST"
umn/source/flow_logs/disabling_a_flow_log.rst,Disabling a Flow Log,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,54,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Small location pin / map marker icon used as |image1| in step 2 for selecting region and project | The icon is a simple symbolic graphic appropriate for a region selector | It is referenced in the RST as the element to click in the upper left corner for region/project selection,"The icon is very small and low-resolution, making it hard to confirm exact visual details | No surrounding UI context is visible to confirm its placement in the upper left corner"
umn/source/flow_logs/enabling_a_flow_log.rst,Enabling a Flow Log,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,54,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small location pin / map marker icon | Referenced in RST step 2 as the icon to click in the upper left corner to select region and project | The location pin icon is semantically appropriate for region/project selection | It is a generic UI navigation element, not specific to flow logs","The icon is very small and low-resolution, making fine details hard to discern | No surrounding UI context is visible to confirm its placement in the upper left corner"
umn/source/flow_logs/flow_log_overview.rst,Flow Log Overview,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001411390629.png,figure,25,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/flow_logs/viewing_details_about_a_flow_log.rst,Viewing Details About a Flow Log,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000001190483836.png,substitution_image,118,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small gray location pin icon, used as |image1| in step 2 of the RST for selecting region and project. | It is a generic region/location selector icon, not specific to flow logs or enterprise routers. | The icon is consistent with a typical region selector in cloud management consoles. | No contradiction with the RST text which simply says to click this icon to select region and project.","The icon is very small and low-resolution, making it difficult to confirm exact visual details. | No surrounding UI context is visible to confirm its placement in the upper left corner as described in the RST."
umn/source/getting_started/selecting_a_networking_scheme.rst,Selecting a Networking Scheme,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000002245898521.png,figure,12,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/selecting_a_networking_scheme.rst,Selecting a Networking Scheme,/home/ubuntu/repotesting/enterprise-router/umn/source/_static/images/en-us_image_0000002210980342.png,figure,19,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
