document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/api_usage_guidelines.rst,API Usage Guidelines,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/associations/association_overview.rst,Association Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/associations/creating_an_association_for_an_attachment_in_a_route_table.rst,Creating an Association for an Attachment in a Route Table,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/associations/deleting_an_association_from_a_route_table.rst,Deleting an Association from a Route Table,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/associations/viewing_associations_in_a_route_table.rst,Viewing Associations in a Route Table,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/attachments/attachment_overview.rst,Attachment Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/attachments/modifying_the_basic_information_of_an_attachment.rst,Modifying the Basic Information of an Attachment,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/attachments/viewing_an_attachment.rst,Viewing an Attachment,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/attachments/virtual_gateway_attachments/deleting_a_virtual_gateway_attachment.rst,Deleting a Virtual Gateway Attachment,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/attachments/vpc_attachments/creating_a_vpc_attachment.rst,Creating a VPC Attachment,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/attachments/vpc_attachments/deleting_a_vpc_attachment.rst,Deleting a VPC Attachment,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/attachments/vpn_gateway_attachments/deleting_a_vpn_gateway_attachment.rst,Deleting a VPN Gateway Attachment,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enterprise_routers/creating_an_enterprise_router.rst,Creating an Enterprise Router,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enterprise_routers/deleting_an_enterprise_router.rst,Deleting an Enterprise Router,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enterprise_routers/modifying_an_enterprise_router.rst,Modifying an Enterprise Router,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
