document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000002246324504.png,figure,31,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000002246483728.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/before_you_start/permissions_management/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001252067292.png,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/before_you_start/process_of_using_functiongraph.rst,Process of Using FunctionGraph,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001252067288.png,figure,34,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/before_you_start/process_of_using_functiongraph.rst,Process of Using FunctionGraph,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001629968978.png,figure,75,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is a FunctionGraph Dashboard screenshot showing Functions panel (Max Functions, Created Functions, Max Storage, Used Storage) and Monthly Statistics panel (Invocations, Resource Usage). | Matches the RST 'Introduction to Dashboard' section which describes viewing created functions/function quota, used storage/storage quota, and monthly invocations and resource usage. | Bar charts for Jun/Jul/Aug 2023 and 'Last 3 months'/'Last 6 months' toggle are visible, consistent with the dashboard description.","The RST also mentions tenant-level metrics (errors, duration, throttles) which are not visible in this particular screenshot view."
umn/source/before_you_start/process_of_using_functiongraph.rst,Process of Using FunctionGraph,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000002024507229.png,substitution_image,104,other,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is a vertical flowchart titled 'FunctionGraph' showing six sequential steps connected by arrows. | The six steps (Set permissions, Create a function, Configure the function, Test the function, View the execution result, View metrics) exactly match the numbered list in the RST that follows the image reference. | The image is placed in the RST immediately after 'To quickly create a function using FunctionGraph, do as follows:' and before the step list, serving as a visual summary of the process.",
umn/source/faqs/general_faqs/how_does_functiongraph_implement_domain_name_resolution.rst,How Does FunctionGraph Implement Domain Name Resolution?,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000002248343474.png,substitution_image,120,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"Image is a small gear/settings icon used as an inline reference |image1| in the RST | The RST instructs to click this icon and select Domain Name in the search box to obtain a zone ID | The icon is a generic settings symbol, appropriate for a navigation action in the DNS console","The icon is very small and low-resolution, making it hard to confirm exact visual details | No surrounding UI context is visible to confirm the exact location in the DNS console"
umn/source/service_overview/what_is_functiongraph.rst,What Is FunctionGraph?,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001212740388.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
