document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/before_you_start/process_of_using_functiongraph.rst,Process of Using FunctionGraph,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001252067288.png,figure,34,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a flowchart illustrating the process of using FunctionGraph, directly matching the 'Process' section of the document.",
umn/source/before_you_start/process_of_using_functiongraph.rst,Process of Using FunctionGraph,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001629968978.png,figure,75,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the FunctionGraph dashboard with monthly statistics and function/storage quotas, matching the 'Introduction to Dashboard' section.",
umn/source/before_you_start/process_of_using_functiongraph.rst,Process of Using FunctionGraph,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000002024507229.png,substitution_image,104,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a flowchart of the quick start steps, matching the numbered list in the document.",
umn/source/configuring_dependencies/configuring_dependency_packages.rst,Configuring Dependency Packages,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001709193044.png,figure,59,screenshot,True,False,True,"Interactive button 'Delete' is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the 'Delete' control in the Operation column, matching the RST instruction to click the delete icon. | The interactive control is blue, which violates the mandatory magenta or plain white color rule.",
umn/source/configuring_dependencies/configuring_dependency_packages.rst,Configuring Dependency Packages,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001757072025.png,figure,100,screenshot,True,False,True,"Interactive button 'Delete' is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the 'Delete' control in the Operation column, matching the RST instruction to click the delete icon. | The interactive control is blue, which violates the mandatory magenta or plain white color rule.",
umn/source/configuring_functions/configuring_asynchronous_notification_policy.rst,Configuring Asynchronous Notification Policy,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001298786917.png,figure,29,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Shows the 'Edit' button for the Asynchronous Notification Policy, matching the procedure step. | UI matches the described configuration page.",
umn/source/configuring_functions/configuring_asynchronous_notification_policy.rst,Configuring Asynchronous Notification Policy,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001702539580.png,figure,37,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Displays the parameter configuration page for asynchronous notifications. | Shows Max. Retries, Max. Validity Period, and notification targets as described in the documentation.",
umn/source/configuring_functions/configuring_dynamic_memory.rst,Configuring Dynamic Memory,/home/ubuntu/repotesting/function-graph/umn/source/_static/images/en-us_image_0000001298507537.png,figure,29,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the Function List table with a function name highlighted, matching the instruction to select a created function.",
