document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/before_you_start/permissions_management/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/before_you_start/process_of_using_functiongraph.rst,Process of Using FunctionGraph,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_dependencies/configuring_dependency_packages.rst,Configuring Dependency Packages,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_dependencies/dependent_libraries.rst,Dependent Libraries,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_a_log_group_and_log_stream.rst,Configuring a Log Group and Log Stream,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_agency_permissions.rst,Configuring Agency Permissions,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_asynchronous_notification_policy.rst,Configuring Asynchronous Notification Policy,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_concurrency.rst,Configuring Concurrency,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_disk_mounting.rst,Configuring Disk Mounting,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_dynamic_memory.rst,Configuring Dynamic Memory,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_environment_variables.rst,Configuring Environment Variables,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_function_aliases.rst,Configuring Function Aliases,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_initialization.rst,Configuring Initialization,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_networks.rst,Configuring Networks,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_functions/configuring_versions.rst,Configuring Versions,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_reserved_instances.rst,Configuring Reserved Instances,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
