document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/api_usage_guidelines/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/api_usage_guidelines/response.rst,Response,/home/ubuntu/repotesting/gaussdb-mysql/umn/source/_static/images/en-us_image_0000001427231638.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/gaussdb-mysql/umn/source/_static/images/en-us_image_0000001828922089.png,figure,63,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/gaussdb-mysql/umn/source/_static/images/en-us_image_0000001828921437.png,figure,31,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/getting_started/connecting_to_a_db_instance_over_a_private_network/step_1_create_a_db_instance.rst,Step 1: Create a DB Instance,/home/ubuntu/repotesting/gaussdb-mysql/umn/source/_static/images/en-us_image_0000001352219100.png,substitution_image,131,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location pin/marker icon, consistent with a region selector in a cloud management console. | The RST step 2 instructs the user to click this icon in the upper left corner to select a region and project, which aligns with a location/region pin symbol. | The icon is generic and not specific to GaussDB or DB instance creation, but it is semantically appropriate for region selection. | No contradiction between the icon and the surrounding RST text.","The icon does not show any surrounding UI context (e.g., the management console header) to confirm it is the exact region selector used in the GaussDB console. | No label or text accompanies the icon to explicitly identify it as a region/project selector."
umn/source/getting_started/connecting_to_a_db_instance_over_a_public_network/step_3_configure_security_group_rules.rst,Step 3: Configure Security Group Rules,/home/ubuntu/repotesting/gaussdb-mysql/umn/source/_static/images/en-us_image_0000001352219100.png,substitution_image,73,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin (map marker) pictogram, consistent with an isolated UI symbol rather than a full screenshot. | In the RST, |image1| is referenced in Procedure step 2: 'Click |image1| in the upper left corner and select a region and a project,' which matches a region/location selector icon. | The icon is semantically appropriate for selecting a region/project in a cloud management console, aligning with the navigation steps of the security group configuration procedure. | No contradiction between the icon and the surrounding text; the location pin reasonably represents a region selector.","The image is an isolated icon without surrounding UI context, so it cannot be confirmed as the exact region-selector control of the specific console. | No label or text accompanies the icon to explicitly confirm its function as a region/project selector."
umn/source/getting_started/connecting_to_a_db_instance_over_a_public_network/step_4_connect_to_a_db_instance_over_a_public_network.rst,Step 4: Connect to a DB Instance over a Public Network,/home/ubuntu/repotesting/gaussdb-mysql/umn/source/_static/images/en-us_image_0000001352219100.png,substitution_image,147,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small location-pin/marker icon, consistent with a region selector in a cloud management console. | RST step 2 of the SSL section says 'Click |image1| in the upper left corner and select a region and a project', which matches a location/region icon. | The icon is generic and not specific to GaussDB, but semantically appropriate for region selection.",The icon is very small and low-resolution; exact console context is not visible.
umn/source/getting_started/connecting_to_a_db_instance_over_a_public_network/step_4_connect_to_a_db_instance_over_a_public_network.rst,Step 4: Connect to a DB Instance over a Public Network,/home/ubuntu/repotesting/gaussdb-mysql/umn/source/_static/images/en-us_image_0000001352538904.png,substitution_image,148,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small download icon (downward arrow with a tray/line at the bottom). | RST step 4 of the SSL section says 'click |image2| in the SSL field to download the root certificate or certificate bundle', which matches a download icon. | The icon is generic and not specific to GaussDB, but semantically appropriate for a download action.",The icon is very small and low-resolution; exact console context is not visible.
