document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendixes/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/getting_started_with_gaussdbfor_cassandra/connecting_to_a_gaussdbfor_cassandra_instance_over_private_networks/creating_a_gaussdbfor_cassandra_instance.rst,Creating a GaussDB(for Cassandra) Instance,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0000001139224537.png,substitution_image,141,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a refresh icon, which directly matches the textual instruction to click the icon to refresh DB instance statuses.",
umn/source/getting_started_with_gaussdbfor_cassandra/connecting_to_a_gaussdbfor_cassandra_instance_over_public_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0000001139129187.png,substitution_image,33,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a location pin icon, which directly corresponds to the instruction to click it to select a region and project.",
umn/source/logging_in_to_the_gaussdb_nosql_console.rst,Logging In to the GaussDB NoSQL Console,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0000001092187390.png,substitution_image,22,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which directly corresponds to the RST instruction to select a region.",
umn/source/working_with_gaussdbfor_cassandra/auditing/querying_traces.rst,Querying Traces,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0160430768.png,substitution_image,40,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a location pin icon, which aligns with the instruction in step 2 to click it for selecting a region and project.",
umn/source/working_with_gaussdbfor_cassandra/auditing/querying_traces.rst,Querying Traces,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0108820738.png,substitution_image,41,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a downward-pointing chevron, a standard UI symbol for expanding or revealing details, matching the instruction in step 6.",
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0000001139129107.png,substitution_image,42,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a pencil icon, which is a standard symbol for editing, aligning with the RST instruction to change the instance name.",
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0000001139224555.png,substitution_image,43,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a pencil icon, consistent with the RST description of clicking to edit the DB Instance Name field.",
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0000001092187298.png,substitution_image,44,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a green checkmark icon, which semantically represents confirmation or submission, matching the RST instruction to submit the change.",
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0000001092058816.png,substitution_image,45,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a magenta 'X' icon, which is a standard symbol for canceling or closing, aligning with the RST instruction to cancel the change.",
umn/source/working_with_gaussdbfor_cassandra/parameter_template_management/modifying_a_parameter_template_description.rst,Modifying a Parameter Template Description,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0000001139224635.png,substitution_image,24,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The pencil icon visually represents the 'edit' or 'modify' action referenced in step 3 of the procedure.,
umn/source/working_with_gaussdbfor_cassandra/parameter_template_management/modifying_a_parameter_template_description.rst,Modifying a Parameter Template Description,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0000001092347040.png,substitution_image,25,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The checkmark icon visually represents the 'submit' action referenced in step 4 of the procedure.,
umn/source/working_with_gaussdbfor_cassandra/parameter_template_management/modifying_a_parameter_template_description.rst,Modifying a Parameter Template Description,/home/ubuntu/repotesting/gaussdb-nosql/umn/source/_static/images/en-us_image_0000001138926357.png,substitution_image,26,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The 'X' icon visually represents the 'cancel' action referenced in step 4 of the procedure.,
