document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/gaussdb-opengauss/umn/source/_static/images/en-us_image_0000001917290800.jpg,figure,61,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/gaussdb-opengauss/umn/source/_static/images/en-us_image_0000001917130848.png,figure,33,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/gaussdb-opengauss/umn/source/_static/images/en-us_image_0000001917290796.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/getting_started/operation_guide.rst,Operation Guide,/home/ubuntu/repotesting/gaussdb-opengauss/umn/source/_static/images/en-us_image_0000002088677762.png,figure,12,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/basic_concepts.rst,Basic Concepts,/home/ubuntu/repotesting/gaussdb-opengauss/umn/source/_static/images/en-us_image_0000002088518190.png,figure,60,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/working_with_gaussdb/data_backup/configuring_an_automated_backup_policy_for_instances.rst,Configuring an Automated Backup Policy for Instances,/home/ubuntu/repotesting/gaussdb-opengauss/umn/source/_static/images/en-us_image_0000002088517922.png,substitution_image,86,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with step 2 which instructs the user to click it to select a region and project. | A location/region selector icon is semantically appropriate for choosing a region in a cloud management console. | The icon is a small, isolated UI symbol with no visible interactive controls or text. | No contradiction between the icon and the surrounding RST text.","The icon is generic and does not show any specific region or project name, so it cannot be verified against a particular console layout."
umn/source/working_with_gaussdb/data_backup/configuring_an_automated_backup_policy_for_instances.rst,Configuring an Automated Backup Policy for Instances,/home/ubuntu/repotesting/gaussdb-opengauss/umn/source/_static/images/en-us_image_0000002124197217.png,substitution_image,87,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with step 3 which instructs the user to click it to open a navigation menu and choose Databases > GaussDB. | A hamburger menu icon is a standard UI symbol for opening a navigation drawer, matching the described action. | The icon is a small, isolated UI symbol with no visible interactive controls or text. | No contradiction between the icon and the surrounding RST text.","The icon is generic and does not show any menu items or labels, so the specific 'Databases > GaussDB' path cannot be visually confirmed from the image alone."
