document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_a_db_instance_over_a_public_network.rst,Connecting to a DB Instance over a Public Network,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_an_instance_over_a_private_network.rst,Connecting to an Instance over a Private Network,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_an_instance_through_das.rst,Connecting to an Instance Through DAS,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/connecting_to_a_db_instance_using_a_driver/using_odbc_to_connect_to_a_database.rst,Using ODBC to Connect to a Database,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/creating_a_db_instance.rst,Creating a DB Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/example_using_das_to_connect_to_an_instance_and_execute_sql_statements.rst,Example: Using DAS to Connect to an Instance and Execute SQL Statements,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/operation_guide.rst,Operation Guide,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/basic_concepts.rst,Basic Concepts,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/what_is_gaussdb.rst,What Is GaussDB?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_gaussdb/data_backup/configuring_an_automated_backup_policy_for_instances.rst,Configuring an Automated Backup Policy for Instances,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/working_with_gaussdb/data_backup/creating_a_manual_backup_for_instances.rst,Creating a Manual Backup for Instances,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/working_with_gaussdb/data_backup/deleting_a_manual_backup.rst,Deleting a Manual Backup,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_gaussdb/data_backup/exporting_backup_information.rst,Exporting Backup Information,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_gaussdb/data_restoration/restoring_a_backup_file_to_a_db_instance.rst,Restoring a Backup File to a DB Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/working_with_gaussdb/data_restoration/restoring_a_db_instance_to_a_specific_point_in_time.rst,Restoring a DB Instance to a Specific Point in Time,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
