document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendixes/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,fail,,kein valides Bild,No model result was produced.
umn/source/getting_started_with_gaussdbfor_cassandra/connecting_to_a_gaussdbfor_cassandra_instance_over_private_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,en-us_image_0000001092346948.png,icon,pass,0.90,"The image is a small gray location-pin / map-marker icon, matching the region/project selector icon referenced in step 2 of the procedure. | The RST step 2 states 'Click |image1| in the upper left corner and select a region and a project', which aligns with a location-pin region selector icon. | The icon is an isolated symbolic graphic with no surrounding UI, so it is classified as an icon rather than a screenshot. | No interactive controls or buttons are visible within the image itself.",No text label or surrounding console UI is visible to confirm the exact console context. | The icon is generic; its specific function (region selector) is inferred from the RST text rather than visible labels.
umn/source/getting_started_with_gaussdbfor_cassandra/connecting_to_a_gaussdbfor_cassandra_instance_over_private_networks/creating_a_gaussdbfor_cassandra_instance.rst,Creating a GaussDB(for Cassandra) Instance,en-us_image_0000001139224537.png,icon,pass,1.00,"The image is a small refresh/reload icon (circular arrow) inside a button-like border, matching the RST reference |image1|. | The RST states 'You can click |image1| in the upper right corner of the page to refresh the DB instance statuses,' which directly corresponds to a refresh icon. | The icon is used in the section describing viewing and managing DB instances after creation, so it is topically and sectionally relevant. | The visual content (circular refresh arrow) clearly supports the described refresh action, with no contradiction to the text.","The icon is low-resolution, but the refresh symbol is still clearly identifiable. | No surrounding UI context is shown, only the isolated refresh button icon."
umn/source/getting_started_with_gaussdbfor_cassandra/connecting_to_a_gaussdbfor_cassandra_instance_over_public_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,en-us_image_0000001139129187.png,icon,partial,0.77,"The image is a small location-pin icon, matching the RST reference |image1| used in step 2 to select a region and project. | A location/region selector icon is semantically consistent with 'select a region and a project' in the management console procedure. | The icon is an isolated symbolic graphic, correctly classified as an icon rather than a screenshot. | No contradiction between the icon and its described purpose in the procedure.",The icon is generic; it does not show the actual console UI context (region/project dropdown) it represents. | No label or text accompanies the icon to confirm it is the region selector.
umn/source/getting_started_with_gaussdbfor_cassandra/connecting_to_a_gaussdbfor_cassandra_instance_over_public_networks/creating_a_gaussdbfor_cassandra_instance.rst,Creating a GaussDB(for Cassandra) Instance,en-us_image_0000001139224537.png,icon,pass,1.00,"The image is a small refresh/reload icon (circular arrow in a bordered button), matching the RST reference |image1| used to refresh DB instance statuses. | The RST explicitly states 'You can click |image1| in the upper right corner of the page to refresh the DB instance statuses,' which aligns with a refresh icon. | The icon appears in the section describing viewing and managing DB instances after creation, so it is topically and sectionally relevant. | The visual content (circular refresh arrow) directly supports the described refresh action, with no contradiction to the text.","The image is an isolated icon without surrounding UI context, so its exact placement in the upper-right corner cannot be visually confirmed. | No label or text accompanies the icon, so its meaning is inferred from the RST description."
umn/source/logging_in_to_the_gaussdb_nosql_console.rst,Logging In to the GaussDB NoSQL Console,en-us_image_0000001092187390.png,icon,pass,1.00,"The image is a small gray location-pin (map marker) icon, an isolated symbolic graphic. | The RST step 2 instructs to click this image in the upper left corner to select a region and a project, which matches a region-selector pin icon. | The icon is consistent with the region/project selector used in cloud management consoles, fitting the login procedure topic. | No visible contradiction between the icon and the surrounding RST text.",Only the isolated icon is shown; no surrounding console UI or menu context is visible. | No text label in the image explicitly confirms it is the region/project selector.
umn/source/working_with_gaussdbfor_cassandra/auditing/querying_traces.rst,Querying Traces,en-us_image_0160430768.png,icon,pass,1.00,"The image is a location pin icon, consistent with the RST instruction to 'Click |image1| in the upper left corner and select a region and a project.' | A location/region pin is the standard UI symbol for selecting a region in cloud management consoles. | The icon is used in step 2 of the Procedure section, which deals with logging in and selecting region/project before navigating to Cloud Trace Service. | The visual content (a map/location pin) directly matches the semantic purpose described in the RST.","The image is very small and low-resolution, making fine details hard to discern, but the shape is clearly a location pin."
umn/source/working_with_gaussdbfor_cassandra/auditing/querying_traces.rst,Querying Traces,en-us_image_0108820738.png,icon,pass,1.00,"The image is a downward-pointing chevron (V-shape), consistent with the RST instruction to 'Click |image2| to the left of the record to be queried to extend its details.' | A downward chevron is the standard UI symbol for expanding a collapsed row or section in a table/list. | The icon is used in step 6 of the Procedure section, which describes expanding trace record details before viewing the trace. | The visual content (a downward arrow/chevron) directly matches the semantic purpose of expanding details described in the RST.","The image is very small and low-resolution, but the V/chevron shape is clearly identifiable."
umn/source/working_with_gaussdbfor_cassandra/backups_and_restorations/managing_automated_backups.rst,Managing Automated Backups,en-us_image_0000001139129197.png,icon,pass,1.00,"The image is a toggle switch icon, consistent with the RST instruction to 'click |image1| to disable the backup policy'. | The toggle is shown in the 'on' (active) state, which aligns with the user needing to click it to turn the policy off. | The image is placed in the 'Disabling Automated Backup Policy' section, directly matching its semantic role. | No contradictions between the image content and the surrounding text.","The image does not show the surrounding dialog box context, only the isolated toggle icon."
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,en-us_image_0000001139129107.png,icon,pass,1.00,"Pencil/edit icon matches the RST description of clicking an icon to the right of the instance to change its name | Icon is semantically appropriate for an edit/modify action in Method 1, Step 2 | The icon is a small symbolic graphic representing an edit action",No surrounding UI context visible; only the isolated icon is shown
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,en-us_image_0000001139224555.png,icon,pass,1.00,"Pencil/edit icon matches the RST description of clicking an icon in the DB Instance Name field to change the instance name | Icon is semantically appropriate for an edit action in Method 2, Step 3 | The icon is a small symbolic graphic representing an edit action",No surrounding UI context visible; only the isolated icon is shown
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,en-us_image_0000001092187298.png,icon,pass,1.00,"Checkmark icon matches the RST description of clicking to submit the name change | Icon is semantically appropriate for a confirm/submit action in Method 2, Step 3 | The icon is a small symbolic graphic representing confirmation",No surrounding UI context visible; only the isolated icon is shown
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,en-us_image_0000001092058816.png,icon,pass,1.00,"X/cross icon matches the RST description of clicking to cancel the name change | Icon is semantically appropriate for a cancel/close action in Method 2, Step 3 | The icon is a small symbolic graphic representing cancellation",No surrounding UI context visible; only the isolated icon is shown
umn/source/working_with_gaussdbfor_cassandra/monitoring_and_alarm_reporting/viewing_metrics.rst,Viewing Metrics,en-us_image_0000001092506886.png,icon,pass,0.93,"The image is a small expand/enlarge pictogram (two diagonal arrows), matching the RST instruction to 'click |image1| to enlarge the graph' in the Procedure section. | It is directly referenced as image1 in step 4 of the viewing-metrics procedure, so it is topically and sectionally relevant. | The visual content (diagonal expand arrows) is consistent with an 'enlarge graph' control, with no contradiction to the text. | The icon is low-resolution and lacks any label or button chrome, so it is classified as an isolated UI symbol rather than a full interactive button.","The image is very small and blurry, making the exact icon style hard to confirm. | No text label or surrounding UI context is visible to confirm it is the specific 'enlarge' control on the Cloud Eye page."
