document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendixes/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,fail,,kein valides Bild,No model result was produced.
umn/source/getting_started_with_geminidb_cassandra/connecting_to_a_geminidb_cassandra_instance_over_private_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,en-us_image_0000002417594484.png,icon,pass,0.90,"The image is a small gray location-pin / map-marker icon, matching the region/project selector icon referenced in step 2. | The RST step 2 states 'Click |image1| in the upper left corner and select a region and a project', which aligns with a location/region pin icon. | The icon is used within the Procedure section to guide the user to the region/project selector, so it is contextually relevant. | No interactive button or control is visible; it is an isolated symbolic icon.","The icon is generic and not specific to security group configuration, so its direct topical link to the security-group topic is indirect."
umn/source/getting_started_with_geminidb_cassandra/connecting_to_a_geminidb_cassandra_instance_over_public_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,en-us_image_0000002450993685.png,icon,pass,0.90,"The image is a small gray location-pin / map-marker pictogram, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is referenced in Procedure step 2: 'Click |image1| in the upper left corner and select a region and a project.' | A location-pin icon is the standard symbol for a region/project selector in cloud management consoles, matching the described action. | The icon appears in the Procedure section where the user selects a region before navigating to Security Groups, so it is contextually relevant. | No visible interactive button styling or magenta elements are present in the isolated icon.","The image is a generic region-selector icon and does not itself depict security group rules or the GeminiDB Cassandra console. | No surrounding UI context (menu, dialog, or page) is visible to confirm the exact placement in the upper-left corner."
umn/source/getting_started_with_geminidb_cassandra/creating_a_geminidb_cassandra_instance.rst,Creating a GeminiDB Cassandra Instance,en-us_image_0000002417594324.png,icon,pass,1.00,"The image is a small circular refresh/reload arrow symbol inside a rounded square, i.e., an isolated UI icon. | The RST references it as |image1| in the sentence 'You can click |image1| in the upper right corner of the page to refresh the DB instance statuses,' which matches a refresh button icon. | It appears in the final step about viewing and managing DB instances after creation, so it is relevant to the section. | The visual (circular arrow) directly corresponds to the 'refresh' action described in the text. | No contradiction between the icon and the surrounding text.",The image does not show the surrounding page context (upper-right corner placement) since it is an isolated icon. | No label or tooltip is visible to confirm the exact function beyond the refresh symbol.
umn/source/getting_started_with_geminidb_influx/connecting_to_a_geminidb_influx_instance_on_the_console.rst,Connecting to a GeminiDB Influx Instance on the Console,en-us_image_0000002548274029.png,icon,pass,0.83,"The image is a small toggle-switch icon, matching the RST reference |image1| placed next to 'Save Executed SQL Statements'. | The RST states clicking this control disables the save-executed-commands function, consistent with a toggle switch UI symbol. | The icon appears within the Procedure section (step 4, save commands to execution record), so it is section-relevant. | The visual clearly shows an on-position toggle switch, providing direct visual evidence of the control type.","The image is an isolated icon without surrounding UI context, so the exact label 'Save Executed SQL Statements' is not visible in the image itself. | No full console screenshot is provided to confirm the placement in the upper right corner."
umn/source/getting_started_with_geminidb_influx/connecting_to_a_geminidb_influx_instance_over_private_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,en-us_image_0000002417434596.png,icon,pass,0.90,"The image is a small gray location-pin / map-marker icon, matching the region/project selector referenced in step 2 of the Procedure. | The RST step 2 instructs to 'Click |image1| in the upper left corner and select a region and a project,' which is exactly what a location-pin icon represents in a cloud console. | The icon is an isolated symbolic graphic, so it is classified as an icon rather than a screenshot. | No interactive button controls are visible; it is a standalone pictogram, so contains_interactive_buttons is false. | No contradiction between the image and the surrounding text.","The image does not show the surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or text accompanies the icon to explicitly identify it as the region selector."
umn/source/getting_started_with_geminidb_influx/creating_a_geminidb_influx_instance.rst,Creating a GeminiDB Influx Instance,en-us_image_0000002417594324.png,icon,pass,1.00,"The image is a small circular-arrow refresh/reload symbol inside a bordered button, matching the RST reference |image1| used to refresh DB instance statuses. | It is an isolated UI symbol (icon), not a full page or application screenshot. | The RST explicitly instructs the user to click this icon in the upper right corner to refresh statuses, so it represents an interactive control. | The icon's refresh semantics align with the 'refresh the DB instance statuses' action described in step 5 of the Procedure. | No contradiction between the image content and the surrounding RST text.","The surrounding Instances page UI is not visible, so the 'upper right corner' placement cannot be confirmed from the image alone. | No label or tooltip is shown on the icon to confirm its function beyond the RST description."
umn/source/getting_started_with_geminidb_influx/instance_connection_methods.rst,Instance Connection Methods,en-us_image_0000002547619553.png,other,pass,1.00,"The image is an architectural/schematic diagram (VPC, security groups, ECS, GeminiDB Influx) rather than a UI screenshot or icon, so it is classified as 'other'. | It directly illustrates the 'Connection methods' topic of the document, showing how an ECS connects to a GeminiDB Influx instance over a private network. | The two numbered paths (1 and 2) correspond to the private-network scenarios described in the table (same vs. different security groups). | Labels such as VPC, ECS, Influx, Security group, and the GeminiDB logo provide clear visual evidence matching the RST content. | No visible interactive controls or buttons are present in the diagram.","The diagram does not depict the 'Console' or 'Program code' connection methods listed in the table, only the private-network topology. | No explicit region/VPC boundary labels beyond the 'VPC' box are shown to confirm same-region deployment."
umn/source/logging_in_to_the_geminidb_console.rst,Logging In to the GeminiDB Console,en-us_image_0000002451073389.png,icon,pass,1.00,"The image is a small gray location-pin / map-marker symbol, i.e., an isolated UI icon. | RST step 2 references this image as the control to click in the upper-left corner to select a region and a project. | A location pin is the standard symbol for region selection, so the icon semantically matches the documented action. | The icon appears in the Procedure section exactly where the region/project selector is described.","No surrounding console UI (header, menu) is shown to confirm the icon's exact placement in the upper-left corner. | The icon is monochrome and unlabeled, so its meaning relies on the RST context rather than visible text."
umn/source/working_with_geminidb_cassandra_api/auditing/querying_traces.rst,Querying Traces,en-us_image_0000002450993409.png,icon,pass,1.00,"The image is a small location pin icon, consistent with a region/project selector in the upper-left corner of a management console. | The RST step 2 instructs the user to click this icon to select a region and project, which matches the location-pin semantics. | The icon is used in the Procedure section of the Querying Traces document, directly supporting the step-by-step instructions.","The icon is isolated without surrounding UI context, so the exact console layout cannot be verified."
umn/source/working_with_geminidb_cassandra_api/auditing/querying_traces.rst,Querying Traces,en-us_image_0000002417594340.png,icon,pass,1.00,"The image is a small downward-pointing chevron icon, a standard UI symbol for expanding/collapsing a row. | The RST step 6 instructs the user to click this icon to the left of a record to extend its details, which matches the expand-chevron semantics. | The icon is used in the Procedure section of the Querying Traces document, directly supporting the step-by-step instructions.","The icon is isolated without surrounding UI context, so the exact table/list layout cannot be verified."
umn/source/working_with_geminidb_cassandra_api/backups_and_restorations/managing_automated_backups.rst,Managing Automated Backups,en-us_image_0000002417434784.png,icon,pass,1.00,"The image is a small toggle-switch icon, consistent with an isolated UI symbol (icon). | The RST references |image1| in the 'Disabling Automated Backup Policy' section as the control the user clicks to disable the backup policy, which matches a toggle switch. | The toggle is shown in the 'on' (active) state, so clicking it would turn it off, aligning with the 'disable' action described. | The icon is placed exactly where the RST describes the disable action, making it highly relevant to that section. | No contradiction between the visual (a toggle switch) and the textual description (click to disable the backup policy).","The image does not show surrounding dialog context (e.g., the 'Yes' button or 'Delete automated backups' checkbox) mentioned in the RST, but that is expected for an isolated icon."
