document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendixes/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/getting_started_with_geminidb_cassandra/connecting_to_a_geminidb_cassandra_instance_over_private_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,/home/ubuntu/repotesting/geminidb/umn/source/_static/images/en-us_image_0000001815205124.png,substitution_image,38,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which directly matches the RST instruction to click it to select a region and project.",
umn/source/getting_started_with_geminidb_cassandra/creating_a_geminidb_cassandra_instance.rst,Creating a GeminiDB Cassandra Instance,/home/ubuntu/repotesting/geminidb/umn/source/_static/images/en-us_image_0000001815204812.png,substitution_image,163,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image shows a refresh icon, which matches the RST description of clicking an icon to refresh DB instance statuses. | The icon is a standard UI symbol for refreshing or reloading data.",
umn/source/working_with_geminidb_cassandra_api/db_instance_management/configuring_autoscaling.rst,Configuring Autoscaling,/home/ubuntu/repotesting/geminidb/umn/source/_static/images/en-us_image_0000002038307285.png,figure,85,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the Storage Space area with the Auto Scale button, matching Figure 1 in the RST. | UI elements and layout correspond directly to the single instance autoscaling configuration step.",
umn/source/working_with_geminidb_cassandra_api/db_instance_management/configuring_autoscaling.rst,Configuring Autoscaling,/home/ubuntu/repotesting/geminidb/umn/source/_static/images/en-us_image_0000002038188189.png,figure,93,screenshot,True,False,True,"The interactive OK button is black, which is neither magenta nor plain white, triggering the hard fail condition.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image displays the Auto Scale configuration dialog with toggle and parameter fields, matching Figure 2. | Parameters like Trigger If, Increase By, and Storage Limit are visible and align with the RST table.",
umn/source/working_with_geminidb_cassandra_api/db_instance_management/configuring_autoscaling.rst,Configuring Autoscaling,/home/ubuntu/repotesting/geminidb/umn/source/_static/images/en-us_image_0000002038307289.png,figure,124,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the instances list page with the Auto Scale button highlighted, matching Figure 3. | Visual evidence supports the batch autoscaling initiation step described in the RST.",
umn/source/working_with_geminidb_cassandra_api/db_instance_management/configuring_autoscaling.rst,Configuring Autoscaling,/home/ubuntu/repotesting/geminidb/umn/source/_static/images/en-us_image_0000002038188193.png,figure,132,screenshot,True,False,True,"The interactive OK button is black, which is neither magenta nor plain white, triggering the hard fail condition.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image displays the Batch Auto Scale configuration dialog, matching Figure 4. | Storage Limit parameter shows 'Maximum storage supported by the current instance specifications', consistent with the RST table.",
umn/source/working_with_geminidb_cassandra_api/parameter_template_management/modifying_a_parameter_template_description.rst,Modifying a Parameter Template Description,/home/ubuntu/repotesting/geminidb/umn/source/_static/images/en-us_image_0000001815204972.png,substitution_image,24,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a pencil icon, which semantically corresponds to the instruction to modify or edit the description.",
umn/source/working_with_geminidb_cassandra_api/parameter_template_management/modifying_a_parameter_template_description.rst,Modifying a Parameter Template Description,/home/ubuntu/repotesting/geminidb/umn/source/_static/images/en-us_image_0000001861924833.png,substitution_image,25,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a checkmark icon, which aligns with the 'submit' action described in the procedure.",
umn/source/working_with_geminidb_cassandra_api/parameter_template_management/modifying_a_parameter_template_description.rst,Modifying a Parameter Template Description,/home/ubuntu/repotesting/geminidb/umn/source/_static/images/en-us_image_0000001815204976.png,substitution_image,26,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays an X icon, which aligns with the 'cancel' action described in the procedure.",
