document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/asset_management/asset_management.rst,Asset Management,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001517477398.png,substitution_image,29,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small hamburger-menu icon (three horizontal bars), matching the RST reference |image1| used in step 2 to open the navigation menu. | It is an isolated UI symbol, not a full screenshot, so it is classified as an icon. | The icon is semantically relevant to the navigation step that leads to the HSS Asset Management page. | No contradiction between the image and the surrounding text.","The image does not show the surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or tooltip is visible to confirm it is the region/navigation menu."
umn/source/asset_management/container_fingerprints/collecting_container_asset_fingerprints.rst,Collecting Container Asset Fingerprints,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001517477398.png,substitution_image,108,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), a common navigation symbol in management consoles. | The RST references this icon in step 2 as the element to click in the upper left corner to access region selection and navigate to Security > Host Security Service. | The icon is a generic navigation element, not specific to container asset fingerprints, so topic match is moderate. | The visual content (three horizontal bars) is consistent with a hamburger/menu icon described in the navigation steps. | No contradiction between the image and its usage in the RST.","The image is very small and low-resolution, making it difficult to confirm exact styling or context. | No surrounding UI context is visible to confirm it is specifically the HSS management console menu."
umn/source/asset_management/container_fingerprints/viewing_container_asset_fingerprints.rst,Viewing Container Asset Fingerprints,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001517477398.png,substitution_image,258,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines) used as a navigation reference in the RST | The RST instructs to 'Click |image1| in the upper left corner of the page, select a region' which corresponds to clicking this menu icon | The icon is generic and not specific to container fingerprints or HSS functionality | Used identically across all six image references (image1 through image6) for the same navigation step","The icon is very small and low-resolution, making it difficult to confirm exact visual details | No context is shown around the icon to confirm its placement in the upper left corner of the page"
umn/source/asset_management/container_management/disabling_protection_for_container_edition.rst,Disabling Protection for Container Edition,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001517477398.png,substitution_image,46,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image appears to be a hamburger menu icon (three horizontal lines) used for navigation in the upper left corner | Matches the RST instruction in step 2: 'Click |image1| in the upper left corner of the page, select a region' | The icon is very small and low-resolution, making detailed visual assessment difficult | It is a generic navigation icon rather than a topic-specific graphic","Image is extremely small and blurry, making it difficult to confirm exact visual details | No surrounding UI context visible to confirm it is specifically the HSS console navigation menu"
umn/source/asset_management/container_management/exporting_the_container_node_list.rst,Exporting the Container Node List,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001517477398.png,substitution_image,29,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small hamburger-menu icon (three horizontal bars), a common navigation symbol. | The RST references |image1| in step 2 as the control clicked in the upper-left corner to open region/service navigation, which matches a hamburger menu icon. | The icon is consistent with the HSS management console navigation flow described in the document. | No contradiction between the icon and the surrounding text.","The image is low-resolution and isolated, so it does not show the surrounding console UI, region selector, or the Security > Host Security Service menu. | No label or text is visible in the image to confirm it is specifically the HSS navigation menu."
umn/source/asset_management/container_management/handling_unsafe_containers.rst,Handling Unsafe Containers,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001517477398.png,substitution_image,78,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), a common navigation symbol. | The RST references this icon in step 2 for clicking in the upper left corner to select a region and navigate to Security > Host Security Service. | The icon is a generic navigation element, not specific to the container security topic but used in the navigation context. | The visual clearly shows three horizontal bars consistent with a hamburger menu.","The icon is very small and low-resolution, making it difficult to confirm exact styling details. | No surrounding UI context is visible to confirm it is in the upper left corner of a page."
umn/source/asset_management/container_management/managing_local_images.rst,Managing Local Images,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001517477398.png,substitution_image,95,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines) used as a navigation element | The RST references it as the element to click in the upper left corner to access region selection and navigate to Security > Host Security Service | It is a standard UI navigation icon, not directly related to the local image management topic but part of the access workflow | The image is very small and low-resolution, making fine details difficult to discern",The icon is too small and blurry to confirm exact visual details beyond the three-line hamburger pattern | No context is visible in the icon itself to confirm it is specifically the HSS navigation menu button
umn/source/asset_management/container_management/managing_swr_private_images.rst,Managing SWR Private Images,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001517477398.png,substitution_image,188,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), a common navigation symbol. | The RST references it as the element to click in the upper left corner to select a region and navigate to Security > Host Security Service. | It is a generic UI navigation icon, not specific to SWR private image management but used in the navigation steps. | The visual clearly shows three horizontal bars consistent with a hamburger/menu icon.","The image is very small and low-resolution, making it difficult to confirm exact styling or context. | No surrounding UI context is visible to confirm it is in the upper left corner of a management console."
umn/source/asset_management/container_management/managing_swr_private_images.rst,Managing SWR Private Images,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001974048962.png,substitution_image,189,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small downward-pointing chevron/arrow icon, typically used as an expand or view indicator. | The RST references it as the element to click in front of a vulnerability name to view CVE ID, CVSS score, and disclosed time. | It is a generic UI symbol for expanding/viewing details, relevant to the vulnerability report section. | The visual clearly shows a small V-shaped or chevron arrow pointing downward.","The image is very small and low-resolution. | No surrounding context (e.g., vulnerability name text) is visible to confirm placement."
umn/source/asset_management/container_management/managing_swr_private_images.rst,Managing SWR Private Images,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001973906080.png,substitution_image,190,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small downward-pointing chevron/arrow icon, similar to image 2. | The RST references it as the element to click next to a software name to view software vulnerability name, repair urgency, and solution. | It is a generic UI symbol for expanding/viewing details, relevant to the software information section of the security report. | The visual clearly shows a small V-shaped or chevron arrow pointing downward.","The image is very small and low-resolution. | No surrounding context (e.g., software name text) is visible to confirm placement."
