document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/asset_management/asset_management.rst,Asset Management,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_fingerprints/collecting_container_asset_fingerprints.rst,Collecting Container Asset Fingerprints,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_fingerprints/viewing_container_asset_fingerprints.rst,Viewing Container Asset Fingerprints,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_management/disabling_protection_for_container_edition.rst,Disabling Protection for Container Edition,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_management/enabling_container_security_protection.rst,Enabling Container Security Protection,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_management/exporting_the_container_node_list.rst,Exporting the Container Node List,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_management/handling_unsafe_containers.rst,Handling Unsafe Containers,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_management/managing_local_images.rst,Managing Local Images,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_management/managing_swr_enterprise_edition_images.rst,Managing SWR Enterprise Edition Images,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_management/managing_swr_private_images.rst,Managing SWR Private Images,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_management/managing_swr_shared_images.rst,Managing SWR Shared Images,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/container_management/viewing_container_information.rst,Viewing Container Information,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001517477398.png,substitution_image,34,icon,False,False,False,,2,2,3,3,3,0.83,pass,,200,completed,2,"The image shows a hamburger menu icon, which aligns with the text instruction to click an icon in the upper left corner to select a region.",
umn/source/asset_management/container_management/viewing_the_container_node_protection_status.rst,Viewing the Container Node Protection Status,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001517477398.png,substitution_image,58,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image displays the hamburger menu icon referenced in the text for navigating the management console.,
umn/source/asset_management/server_fingerprints/collecting_server_asset_fingerprints.rst,Collecting Server Asset Fingerprints,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/asset_management/server_fingerprints/viewing_server_asset_fingerprints.rst,Viewing Server Asset Fingerprints,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/asset_management/server_fingerprints/viewing_the_operation_history_of_server_assets.rst,Viewing the Operation History of Server Assets,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/server_management/deploying_a_protection_policy.rst,Deploying a Protection Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/server_management/disabling_hss/disabling_the_enterprise_premium_edition.rst,Disabling the Enterprise/Premium Edition,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/server_management/disabling_hss/disabling_wtp.rst,Disabling WTP,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/server_management/exporting_the_server_list.rst,Exporting the Server List,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/server_management/ignoring_a_server.rst,Ignoring a Server,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/server_management/managing_server_groups.rst,Managing Server Groups,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/server_management/servers_importance_management.rst,Servers Importance Management,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/server_management/switching_the_hss_quota_edition.rst,Switching the HSS Quota Edition,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/asset_management/server_management/viewing_server_protection_status.rst,Viewing Server Protection Status,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/checking_the_dashboard.rst,Checking the Dashboard,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enabling_hss/common_security_configuration/configuring_server_login_protection.rst,Configuring Server Login Protection,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enabling_hss/common_security_configuration/enabling_2fa.rst,Enabling 2FA,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enabling_hss/common_security_configuration/isolating_and_killing_malicious_programs.rst,Isolating and Killing Malicious Programs,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
