document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/idp_initiated.rst,IdP Initiated,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/idp_initiated.rst,IdP Initiated,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0152520823.png,figure,22,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/idp_initiated.rst,IdP Initiated,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0147658878.jpg,figure,61,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/idp_initiated.rst,IdP Initiated,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0151316952.png,figure,102,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/idp_initiated.rst,IdP Initiated,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0147658838.jpg,figure,142,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/sp_initiated.rst,SP Initiated,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/sp_initiated.rst,SP Initiated,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0147658886.png,figure,16,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start.rst,Before You Start,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000002089066209.png,figure,45,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0283060057.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_manage_access_keys.rst,How Do I Manage Access Keys?,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/mycredential/source/how_do_i_manage_access_keys.rst,How Do I Manage Access Keys?,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0111879390.jpg,figure,14,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_modify_my_credential_information.rst,How Do I Modify My Credential Information?,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/mycredential/source/how_do_i_modify_my_credential_information.rst,How Do I Modify My Credential Information?,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0111879390.jpg,figure,24,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_query_a_project_id.rst,How Do I Query a Project ID?,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/mycredential/source/how_do_i_query_a_project_id.rst,How Do I Query a Project ID?,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0111879390.jpg,figure,12,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_query_a_project_id.rst,How Do I Query a Project ID?,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0116742855.png,figure,16,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_view_my_credential_information.rst,How Do I View My Credential Information?,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/mycredential/source/how_do_i_view_my_credential_information.rst,How Do I View My Credential Information?,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0111879390.jpg,figure,12,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions/source/permissions.rst,Permissions,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/permissions/source/permissions.rst,Permissions,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000002264517658.png,substitution_image,570,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/user_guide/identity_providers/iam_user_sso_via_saml/overview_of_iam_user_sso_via_saml.rst,Overview of IAM User SSO via SAML,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001656073017.png,figure,22,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/user_guide/identity_providers/iam_user_sso_via_saml/overview_of_iam_user_sso_via_saml.rst,Overview of IAM User SSO via SAML,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001656337241.png,figure,30,other,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows Enterprise IdP and Cloud platform exchanging Metadata.xml files, matching Figure 2 caption 'Exchanging metadata files' | The note about SAML 2.0 compliance aligns with the RST caution about SAML 2.0 support | Arrows clearly depict bidirectional metadata exchange as described in step 1 of the RST",
umn/source/user_guide/identity_providers/iam_user_sso_via_saml/overview_of_iam_user_sso_via_saml.rst,Overview of IAM User SSO via SAML,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001607216988.png,figure,40,other,False,False,False,,2,2,3,3,2,0.78,partial,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Image is labeled Figure 3 'Mapping external identities to IAM users' in the RST | The diagram shows a broader federation process (7 steps) rather than focusing specifically on the mapping of external identities to IAM users | Step 5 'Convert enterprise users into federated users' does address the mapping concept | The image includes metadata exchange and trust steps that go beyond the specific mapping topic stated in the caption,"No specific example of mapping (e.g., IdP_Test_User to Alice) is shown in the image | The image shows a general process rather than the specific identity mapping described in the RST text"
umn/source/user_guide/identity_providers/iam_user_sso_via_saml/overview_of_iam_user_sso_via_saml.rst,Overview of IAM User SSO via SAML,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001607256960.png,figure,51,other,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows a login link URL with SAML protocol parameter, matching Figure 4 'SSO login model' | The note about valid link generation after metadata upload aligns with the RST context | The flow from login link to enterprise management system with 'Cloud platform login link' matches the RST description of configuring a federated login entry | A 'Copy' button is visible as an interactive control",
umn/source/user_guide/identity_providers/iam_user_sso_via_saml/overview_of_iam_user_sso_via_saml.rst,Overview of IAM User SSO via SAML,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001606937268.png,figure,63,other,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows the complete 7-step identity federation process matching Figure 5 'How identity federation works' | All steps (SSO login, SAML request, browser forwarding, IdP authentication, SAML response, token issuance, successful login) match the RST numbered list | Enterprise Management System and Cloud Platform components are clearly labeled | The diagram accurately represents the SAML assertion flow described in the RST",
umn/source/user_guide/identity_providers/iam_user_sso_via_saml/verifying_the_login.rst,Verifying the Login,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001646293253.png,substitution_image,43,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The icon is a small copy/duplicate symbol (two overlapping squares) used as an inline reference in the RST text 'Click |image1| to copy the login link' | It represents the copy action described in step 1 of the 'Verifying the Federated Login' section | The icon is generic and not specific to SAML/SSO, but it correctly represents the copy action referenced in the text | No contradiction between the icon and its usage in the document","The icon is very small and slightly blurry, making fine details hard to discern | No label or tooltip is visible on the icon to confirm its exact function beyond the textual context"
umn/source/user_guide/identity_providers/virtual_user_sso_via_saml/overview_of_virtual_user_sso_via_saml.rst,Overview of Virtual User SSO via SAML,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001655985477.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/user_guide/identity_providers/virtual_user_sso_via_saml/overview_of_virtual_user_sso_via_saml.rst,Overview of Virtual User SSO via SAML,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001607193154.png,figure,28,other,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Diagram shows Enterprise IdP and Cloud platform each holding a Metadata.xml file with bidirectional 'Exchange metadata files' arrows, matching Figure 2 in the RST. | The annotation about the metadata file specifying interface addresses and certificate information per SAML 2.0 aligns with the SAML 2.0 caution in the document. | Directly supports step 1 (create IdP entity and establish trust by exchanging metadata files).",No step numbers or UI screens shown; purely a conceptual exchange diagram.
