document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/common_parameters/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/common_parameters/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001508295281.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/public-images/source/index.rst,Image Management Service - Public Image Introduction,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/public-images/source/index.rst,Image Management Service - Public Image Introduction,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/image-factory-customer-information-windows-password.png,substitution_image,310,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_ecs.rst,Creating a Data Disk Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0254963039.png,figure,21,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_ecs.rst,Creating a Data Disk Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0162743998.png,figure,55,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows the IMS console 'Image Type and Source' form with Type set to 'Create Image', Image Type set to 'Data disk image', and Source set to 'ECS', exactly matching RST steps 2a-2c | The info banner about ECS in running or stopped state aligns with the Prerequisites section | The table with Name, OS Type, Status, Private IP Address, Created columns is consistent with selecting a data disk of an ECS | Figure caption in RST ('Creating a data disk image') matches the content shown","The 'Image Information' area (Name, Tag, Description) mentioned in steps 2d-2e is not visible in this screenshot, likely below the visible area"
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_ecs.rst,Creating a Data Disk Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0186473007.png,figure,84,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows the 'Select Data Disk Image' dialog with 'data_disk_image' listed as a Private image with 40 GB capacity, matching the RST note about data disk image 'data_disk_image' | The 'Create Disk from Data Disk Image' link is visible, matching the Follow-up Procedure instruction | The dialog appears in the context of an ECS creation page with System Disk and Data Disk sections, consistent with the RST description of creating an EVS disk and attaching it to an ECS | Figure caption in RST ('Adding data disks') matches the content shown",The 'View Data Disk Image' and 'Create Data Disk Image' links are visible but their exact behavior is not described in the RST | The full ECS creation page context is partially cut off on the left side
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_external_image_file.rst,Creating a Data Disk Image from an External Image File,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0254985106.png,figure,19,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_external_image_file.rst,Creating a Data Disk Image from an External Image File,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0162744031.png,figure,51,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows the IMS console 'Image Type and Source' area with Import Image and Data disk image selected, matching Figure 2 caption and RST step 2b-2c. | The format list (VHD, VMDK, QCOW2, RAW, ZVHD2, VHDX, QCOW, VDI, QED) and OBS bucket with Standard storage requirement are visible and align with the RST background section. | The bucket selection table with Bucket Name, Storage Class, and Created columns matches the RST instruction to select the bucket storing the image file. | The screenshot is clearly from the Procedure section, step 2c of the document.",The image does not show the 'Enable Fast Create' option or the 'Image Information' area described in steps 2d-2e. | The 'Create Now' and 'Submit' buttons from steps 2f-2g are not visible in this screenshot.
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_external_image_file.rst,Creating a Data Disk Image from an External Image File,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0186473007.png,figure,98,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows the 'Select Data Disk Image' dialog with data_disk_image listed as a Private image with 40 GB capacity, matching Figure 3 caption and the RST follow-up procedure. | The 'Create Disk from Data Disk Image' link is visible in the background, matching the RST instruction to click that option on the ECS creation page. | The dialog includes 'View Data Disk Image' and 'Create Data Disk Image' links, consistent with the follow-up procedure context. | The System Disk and Data Disk sections with Common I/O options and SCSI/Share/Encryption checkboxes are visible, matching the ECS disk configuration context.",The image does not show the 'Create Data Disk' button mentioned in the first bullet of the follow-up procedure (the alternative method). | The note about a data disk image being usable only once is not visually represented in the screenshot.
umn/source/creating_a_private_image/creating_a_full-ecs_image_from_an_ecs.rst,Creating a Full-ECS Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0255035033.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/creating_a_private_image/creating_a_full-ecs_image_from_an_ecs.rst,Creating a Full-ECS Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0162744204.png,figure,97,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows the 'Image Type and Source' area of the IMS console as described in the RST for Figure 2 | 'Create Image' is selected for Type, 'Full-ECS image' is selected for Image Type, and 'ECS' is selected for Source, matching the RST procedure steps 2b and 2c | The ECS list table with columns Name, OS, Status, Private IP Address, Created is visible for selecting an ECS | The note about configuring ECS and CSBS backup generation is consistent with the RST constraints section","The actual ECS list entries are not populated (table appears empty), which is expected for a template screenshot"
