document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
doc/public-images/source/index.rst,Image Management Service - Public Image Introduction,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_ecs.rst,Creating a Data Disk Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0254963039.png,figure,21,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image is a flowchart diagram illustrating the 4-step process described in the Background section. | It directly corresponds to Figure 1 and its caption.,
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_ecs.rst,Creating a Data Disk Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0162743998.png,figure,55,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a UI screenshot matching Figure 2 in the Procedure section. | It shows the 'Image Type and Source' configuration with 'Create Image' and 'Data disk image' selected, as described in steps 2a-2c.",
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_ecs.rst,Creating a Data Disk Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0186473007.png,figure,84,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a UI screenshot matching Figure 3 in the Follow-up Procedure section. | It displays the 'Select Data Disk Image' dialog used to create a disk from the newly created image, as described in the follow-up steps.",
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_external_image_file.rst,Creating a Data Disk Image from an External Image File,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0254985106.png,figure,19,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Diagram accurately depicts the 4-step process described in the Background section. | Matches the RST text exactly regarding the flow from external image file to data disk.,
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_external_image_file.rst,Creating a Data Disk Image from an External Image File,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0162744031.png,figure,51,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Screenshot shows the 'Image Type and Source' configuration panel. | Matches step 2 of the Procedure section, showing 'Import Image' and 'Data disk image' selected. | UI elements align with the RST instructions.",
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_external_image_file.rst,Creating a Data Disk Image from an External Image File,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0186473007.png,figure,98,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Screenshot shows the 'Select Data Disk Image' dialog. | Matches the Follow-up Procedure section where users select a data disk image to create a disk. | UI matches the described workflow.,
umn/source/creating_a_private_image/creating_a_full-ecs_image_from_an_ecs.rst,Creating a Full-ECS Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0255035033.png,figure,20,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The diagram accurately illustrates the background process of creating a full-ECS image. | It visually represents the transition from ECS system/data disks to snapshots, then to backups, and finally to the full-ECS image.",
umn/source/creating_a_private_image/creating_a_full-ecs_image_from_an_ecs.rst,Creating a Full-ECS Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0162744204.png,figure,97,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The UI screenshot directly corresponds to the procedure steps for creating a full-ECS image. | It shows the 'Create Image' type and 'Full-ECS image' options selected, matching the documentation's instructions.",
umn/source/creating_a_private_image/creating_a_full-ecs_image_from_an_ecs.rst,Creating a Full-ECS Image from an ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001147047376.png,figure,123,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The table row screenshot matches the procedure step for viewing the newly created full-ECS image. | It displays the 'Normal' status with 'Available in AZ1', which aligns perfectly with the documented status descriptions.",
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_external_image_file/registering_an_external_image_file_as_a_private_image.rst,Registering an External Image File as a Private Image,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001211409095.png,substitution_image,118,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a plus sign icon, which visually represents the 'add' action described in the text. | It is explicitly referenced in the RST as |image1| to instruct users where to click to add data disks. | The icon aligns perfectly with the procedural step for configuring data disk parameters.",
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_iso_file/installing_a_linux_os.rst,Installing a Linux OS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0146486791.png,figure,34,screenshot,True,False,True,"The 'Continue' button is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the CentOS 7 language selection screen as described in step 1. | The 'Continue' button is visible and matches the instruction.,
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_iso_file/installing_a_linux_os.rst,Installing a Linux OS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0146486793.png,figure,42,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows the INSTALLATION SUMMARY page as described in step 2. | SYSTEM > INSTALLATION DESTINATION is highlighted.,
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_iso_file/installing_a_linux_os.rst,Installing a Linux OS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0146486795.png,figure,50,screenshot,True,False,True,"The 'Done' button is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the INSTALLATION DESTINATION page as described in step 3. | Target disk is selected and 'Done' button is visible.,
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_iso_file/installing_a_linux_os.rst,Installing a Linux OS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0146486797.png,figure,58,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the INSTALLATION SUMMARY page ready to start, matching step 4. | 'Begin Installation' button is visible.",
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_iso_file/installing_a_linux_os.rst,Installing a Linux OS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0160453774.png,figure,66,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the configuration page with progress bar at 100%, matching step 5. | Text indicates successful installation.",
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_iso_file/installing_a_linux_os.rst,Installing a Linux OS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0160457688.png,figure,78,screenshot,True,False,True,"The 'Done' button is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the ROOT PASSWORD page as described in step 8. | Password fields are visible.,
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_iso_file/installing_a_linux_os.rst,Installing a Linux OS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0160459481.png,figure,86,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows USER SETTINGS with root password set, matching step 9. | 'Finish configuration' button is visible.",
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_iso_file/installing_a_linux_os.rst,Installing a Linux OS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0160468889.png,figure,96,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the final configuration page ready to reboot, matching step 10. | 'Reboot' button is visible.",
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_iso_file/registering_an_iso_file_as_an_iso_image.rst,Registering an ISO File as an ISO Image,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001817919181.png,figure,45,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Create Image' UI, directly matching step 2b and 2c of the procedure. | It clearly displays the 'Import Image' and 'ISO image' options selected, aligning with the RST instructions.",
umn/source/creating_a_private_image/creating_a_linux_system_disk_image_from_an_iso_file/registering_an_iso_file_as_an_iso_image.rst,Registering an ISO File as an ISO Image,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001771320182.png,figure,53,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays the 'Image Information' configuration panel, corresponding to step 2d. | It shows fields for Boot Mode, OS, System Disk, Name, Enterprise Project, Tag, and Description, exactly as described in the RST.",
umn/source/creating_a_private_image/creating_a_system_disk_image_from_a_linux_ecs.rst,Creating a System Disk Image from a Linux ECS,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0254928267.png,figure,21,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a flowchart diagram illustrating the process of creating a system disk image from an ECS and subsequently creating a new ECS from that image. | It directly corresponds to the document title and the 'Background' section which describes this exact workflow. | The diagram clearly shows the relationship between snapshots, ECS instances, and image creation steps. | No interactive UI elements are present, so color constraints for buttons do not apply.",
umn/source/creating_a_private_image/creating_a_windows_system_disk_image_from_an_external_image_file/overview.rst,Overview,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0208252825.png,figure,17,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a flowchart diagram that directly illustrates the four-step creation process outlined in the RST text. | It accurately depicts each step: preparing the image file, uploading to an OBS bucket, registering as a private image, and creating ECSs. | There are no contradictions between the visual diagram and the textual description.",
umn/source/creating_a_private_image/creating_a_windows_system_disk_image_from_an_iso_file/integrating_virtio_drivers_into_an_iso_file.rst,Integrating VirtIO Drivers into an ISO File,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001493029617.png,substitution_image,91,screenshot,True,False,True,"Interactive buttons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image shows the AnyBurn main interface with the 'Edit image file' button highlighted, directly illustrating step 3a of the documentation. | The UI buttons are gray, which triggers the mandatory hard fail rule for non-magenta/white interactive controls.",
umn/source/creating_a_private_image/creating_a_windows_system_disk_image_from_an_iso_file/integrating_virtio_drivers_into_an_iso_file.rst,Integrating VirtIO Drivers into an ISO File,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001443321198.png,substitution_image,92,screenshot,True,False,True,"Interactive buttons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image displays the file selection dialog in AnyBurn, highlighting the ISO file path, which aligns with step 3b. | The UI buttons are gray, triggering the mandatory hard fail condition.",
umn/source/creating_a_private_image/creating_a_windows_system_disk_image_from_an_iso_file/integrating_virtio_drivers_into_an_iso_file.rst,Integrating VirtIO Drivers into an ISO File,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001493065701.png,substitution_image,93,screenshot,True,False,True,"Interactive buttons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image shows the final configuration step in AnyBurn, highlighting the destination file name, type, and 'Create Now' button, matching step 4c. | The UI buttons are gray, triggering the mandatory hard fail condition.",
umn/source/creating_a_private_image/creating_a_windows_system_disk_image_from_an_iso_file/overview.rst,Overview,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001926097585.png,figure,19,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image is a flowchart that visually represents the exact 5-step process described in the text for creating a Windows system disk image from an ISO file. | All steps and icons in the diagram correspond directly to the textual instructions.,
umn/source/creating_a_private_image/creating_a_windows_system_disk_image_from_an_iso_file/registering_an_iso_file_as_an_iso_image.rst,Registering an ISO File as an ISO Image,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001817919181.png,figure,41,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image shows the 'Create Image' page with 'Import Image' and 'ISO image' selected. | Directly corresponds to step 2b in the procedure.,
umn/source/creating_a_private_image/creating_a_windows_system_disk_image_from_an_iso_file/registering_an_iso_file_as_an_iso_image.rst,Registering an ISO File as an ISO Image,/home/ubuntu/repotesting/image-management-service/umn/source/_static/images/en-us_image_0000001771320182.png,figure,49,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays the 'Image Information' configuration form. | Matches step 2d, showing fields for Boot Mode, OS, System Disk, Name, Enterprise Project, Tag, and Description.",
umn/source/creating_a_private_image/fast_import_of_an_image_file/fast_import_in_linux.rst,Fast Import in Linux,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
umn/source/creating_a_private_image/fast_import_of_an_image_file/fast_import_in_windows.rst,Fast Import in Windows,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/creating_a_private_image/fast_import_of_an_image_file/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/creating_a_private_image/introduction.rst,Introduction,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/cloud-init/cloud-init_installation_faq.rst,Cloud-Init Installation FAQ,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/image_creation/how_do_i_handle_the_startup_failure_of_a_windows_ecs_created_from_a_windows_image_generalized_by_sysprep.rst,How Do I Handle the Startup Failure of a Windows ECS Created from a Windows Image Generalized by Sysprep?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/image_optimization/how_do_i_configure_an_ecs_to_use_dhcpv6.rst,How Do I Configure an ECS to Use DHCPv6?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/image_optimization/how_do_i_enable_nic_multi-queue_for_an_image.rst,How Do I Enable NIC Multi-Queue for an Image?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/image_optimization/what_do_i_do_if_a_linux_image_file_is_not_pre-configured_when_i_use_it_to_register_a_private_image.rst,What Do I Do If a Linux Image File Is Not Pre-Configured When I Use It to Register a Private Image?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/image_optimization/what_do_i_do_if_a_windows_image_file_is_not_pre-configured_when_i_use_it_to_register_a_private_image.rst,What Do I Do If a Windows Image File Is Not Pre-Configured When I Use It to Register a Private Image?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/image_tags/how_do_i_search_for_private_images_by_tag.rst,How Do I Search for Private Images by Tag?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/os/how_do_i_delete_redundant_network_connections_from_a_windows_ecs.rst,How Do I Delete Redundant Network Connections from a Windows ECS?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/os/what_do_i_do_if_an_ecs_starts_slowly.rst,What Do I Do If an ECS Starts Slowly?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/linux_operations/configuring_cloud-init.rst,Configuring Cloud-Init,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/linux_operations/detaching_data_disks_from_an_ecs.rst,Detaching Data Disks from an ECS,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
umn/source/managing_private_images/checking_the_disk_capacity_of_an_image.rst,Checking the Disk Capacity of an Image,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_private_images/exporting_an_image.rst,Exporting an Image,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_private_images/modifying_an_image.rst,Modifying an Image,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_private_images/optimizing_a_linux_private_image/checking_whether_a_private_image_needs_to_be_optimized.rst,Checking Whether a Private Image Needs to be Optimized,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_private_images/optimizing_a_windows_private_image/installing_virtio_drivers.rst,Installing VirtIO Drivers,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_private_images/sharing_images/obtaining_the_project_id.rst,Obtaining the Project ID,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_private_images/sharing_images/replicating_a_shared_image.rst,Replicating a Shared Image,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_private_images/sharing_images/sharing_specified_images.rst,Sharing Specified Images,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_quotas.rst,Managing Quotas,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_tags.rst,Managing Tags,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/overview/basic_concepts/region_and_az.rst,Region and AZ,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/overview/features.rst,Features,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/overview/related_services.rst,Related Services,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/using_iam_to_grant_access_to_ims/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
umn/source/windows_operations/configuring_dhcp.rst,Configuring DHCP,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/windows_operations/enabling_remote_desktop_connection.rst,Enabling Remote Desktop Connection,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/windows_operations/installing_and_configuring_cloudbase-init.rst,Installing and Configuring Cloudbase-Init,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/windows_operations/running_sysprep.rst,Running Sysprep,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
