document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
umn/source/auditing_logs/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,en-us_image_0000002503983905.png,screenshot,pass,1.00,"Image shows the CTS Trace List filter panel with Trace Type, Trace Source, Resource Type, Search By, Operator, and Trace Status fields | Time range options (Last 1 hour, Last 1 day, Last 1 week, Customize) are visible in the upper right | Query, Reset, and Export buttons are present, matching the RST description | Directly corresponds to Figure 1 referenced in step 4 of the RST",
umn/source/auditing_logs/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,en-us_image_0000002504103827.png,icon,pass,1.00,Image is a hamburger menu icon (three horizontal lines) | Referenced as |image1| in step 1: 'Click |image1| in the upper left corner and choose Management & Deployment > Cloud Trace Service' | The icon is consistent with a navigation menu toggle used in cloud service consoles,
umn/source/auditing_logs/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,en-us_image_0000002470943984.png,icon,pass,1.00,Image is a circular refresh/reload arrow icon | Referenced as |image2| in step 6: 'Click |image2| to view the latest information about traces' | The icon is consistent with a refresh action to reload trace data,
umn/source/auditing_logs/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,en-us_image_0000002471103956.jpg,icon,pass,1.00,Image is a downward-pointing chevron/arrow icon | Referenced as |image3| in step 7: 'Click |image3| on the left of a trace to expand its details' | The icon is consistent with an expand/collapse control for trace rows,
umn/source/auditing_logs/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,en-us_image_0000002503983907.png,screenshot,pass,1.00,"Image shows the Trace List with an expanded trace row displaying detailed fields (trace_id, code, trace_name, resource_type, trace_rating, message, source_ip, domain_id, trace_type) | The up-arrow expand icon is highlighted with a red box on the left of the trace row | A 'View Trace' link is visible in the Operation column | Corresponds to |image4| in step 7 showing expanded trace details",
umn/source/auditing_logs/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,en-us_image_0000002504103831.png,screenshot,pass,1.00,"Image shows a 'View Trace' dialog displaying JSON-formatted trace details including request, trace_id, code, trace_name, resource_type, trace_rating, message, source_ip, domain_id, trace_type, service_type, event_type, project_id, response, resource_id, tracker_name, time, resource_name, and user fields | Corresponds to |image5| in step 8: 'Click View Trace in the Operation column. The trace details are displayed.' | The dialog shows a complete trace record structure consistent with CTS trace data",
umn/source/faqs/how_do_cloud_services_use_kms_to_encrypt_data.rst,How Do Cloud Services Use KMS to Encrypt Data?,en-us_image_0232858228.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/faqs/how_do_cloud_services_use_kms_to_encrypt_data.rst,How Do Cloud Services Use KMS to Encrypt Data?,en-us_image_0232858842.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/faqs/how_do_i_use_the_online_tool_to_encrypt_or_decrypt_small_volumes_of_data.rst,How Do I Use the Online Tool to Encrypt or Decrypt Small Volumes of Data?,en-us_image_0000001629601212.png,screenshot,pass,1.00,"Image is Figure 1 referenced in the Encrypting Data section, step 5. | Shows the Online Tool with Encrypt tab selected, matching the RST description. | Left text box contains '316' as sample data to be encrypted, consistent with the procedure. | Execute, Clear, and Copy to Clipboard buttons are visible as described in the notes. | Character counter (3/512) and empty right text box match the pre-execution state.",
