document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_the_account_id_project_id_log_group_id_and_log_stream_id.rst,"Obtaining the Account ID, Project ID, Log Group ID, and Log Stream ID",,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_the_account_id_project_id_log_group_id_and_log_stream_id.rst,"Obtaining the Account ID, Project ID, Log Group ID, and Log Stream ID",/home/ubuntu/repotesting/log-tank-service/umn/source/_static/images/en-us_image_0000001783032549.png,substitution_image,24,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/log-tank-service/umn/source/_static/images/en-us_image_0277142587.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/getting_started/overview.rst,Overview,/home/ubuntu/repotesting/log-tank-service/umn/source/_static/images/en-us_image_0000001126336076.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/granting_lts_permissions_to_iam_users.rst,Granting LTS Permissions to IAM Users,/home/ubuntu/repotesting/log-tank-service/umn/source/_static/images/en-us_image_0000001999720813.png,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/host_management/managing_host_groups.rst,Managing Host Groups,/home/ubuntu/repotesting/log-tank-service/umn/source/_static/images/en-us_image_0000001119882370.png,substitution_image,214,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Small chevron/arrow icon used as an expand control next to a host group row. | Corresponds to |image1| in the 'Adding hosts to a host group' procedure of the operations table. | The arrow symbol is consistent with a clickable expand/collapse control.,No surrounding list or UI context is visible; only the isolated arrow symbol is shown.
umn/source/host_management/managing_host_groups.rst,Managing Host Groups,/home/ubuntu/repotesting/log-tank-service/umn/source/_static/images/en-us_image_0000001166682183.png,substitution_image,215,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Small chevron/arrow icon used as an expand control next to a host group row. | Corresponds to |image2| in the 'Removing a host from a host group' procedure. | The arrow symbol is consistent with a clickable expand/collapse control.,No surrounding list or UI context is visible; only the isolated arrow symbol is shown.
umn/source/host_management/managing_host_groups.rst,Managing Host Groups,/home/ubuntu/repotesting/log-tank-service/umn/source/_static/images/en-us_image_0000001119722456.png,substitution_image,216,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Small chevron/arrow icon used as an expand control next to a host group row. | Corresponds to |image3| in the 'Uninstalling ICAgent from a host' procedure. | The arrow symbol is consistent with a clickable expand/collapse control.,No surrounding list or UI context is visible; only the isolated arrow symbol is shown.
umn/source/host_management/managing_host_groups.rst,Managing Host Groups,/home/ubuntu/repotesting/log-tank-service/umn/source/_static/images/en-us_image_0000001119882372.png,substitution_image,217,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Small chevron/arrow icon used as an expand control next to a host group row. | Corresponds to |image4| in the 'Removing hosts from a host group' procedure. | The arrow symbol is consistent with a clickable expand/collapse control.,No surrounding list or UI context is visible; only the isolated arrow symbol is shown.
