document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/basic_concepts.rst,Basic Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/basic_concepts.rst,Basic Concepts,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002352034874.png,figure,25,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start/index.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/index.rst,Before You Start,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002351870506.png,figure,64,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002351867010.png,figure,102,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002351876486.png,figure,108,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002352037350.png,figure,114,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002385752073.png,substitution_image,191,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002340898834.png,figure,28,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/sdk-ref/source/preparations/viewing_the_project_id.rst,Viewing the Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/sdk-ref/source/preparations/viewing_the_project_id.rst,Viewing the Project ID,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000001455263253.jpg,figure,15,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
