document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/auditing/viewing_traces.rst,Viewing Traces,en-us_image_0000001200039028.png,screenshot,pass,1.00,"Image shows a trace filter panel with Trace Source, Resource Type, Search By, Operator, Trace Status, and a time range, matching Figure 1 'Filters'. | The radio options 'All trace statuses', 'normal', 'warning', 'incident' match the RST description of Trace Status options. | Query, Reset, and Export buttons plus the table header row are visible, consistent with the querying procedure.",The 'Trace Type' filter mentioned in the RST is not clearly visible in the captured area.
umn/source/auditing/viewing_traces.rst,Viewing Traces,en-us_image_0000001199879050.png,screenshot,pass,1.00,"Image shows a trace list table with an expanded row revealing Trace ID, Trace Type, Source IP Address, and Generated, matching Figure 2 'Expanding trace details'. | A 'View Trace' link is visible in the Operation column, consistent with the next step in the RST. | The expand arrow on the left of the trace row matches the instruction to click to expand details.","Operator and some IP values are redacted/blurred, so exact values cannot be verified."
umn/source/auditing/viewing_traces.rst,Viewing Traces,en-us_image_0000001244918899.png,screenshot,pass,1.00,"Image shows a 'View Trace' dialog displaying JSON trace details, matching Figure 3 'View Trace'. | Fields such as service_type, user, time, resource_type, trace_name, trace_type, request, and response are visible, consistent with the trace structure referenced in the RST. | A Close button is present at the bottom of the dialog.","Some user names and IP addresses are redacted, so full field values are not verifiable."
umn/source/auditing/viewing_traces.rst,Viewing Traces,en-us_image_0000001211126503.png,icon,pass,0.88,"Image is a small location-pin style icon used as |image1| in step 2 for selecting region and project. | It is an isolated symbolic graphic, not a full UI screenshot.","The icon is low-resolution and blurred, so its exact label or tooltip cannot be confirmed."
umn/source/auditing/viewing_traces.rst,Viewing Traces,en-us_image_0000001244918877.jpg,icon,pass,1.00,"Image is a small downward chevron/arrow icon used as |image2| in step 6 to expand trace details. | It is an isolated UI symbol, not a full screenshot.",No additional context beyond the arrow glyph is visible.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,en-us_image_0000001154974329.png,screenshot,pass,1.00,"Terminal output of 'netstat -antpu | grep sshd' showing a LISTEN entry on 0.0.0.0:22, matching Figure 1 (Linux port listening status). | Directly illustrates the 'Checking ECS Ports' section's instruction to verify the LISTEN state. | No contradiction with the RST text.",No additional context beyond the single command output.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,en-us_image_0000001108294612.png,screenshot,pass,1.00,"Windows command prompt output of 'netstat -ano | findstr ""80""' showing LISTENING entries, matching Figure 2 (Windows port listening status). | Supports the 'Checking ECS Ports' Windows procedure in the RST. | No contradiction with the RST text.",No additional context beyond the command output.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,en-us_image_0000001156876053.png,icon,partial,0.77,"Small gray location-pin pictogram used as the region/project selector icon ('Click |image1| in the upper left corner'). | Generic UI symbol, not a full interface screenshot. | Consistent with the RST's console navigation steps.",No surrounding console UI to confirm exact placement.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,en-us_image_0000001182300205.png,icon,partial,0.77,"Gray location-pin icon used as the region/project selector ('Click |image2| in the upper left corner'). | Isolated UI symbol, not a screenshot. | Matches the RST console login/region selection step.",No surrounding console UI visible.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,en-us_image_0000001110876070.png,icon,partial,0.77,"Gray location-pin icon used as the region/project selector ('Click |image3| in the upper left corner'). | Isolated pictogram, not a screenshot. | Consistent with the security-group checking section's console steps.",No surrounding console UI visible.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,en-us_image_0000001111039460.png,icon,partial,0.77,"Gray location-pin icon used as the region/project selector ('Click |image4| in the upper left corner'). | Isolated pictogram, not a screenshot. | Matches the firewall-checking section's console navigation.",No surrounding console UI visible.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,en-us_image_0000001157479305.png,icon,partial,0.77,"Gray location-pin icon used as the region/project selector ('Click |image5| in the upper left corner'). | Isolated pictogram, not a screenshot. | Consistent with the SNAT connection-limit checking section's console steps.",No surrounding console UI visible.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,en-us_image_0000001111199360.png,icon,partial,0.77,"Gray location-pin icon used as the region/project selector ('Click |image6| in the upper left corner'). | Isolated pictogram, not a screenshot. | Matches the NAT gateway status-checking section's console navigation.",No surrounding console UI visible.
umn/source/getting_started/allowing_a_private_network_to_access_the_internet_using_snat/overview.rst,Overview,en-us_image_0259133829.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started/allowing_a_private_network_to_access_the_internet_using_snat/step_2_create_a_public_nat_gateway.rst,Step 2: Create a Public NAT Gateway,en-us_image_0000002115710945.png,screenshot,pass,1.00,"Screenshot shows the 'Create Public NAT Gateway' form, which is exactly what Figure 1 in the RST describes | All parameters from Table 1 are visible: Region, Name, VPC, Subnet, Specifications, Enterprise Project, Advanced Settings (Description, Tag) | The Specifications field shows Micro/Small/Medium/Large/Extra-large options matching the RST description | The form layout and field descriptions match the RST documentation precisely",
umn/source/getting_started/allowing_a_private_network_to_access_the_internet_using_snat/step_2_create_a_public_nat_gateway.rst,Step 2: Create a Public NAT Gateway,en-us_image_0141273034.png,icon,partial,0.72,Small location pin icon used as |image1| and |image3| in the RST for region/project selection | The RST states 'Click |image1| in the upper left corner and select the desired region and project' which matches a location/region icon | The icon is a standard map pin symbol appropriate for region selection in a cloud console,"The icon is very small and low resolution, making it difficult to confirm exact visual details"
umn/source/getting_started/allowing_a_private_network_to_access_the_internet_using_snat/step_2_create_a_public_nat_gateway.rst,Step 2: Create a Public NAT Gateway,en-us_image_0000002021410433.png,icon,partial,0.72,Hamburger menu icon (three horizontal lines) used as |image2| in the RST | The RST states 'click |image2| to expand the service list and choose Network > NAT Gateway' which matches a menu expansion icon | Standard navigation icon for expanding a service list in a cloud management console,"The icon is very small and low resolution, making it difficult to confirm exact visual details"
umn/source/getting_started/allowing_a_private_network_to_access_the_internet_using_snat/step_3_add_an_snat_rule.rst,Step 3: Add an SNAT Rule,en-us_image_0000002116327929.png,screenshot,pass,1.00,"Image is the 'Add SNAT Rule' dialog directly referenced as Figure 1 in step 5 of the procedure. | All parameters from Table 1 (Scenario, CIDR Block, Public IP Address Type, Description) are visible in the form. | The Scenario field shows VPC selected, matching the RST instruction to select VPC. | The Public IP Address Type shows EIP, consistent with the RST description of selecting an EIP. | The Description field shows a 0/255 character counter, matching the 255-character limit stated in the RST.",
umn/source/getting_started/allowing_a_private_network_to_access_the_internet_using_snat/step_3_add_an_snat_rule.rst,Step 3: Add an SNAT Rule,en-us_image_0141273034.png,icon,partial,0.72,"Image is a location pin / map marker icon, consistent with a region/project selector. | Referenced as |image1| in step 2: 'Click |image1| in the upper left corner and select the desired region and project.' | The icon is small and symbolic, fitting the 'icon' classification. | No contradiction with the RST text describing its use for region selection.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is in the upper-left corner of a console page."
