document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,/home/ubuntu/repotesting/nat-gateway/umn/source/_static/images/en-us_image_0000001156876053.png,substitution_image,318,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Small gray location-pin pictogram used as the region/project selector icon ('Click |image1| in the upper left corner'). | Generic UI symbol, not a full interface screenshot. | Consistent with the RST's console navigation steps.",No surrounding console UI to confirm exact placement.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,/home/ubuntu/repotesting/nat-gateway/umn/source/_static/images/en-us_image_0000001182300205.png,substitution_image,319,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Gray location-pin icon used as the region/project selector ('Click |image2| in the upper left corner'). | Isolated UI symbol, not a screenshot. | Matches the RST console login/region selection step.",No surrounding console UI visible.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,/home/ubuntu/repotesting/nat-gateway/umn/source/_static/images/en-us_image_0000001110876070.png,substitution_image,320,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Gray location-pin icon used as the region/project selector ('Click |image3| in the upper left corner'). | Isolated pictogram, not a screenshot. | Consistent with the security-group checking section's console steps.",No surrounding console UI visible.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,/home/ubuntu/repotesting/nat-gateway/umn/source/_static/images/en-us_image_0000001111039460.png,substitution_image,321,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Gray location-pin icon used as the region/project selector ('Click |image4| in the upper left corner'). | Isolated pictogram, not a screenshot. | Matches the firewall-checking section's console navigation.",No surrounding console UI visible.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,/home/ubuntu/repotesting/nat-gateway/umn/source/_static/images/en-us_image_0000001157479305.png,substitution_image,322,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Gray location-pin icon used as the region/project selector ('Click |image5| in the upper left corner'). | Isolated pictogram, not a screenshot. | Consistent with the SNAT connection-limit checking section's console steps.",No surrounding console UI visible.
umn/source/faqs/public_nat_gateways/what_can_i_do_if_connection_between_my_servers_and_the_internet_fails_after_i_add_snat_and_dnat_rules.rst,What Can I Do If Connection Between My Servers and the Internet Fails After I Add SNAT and DNAT Rules?,/home/ubuntu/repotesting/nat-gateway/umn/source/_static/images/en-us_image_0000001111199360.png,substitution_image,323,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Gray location-pin icon used as the region/project selector ('Click |image6| in the upper left corner'). | Isolated pictogram, not a screenshot. | Matches the NAT gateway status-checking section's console navigation.",No surrounding console UI visible.
umn/source/getting_started/allowing_a_private_network_to_access_the_internet_using_snat/overview.rst,Overview,/home/ubuntu/repotesting/nat-gateway/umn/source/_static/images/en-us_image_0259133829.png,figure,11,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/allowing_a_private_network_to_access_the_internet_using_snat/step_2_create_a_public_nat_gateway.rst,Step 2: Create a Public NAT Gateway,/home/ubuntu/repotesting/nat-gateway/umn/source/_static/images/en-us_image_0141273034.png,substitution_image,162,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Small location pin icon used as |image1| and |image3| in the RST for region/project selection | The RST states 'Click |image1| in the upper left corner and select the desired region and project' which matches a location/region icon | The icon is a standard map pin symbol appropriate for region selection in a cloud console,"The icon is very small and low resolution, making it difficult to confirm exact visual details"
umn/source/getting_started/allowing_a_private_network_to_access_the_internet_using_snat/step_2_create_a_public_nat_gateway.rst,Step 2: Create a Public NAT Gateway,/home/ubuntu/repotesting/nat-gateway/umn/source/_static/images/en-us_image_0000002021410433.png,substitution_image,161,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Hamburger menu icon (three horizontal lines) used as |image2| in the RST | The RST states 'click |image2| to expand the service list and choose Network > NAT Gateway' which matches a menu expansion icon | Standard navigation icon for expanding a service list in a cloud management console,"The icon is very small and low resolution, making it difficult to confirm exact visual details"
umn/source/getting_started/allowing_a_private_network_to_access_the_internet_using_snat/step_3_add_an_snat_rule.rst,Step 3: Add an SNAT Rule,/home/ubuntu/repotesting/nat-gateway/umn/source/_static/images/en-us_image_0141273034.png,substitution_image,70,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a location pin / map marker icon, consistent with a region/project selector. | Referenced as |image1| in step 2: 'Click |image1| in the upper left corner and select the desired region and project.' | The icon is small and symbolic, fitting the 'icon' classification. | No contradiction with the RST text describing its use for region selection.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is in the upper-left corner of a console page."
