document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendixes/consistency_of_concurrent_operations.rst,Consistency of Concurrent Operations,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/access_requests/accessing_obs_using_temporary_access_keys.rst,Accessing OBS Using Temporary Access Keys,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/differences_between_obs_permissions_control_methods.rst,Differences Between OBS Permissions Control Methods,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_permissions_to_create_and_list_buckets.rst,Granting an IAM User the Permissions to Create and List Buckets,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_read_permissions_on_specific_objects.rst,Granting an IAM User the Read Permissions on Specific Objects,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_read_write_permission_on_a_bucket.rst,Granting an IAM User the Read/Write Permission on a Bucket,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_specific_permissions_on_specific_objects.rst,Granting an IAM User the Specific Permissions on Specific Objects,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_specified_permissions_for_a_bucket.rst,Granting an IAM User the Specified Permissions for a Bucket,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_anonymous_users/granting_anonymous_users_the_public_read_permission_for_a_bucket.rst,Granting Anonymous Users the Public Read Permission for a Bucket,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_anonymous_users/granting_anonymous_users_the_read_permission_for_a_directory.rst,Granting Anonymous Users the Read Permission for a Directory,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_anonymous_users/granting_anonymous_users_the_read_permission_for_certain_objects.rst,Granting Anonymous Users the Read Permission for Certain Objects,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_multiple_iam_users_or_user_groups_under_the_account/granting_iam_user_groups_all_permissions_on_all_obs_resources.rst,Granting IAM User Groups All Permissions on All OBS Resources,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_multiple_iam_users_or_user_groups_under_the_account/granting_iam_user_groups_specific_permissions_for_all_obs_resources.rst,Granting IAM User Groups Specific Permissions for All OBS Resources,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_multiple_iam_users_or_user_groups_under_the_account/granting_iam_user_groups_specific_permissions_on_a_folder.rst,Granting IAM User Groups Specific Permissions on a Folder,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_multiple_iam_users_or_user_groups_under_the_account/granting_iam_user_groups_specific_permissions_on_specific_obs_resources.rst,Granting IAM User Groups Specific Permissions on Specific OBS Resources,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_other_accounts/granting_iam_users_under_an_account_the_access_to_a_bucket_and_the_resources_in_it.rst,Granting IAM Users Under an Account the Access to a Bucket and the Resources in It,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_other_accounts/granting_other_accounts_specific_permissions_for_specific_objects.rst,Granting Other Accounts Specific Permissions for Specific Objects,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_other_accounts/granting_other_accounts_the_read_permission_for_certain_objects.rst,Granting Other Accounts the Read Permission for Certain Objects,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_other_accounts/granting_other_accounts_the_read_write_permission_for_a_bucket.rst,Granting Other Accounts the Read/Write Permission for a Bucket,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_other_accounts/granting_other_accounts_the_specified_permissions_for_a_bucket.rst,Granting Other Accounts the Specified Permissions for a Bucket,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_temporary_access_to_obs.rst,Granting Temporary Access to OBS,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/restricting_access_to_a_bucket_for_specific_ip_addresses.rst,Restricting Access to a Bucket for Specific IP Addresses,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/typical_permissions_scenarios.rst,Typical Permissions Scenarios,,,fail,,kein valides Bild,No model result was produced.
doc/permissions-configuration-guide/source/permission_control_methods/iam_permissions.rst,IAM Permissions,,,fail,,kein valides Bild,No model result was produced.
doc/s3api/source/introduction/concurrent_operation_consistency.rst,Concurrent Operation Consistency,,,fail,,kein valides Bild,No model result was produced.
doc/s3api/source/obs_rest_apis/authenticating_a_request/v4_browser-based_authorized_post_request.rst,V4 Browser-based Authorized POST Request,,,fail,,kein valides Bild,No model result was produced.
doc/s3api/source/obs_rest_apis/authenticating_a_request/v4_common_request.rst,V4 Common Request,,,fail,,kein valides Bild,No model result was produced.
doc/s3api/source/obs_rest_apis/authenticating_a_request/v4_temporarily_authorized_request.rst,V4 Temporarily Authorized Request,,,fail,,kein valides Bild,No model result was produced.
doc/swiftapi/source/overview/concurrent_operation_consistency.rst,Concurrent Operation Consistency,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/advanced_bucket_settings/bucket_acls/configuring_a_bucket_acl.rst,Configuring a Bucket ACL,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/advanced_bucket_settings/bucket_policies/configuring_a_bucket_policy.rst,Configuring a Bucket Policy,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/advanced_bucket_settings/external_bucket_adding/adding_an_external_bucket.rst,Adding an External Bucket,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/basic_bucket_operations/creating_a_bucket.rst,Creating a Bucket,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/basic_bucket_operations/managing_fragments.rst,Managing Fragments,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/basic_bucket_operations/searching_for_a_bucket.rst,Searching for a Bucket,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/basic_bucket_operations/viewing_a_buckets_basic_information.rst,Viewing a Bucket's Basic Information,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/best_practices/proxy_server_configuration.rst,Proxy Server Configuration,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/logging_in_to_obs_browser.rst,Logging In to OBS Browser+,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/object_operations/creating_a_folder.rst,Creating a Folder,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/object_operations/restoring_a_file_or_folder.rst,Restoring a File or Folder,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/object_operations/searching_for_a_file_or_folder.rst,Searching for a File or Folder,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/object_operations/sharing_a_file_or_folder.rst,Sharing a File or Folder,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/object_operations/uploading_a_file_or_folder.rst,Uploading a File or Folder,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/task_management/managing_completed_tasks.rst,Managing Completed Tasks,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/task_management/managing_failed_tasks.rst,Managing Failed Tasks,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/task_management/managing_running_and_queued_tasks.rst,Managing Running and Queued Tasks,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/task_management/managing_suspended_tasks.rst,Managing Suspended Tasks,,,fail,,kein valides Bild,No model result was produced.
doc/tool/source/task_management/managing_tasks_being_restored.rst,Managing Tasks Being Restored,,,fail,,kein valides Bild,No model result was produced.
umn/source/obs_browser_operation_guide/cors/configuring_cors.rst,Configuring CORS,en-us_image_0129834236.png,screenshot,pass,1.00,"The image is a UI dialog titled 'Add CORS Rule', matching the figure caption 'Figure 1 Adding a CORS rule' referenced in step 4 of the RST. | All parameters shown (Allowed Origin, Allowed Method, Allowed Header, Exposed Header, Cache Duration (s)) correspond exactly to the rows in Table 1 of the document. | The pre-filled values (Allowed Origin = www.example.com, Cache Duration = 100) align with the example CORS rule described in the RST. | The Allowed Method checkboxes (Get, Post, Put, Delete, Head) match the methods listed in the Allowed Method description. | The dialog includes interactive controls (checkboxes, text fields, OK/Cancel buttons) consistent with the procedure steps.","No bucket name or surrounding OBS Browser interface is visible; only the dialog is shown, which is consistent with the figure's scope."
umn/source/obs_browser_operation_guide/external_buckets/adding_external_buckets.rst,Adding External Buckets,en-us_image_0129840536.png,screenshot,pass,1.00,"The image shows the 'Add Bucket' dialog with the 'Add external bucket' radio option selected, matching the figure caption 'Adding an external bucket'. | It displays the 'Bucket Name' input field with placeholder 'Enter an external bucket name.', consistent with RST step 3 to enter the bucket name. | The dialog includes OK and Cancel controls, aligning with the procedure's click OK step. | The screenshot directly illustrates the Procedure section step 3 of the document.","The image does not show the bucket list or ACL permissions mentioned after a successful add. | No account/permission context (accounts A and B) is visible, which is described in the Prerequisites."
umn/source/obs_browser_operation_guide/getting_started/adding_a_bucket.rst,Adding a Bucket,en-us_image_0129772318.png,screenshot,pass,1.00,"Image is a clear screenshot of the 'Add Bucket' dialog box in OBS Browser, matching the figure caption 'Figure 1 Adding a bucket'. | All fields described in the procedure are visible: Method (Create new bucket selected), Region (eu-de), Storage Class (Standard selected), and Bucket Name (bucket-example). | The dialog includes OK and Cancel buttons as well as a close (X) button, consistent with steps 7 and 8 of the procedure. | The help icon (?) next to the Bucket Name field is visible, matching the reference to |image1| in step 6. | No contradictions between the image content and the RST text.",
umn/source/obs_browser_operation_guide/getting_started/adding_a_bucket.rst,Adding a Bucket,en-us_image_0237531616.png,icon,pass,1.00,"Image is a small circular help icon with a question mark, matching the |image1| reference in step 6 of the procedure. | The RST states 'You can move the pointer over |image1| next to the Bucket Name text box to view the naming rules for a bucket,' which is exactly what a help/question-mark icon represents. | The icon is consistent with the help icon visible in Image 1 next to the Bucket Name field. | No contradictions between the image and the RST description.",
umn/source/obs_browser_operation_guide/getting_started/configuring_user_permissions.rst,Configuring User Permissions,en-us_image_0170301902.png,other,fail,0.00,Local color check detected #3298ff.,
