document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendixes/consistency_of_concurrent_operations.rst,Consistency of Concurrent Operations,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendixes/consistency_of_concurrent_operations.rst,Consistency of Concurrent Operations,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0100846816.png,figure,19,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendixes/consistency_of_concurrent_operations.rst,Consistency of Concurrent Operations,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0100846818.png,figure,28,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendixes/consistency_of_concurrent_operations.rst,Consistency of Concurrent Operations,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0100846820.png,figure,37,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendixes/consistency_of_concurrent_operations.rst,Consistency of Concurrent Operations,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0100846822.png,figure,46,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendixes/consistency_of_concurrent_operations.rst,Consistency of Concurrent Operations,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0100846824.png,figure,55,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendixes/consistency_of_concurrent_operations.rst,Consistency of Concurrent Operations,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0100846826.png,figure,64,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/access_requests/accessing_obs_using_temporary_access_keys.rst,Accessing OBS Using Temporary Access Keys,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/permissions-configuration-guide/source/access_requests/accessing_obs_using_temporary_access_keys.rst,Accessing OBS Using Temporary Access Keys,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0269157281.png,figure,35,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/access_requests/accessing_obs_using_temporary_access_keys.rst,Accessing OBS Using Temporary Access Keys,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0269160697.png,figure,43,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/access_requests/accessing_obs_using_temporary_access_keys.rst,Accessing OBS Using Temporary Access Keys,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0268971273.jpg,figure,64,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/differences_between_obs_permissions_control_methods.rst,Differences Between OBS Permissions Control Methods,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/permissions-configuration-guide/source/differences_between_obs_permissions_control_methods.rst,Differences Between OBS Permissions Control Methods,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0257815079.png,figure,16,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/differences_between_obs_permissions_control_methods.rst,Differences Between OBS Permissions Control Methods,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0257817646.png,figure,56,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/differences_between_obs_permissions_control_methods.rst,Differences Between OBS Permissions Control Methods,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0000001664558420.png,figure,168,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/differences_between_obs_permissions_control_methods.rst,Differences Between OBS Permissions Control Methods,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0000001479778546.png,figure,177,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/differences_between_obs_permissions_control_methods.rst,Differences Between OBS Permissions Control Methods,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0000001555603997.png,figure,186,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_permissions_to_create_and_list_buckets.rst,Granting an IAM User the Permissions to Create and List Buckets,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_permissions_to_create_and_list_buckets.rst,Granting an IAM User the Permissions to Create and List Buckets,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0000001385655888.png,figure,32,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_read_permissions_on_specific_objects.rst,Granting an IAM User the Read Permissions on Specific Objects,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_read_permissions_on_specific_objects.rst,Granting an IAM User the Read Permissions on Specific Objects,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0000002141218890.png,figure,41,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_read_permissions_on_specific_objects.rst,Granting an IAM User the Read Permissions on Specific Objects,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0000001385676688.png,figure,101,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_read_write_permission_on_a_bucket.rst,Granting an IAM User the Read/Write Permission on a Bucket,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_read_write_permission_on_a_bucket.rst,Granting an IAM User the Read/Write Permission on a Bucket,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0000002175159869.png,figure,41,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_read_write_permission_on_a_bucket.rst,Granting an IAM User the Read/Write Permission on a Bucket,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0000001385676688.png,figure,90,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_specific_permissions_on_specific_objects.rst,Granting an IAM User the Specific Permissions on Specific Objects,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_specific_permissions_on_specific_objects.rst,Granting an IAM User the Specific Permissions on Specific Objects,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0000002176507061.png,figure,43,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/permissions-configuration-guide/source/permission_configuration_in_typical_scenarios/granting_permissions_to_an_iam_user_under_the_account/granting_an_iam_user_the_specific_permissions_on_specific_objects.rst,Granting an IAM User the Specific Permissions on Specific Objects,/home/ubuntu/repotesting/object-storage-service/umn/source/_static/images/en-us_image_0000001385676688.png,figure,107,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
