document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001127708398.jpg,figure,63,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001784521786.png,figure,31,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001127868142.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/faqs/database_connection/what_should_i_do_if_an_rds_microsoft_sql_server_db_instance_failed_to_be_connected.rst,What Should I Do If an RDS Microsoft SQL Server DB Instance Failed to Be Connected?,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191211679.png,substitution_image,38,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location/map-pin pictogram, which is an isolated UI symbol rather than a full interface screenshot. | In the RST, |image1| is used in Solution step 2 to indicate clicking the region/project selector in the upper left corner, and a location pin is a fitting symbol for region selection. | The icon is semantically consistent with the 'select a region and a project' instruction and does not contradict the surrounding text. | The visual content (a teardrop pin with a central dot) is clearly legible and matches a typical region/location selector icon.","The image does not show the surrounding console UI, so the exact placement in the upper-left corner cannot be visually confirmed. | No label or text accompanies the icon, so its specific function (region vs. project) is inferred from the RST rather than the image itself."
umn/source/faqs/database_parameter_modification/does_rds_for_postgresql_support_the_test_decoding_plugin.rst,Does RDS for PostgreSQL Support the test_decoding Plugin?,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191211679.png,substitution_image,19,icon,False,False,False,,1,2,2,2,3,0.62,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker icon, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is used in step 2 to indicate clicking the region/project selector in the upper-left corner, which matches a location-pin navigation icon. | The icon is part of the console navigation steps rather than directly illustrating test_decoding or the wal_level parameter, so topic match is limited. | No visible interactive button controls are present; it is a symbolic navigation glyph. | No contradiction between the image and the surrounding text.","The image does not show the surrounding console UI, so the exact placement (upper-left corner) cannot be visually confirmed. | No label or text accompanies the icon to explicitly confirm it is the region/project selector."
umn/source/getting_started_with_rds_for_mysql/operation_guide.rst,Operation Guide,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191131447.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_a_db_instance.rst,Connecting to a DB Instance,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191131351.png,figure,33,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_private_network/connecting_to_a_db_instance_through_a_private_network.rst,Connecting to a DB Instance Through a Private Network,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191211679.png,substitution_image,156,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small gray location pin / map marker icon, used as an inline reference |image1| in the RST. | The RST instructs: 'Click |image1| in the upper left corner and select a region and a project,' which is a standard region selector in the Huawei Cloud management console. | A location pin icon is a reasonable representation for a region selector in a cloud console UI. | This icon is part of the SSL Connection section, step 2, which is a prerequisite step rather than the core DB connection action. | The icon is generic and does not show the full console context, making it harder to verify exact placement.","The icon is shown in isolation without the surrounding console UI, so its exact position in the upper left corner cannot be verified. | No text label or tooltip is visible to confirm it is specifically the region selector."
