document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faqs/log_management/how_can_i_obtain_microsoft_sql_server_error_logs_using_commands.rst,How Can I Obtain Microsoft SQL Server Error Logs Using Commands?,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001145051730.png,figure,28,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a table of log entries with columns LogDate, ProcessInfo, and Text. | It directly illustrates the 'Example query results' for the rds_read_errorlog command mentioned in the text. | The content matches the expected output format for querying Microsoft SQL Server error logs.",
umn/source/faqs/product_consulting/how_does_a_cloud_database_perform_a_primary_standby_switchover.rst,How Does a Cloud Database Perform a Primary/Standby Switchover?,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191211679.png,substitution_image,43,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which semantically matches the RST instruction to click it for selecting a region and project.",
umn/source/faqs/product_consulting/how_does_a_cloud_database_perform_a_primary_standby_switchover.rst,How Does a Cloud Database Perform a Primary/Standby Switchover?,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001145051626.png,substitution_image,44,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a circular refresh arrow icon, which directly corresponds to the RST instruction to click it to refresh the DB instance list.",
umn/source/faqs/product_consulting/why_is_an_error_reported_when_i_attempt_to_delete_a_database_from_rds_sql_server_primary_standby_db_instances.rst,Why Is an Error Reported When I Attempt to Delete a Database from RDS SQL Server Primary/Standby DB Instances?,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001145211492.png,figure,17,screenshot,True,False,True,"Screenshot contains interactive buttons (OK, Cancel) that are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,The image is a screenshot of SQL Server Management Studio showing the exact error dialog described in the RST text. | It accurately illustrates the 'Symptom' section regarding the database deletion error. | The error message and code (3743) match the document perfectly.,
umn/source/getting_started_with_rds_for_mysql/operation_guide.rst,Operation Guide,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191131447.png,figure,14,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image is a flowchart that visually represents the two main operations described in the document: creating and connecting to an RDS DB instance. | The steps in the flowchart directly correspond to the entries in Table 1 of the RST text. | The diagram provides clear visual evidence of the procedural flow outlined in the guide.,
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_public_network/connecting_to_a_db_instance_through_a_public_network.rst,Connecting to a DB Instance Through a Public Network,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191211477.png,figure,57,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Open Session' dialog box with 'New', 'Remove', and 'Open' buttons, matching the RST description for connection management. | The UI elements align perfectly with the step-by-step instructions for MySQL-Front.",
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_public_network/connecting_to_a_db_instance_through_a_public_network.rst,Connecting to a DB Instance Through a Public Network,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191131321.png,figure,66,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays the 'Add Account' dialog with fields for Host, Port, User, and Password, corresponding to Table 1 in the RST. | The 'Ok' and 'Cancel' buttons are visible, matching the instruction to enter information and click Ok.",
