document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faqs/product_consulting/why_is_an_error_reported_when_i_attempt_to_delete_a_database_from_rds_sql_server_primary_standby_db_instances.rst,Why Is an Error Reported When I Attempt to Delete a Database from RDS SQL Server Primary/Standby DB Instances?,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001145211492.png,figure,17,screenshot,True,False,True,"Screenshot contains interactive buttons (OK, Cancel) that are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,The image is a screenshot of SQL Server Management Studio showing the exact error dialog described in the RST text. | It accurately illustrates the 'Symptom' section regarding the database deletion error. | The error message and code (3743) match the document perfectly.,
umn/source/getting_started_with_rds_for_sql_server/step_2_connect_to_a_db_instance/connecting_to_a_sql_server_db_instance_through_a_private_network/connecting_to_a_db_instance_through_a_private_network.rst,Connecting to a DB Instance Through a Private Network,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191131309.png,figure,59,screenshot,True,False,True,"Interactive buttons (Connect, Cancel, etc.) are standard gray, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,2,"Image shows the SQL Server Management Studio 'Connect to Server' dialog. | Matches RST description of entering server name, authentication, and login details.",
umn/source/getting_started_with_rds_for_sql_server/step_2_connect_to_a_db_instance/connecting_to_a_sql_server_db_instance_through_a_private_network/connecting_to_a_db_instance_through_a_private_network.rst,Connecting to a DB Instance Through a Private Network,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191211463.png,figure,98,screenshot,True,False,True,"Interactive buttons (Connect, Cancel, etc.) are standard gray, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,2,"Image shows the SQL Server Management Studio 'Connect to Server' dialog. | Matches RST description of entering server name, authentication, and login details.",
umn/source/getting_started_with_rds_for_sql_server/step_2_connect_to_a_db_instance/connecting_to_a_sql_server_db_instance_through_a_private_network/connecting_to_a_db_instance_through_a_private_network.rst,Connecting to a DB Instance Through a Private Network,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191211461.jpg,figure,115,screenshot,True,False,True,"Interactive buttons (Connect, Cancel, etc.) are standard gray, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,2,Image shows the 'Connection Properties' tab in SQL Server Management Studio. | Correctly highlights the 'Encrypt connection' checkbox as instructed for SSL connections.,
umn/source/working_with_rds_for_mysql/database_proxy_read_write_splitting/configuring_the_delay_threshold_and_routing_policy.rst,Configuring the Delay Threshold and Routing Policy,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/working_with_rds_for_mysql/read_replicas/managing_a_read_replica.rst,Managing a Read Replica,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000002459434180.png,substitution_image,27,icon,False,False,False,,1,2,1,3,1,0.50,fail,,200,completed,1,"The image shows a plus sign button, but the RST describes it as the icon for selecting a region and project (which is typically a location pin, as seen in image1).",
umn/source/working_with_rds_for_postgresql/connection_management/connecting_to_a_db_instance_through_pgadmin.rst,Connecting to a DB Instance Through pgAdmin,/home/ubuntu/repotesting/relational-database-service/umn/source/_static/images/en-us_image_0000001191211507.png,figure,41,screenshot,True,False,True,"Interactive menu items are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Shows the 'Servers > Create > Server' menu path described in the documentation.,
