document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000001893402049.png,figure,35,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/resource_formation_service/index.rst,Resource Formation Service,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/resource_formation_service/index.rst,Resource Formation Service,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000001893402017.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/managing_stacks/updating_the_stack_template_or_its_parameters.rst,Updating the Stack Template or its Parameters,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002158817118.png,substitution_image,73,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a small hamburger menu icon (three horizontal lines), used in the RST as |image1| for the navigation menu in step 2. | It is a generic UI symbol rather than a content screenshot, so topic and detail match are limited. | No contradiction with the document.",The icon alone does not show the Management & Deployment / Resource Formation Service menu items it is meant to open.
umn/source/managing_templates/creating_a_stack_from_a_template.rst,Creating a Stack from a Template,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002158979842.png,substitution_image,45,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal bars), matching the |image1| reference used in step 2 to open the navigation menu. | It is a generic navigation symbol rather than a stack-creation-specific graphic, so topic and detail match are moderate. | It is relevant to the step that instructs clicking the menu to reach Management & Deployment > Resource Formation Service.",The icon alone does not show the Management & Deployment menu items it opens.
umn/source/managing_templates/viewing_template_details.rst,Viewing Template Details,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002158979846.png,substitution_image,59,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small hamburger/menu icon (three horizontal bars), used in the RST as |image1| for the step 'click |image1|, and then click Management & Deployment > Resource Formation Service'. | It is an isolated UI symbol rather than a full screenshot, so it is classified as an icon. | It is semantically relevant as the navigation trigger but carries no page-specific detail.","No surrounding UI context is shown, so the exact menu it opens is not visible in the image itself."
umn/source/managing_templates/viewing_templates.rst,Viewing Templates,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002158820098.png,substitution_image,41,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a hamburger/menu icon (three horizontal bars), matching the |image1| reference in step 2 used to open the navigation menu. | It is an isolated symbolic UI control rather than a full page screenshot. | Relevant to the navigation step but not directly depicting templates.",No surrounding UI context is shown to confirm it is the menu toggle in the upper-left corner.
umn/source/permission_management/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002159668284.png,figure,26,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002119222466.png,substitution_image,74,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002119380574.png,substitution_image,75,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/region_and_az.rst,Region and AZ,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002158802688.png,figure,19,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
