document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/resource_formation_service/index.rst,Resource Formation Service,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/iam_agency.rst,IAM Agency,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_stacks/creating_deploying_and_deleting_an_execution_plan/creating_an_execution_plan.rst,Creating an Execution Plan,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_stacks/creating_deploying_and_deleting_an_execution_plan/deleting_an_execution_plan.rst,Deleting an Execution Plan,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_stacks/creating_deploying_and_deleting_an_execution_plan/deploying_an_execution_plan.rst,Deploying an Execution Plan,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_stacks/deleting_a_stack.rst,Deleting a Stack,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_stacks/modifying_the_basic_parameters_of_a_stack.rst,Modifying the basic parameters of a Stack,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_stacks/updating_the_stack_template_or_its_parameters.rst,Updating the Stack Template or its Parameters,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_stacks/viewing_stack_details.rst,Viewing Stack Details,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_stacks/viewing_stacks.rst,Viewing Stacks,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_templates/creating_a_stack_from_a_template.rst,Creating a Stack from a Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_templates/creating_a_template.rst,Creating a Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_templates/deleting_a_template.rst,Deleting a Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_templates/exporting_a_template.rst,Exporting a Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_templates/modifying_a_template.rst,Modifying a Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_templates/replicating_a_template.rst,Replicating a Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_templates/viewing_template_details.rst,Viewing Template Details,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_templates/viewing_templates.rst,Viewing Templates,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/permission_management/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/accessing_rfs.rst,Accessing RFS,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002119222466.png,substitution_image,74,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Diagram clearly illustrates the 'Migrating Applications to the Cloud' scenario described in the text. | Shows the flow from user designing a template in RFS to creating stacks with specific resources (CCE, RDS, ECS, VPC). | Accurately reflects the solution of using templates for automatic deployment and resource management.",
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002119380574.png,substitution_image,75,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Diagram accurately depicts the 'ISV Resource Provisioning' scenario. | Shows the interaction between ISV uploading a template, client applying for the service, and accessing the service stack. | Matches the text's description of standardizing delivery through templates and stacks.",
umn/source/service_overview/region_and_az.rst,Region and AZ,/home/ubuntu/repotesting/resource-formation-service/umn/source/_static/images/en-us_image_0000002158802688.png,figure,19,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a diagram illustrating the relationship between regions and availability zones. | It visually represents the concept described in the text, showing multiple AZs within a region. | The diagram directly supports the 'Concept' section of the document.",
