document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/appendix/services_and_regions_supported_by_rms.rst,Services and Regions Supported by RMS,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001393093965.png,figure,21,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image displays the Service List dropdown menu with Resource Management highlighted under Management & Deployment. | Directly illustrates the navigation path described in the procedure.,
umn/source/appendix/services_and_regions_supported_by_rms.rst,Services and Regions Supported by RMS,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001342533756.png,figure,29,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows the My Resources page with the Supported Services and Regions button highlighted. | Matches the final step of the procedure to access supported services and regions.,
umn/source/my_resources/viewing_resources/exporting_resource_information.rst,Exporting Resource Information,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001342533740.png,figure,21,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Screenshot of the Service List page. | Resource Management is highlighted, matching the navigation step in the procedure.",
umn/source/my_resources/viewing_resources/exporting_resource_information.rst,Exporting Resource Information,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001342374064.png,figure,29,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Screenshot of the Resource Management page. | The export icon is highlighted, corresponding to the instruction to click the export button.",
umn/source/my_resources/viewing_resources/exporting_resource_information.rst,Exporting Resource Information,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001393093953.png,substitution_image,38,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Icon of the export button. | Matches the |image1| reference in the procedure.,
umn/source/my_resources/viewing_resources/filtering_resources.rst,Filtering Resources,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001342693632.png,figure,42,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Screenshot shows the Service List page with Resource Management highlighted, matching the procedure step for service entry. | Visual evidence clearly aligns with the documented navigation path.",
umn/source/my_resources/viewing_resources/filtering_resources.rst,Filtering Resources,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001393093961.png,figure,50,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Screenshot displays the My Resources page with the search box and filter options highlighted in magenta. | Directly illustrates the procedure step for setting filter criteria and entering search content.,
umn/source/my_resources/viewing_resources/filtering_resources.rst,Filtering Resources,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001342533748.png,substitution_image,57,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows a magnifying glass icon, which corresponds to the search function. | Matches the final procedure step instructing the user to click the search icon.",
umn/source/my_resources/viewing_resources/querying_details_about_a_resource.rst,Querying Details About a Resource,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001342853580.png,figure,14,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays the 'My Resources' page with a table of resources, which aligns with the document's description of 'part of resource information displayed'. | The visual content clearly shows the resource list and filter options mentioned in the context.",
umn/source/my_resources/viewing_resources/querying_details_about_a_resource.rst,Querying Details About a Resource,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001342533744.png,figure,27,screenshot,True,False,True,"Interactive menu items are black, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image shows the 'Service List' menu with 'Resource Management' highlighted, matching the navigation path described in the procedure. | The visual content supports the step of selecting the RMS service entry.",
umn/source/my_resources/viewing_resources/querying_details_about_a_resource.rst,Querying Details About a Resource,/home/ubuntu/repotesting/resource-management-service/umn/source/_static/images/en-us_image_0000001393013549.png,figure,37,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays the resource overview details, including tabs and specific resource information, which matches the 'Resource overview' description. | The visual content clearly shows the 'Overview' tab and the associated resource details.",
