document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis_sfs_capacity-oriented_and_sfs_turbo/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
umn/source/getting_started/configure_a_vpc_endpoint.rst,Configure a VPC Endpoint,en-us_image_0000001310873016.png,screenshot,pass,1.00,"Image is a screenshot of the 'Create VPC Endpoint' page, matching Figure 1 referenced in step 2 of the RST procedure. | All parameters from Table 1 are visible: Region, Service Category, VPC Endpoint Service Name, VPC, and Tag. | The 'Find a service by name' tab is highlighted, consistent with the RST instruction to select that option. | The Verify button next to the service name field matches the RST description of clicking Verify after entering the service name. | The 'Create Now' button at the bottom aligns with the submission step described in the RST.",
umn/source/getting_started/configure_a_vpc_endpoint.rst,Configure a VPC Endpoint,en-us_image_0159365094.png,icon,pass,0.93,"Image is a small location pin icon, referenced as |image1| in step 1b of the RST procedure. | The RST instructs to click this icon in the upper left corner to select region and project, which is consistent with a location/region selector icon. | The icon is a standard map-marker/location pin symbol commonly used for region selection in cloud consoles.",The icon is very small and generic; no text or additional context is visible to confirm it is specifically the region/project selector rather than another location-related control.
umn/source/getting_started/create_a_file_system.rst,Create a File System,en-us_image_0103405416.png,screenshot,pass,0.93,"Image is a UI screenshot of the 'Create File System' form for SFS Capacity-Oriented, matching Figure 1 reference in the RST. | Visible parameters (Region, AZ, Protocol Type, VPC, Encryption, Tag, Name) align with Table 1 in the RST. | The form shows an 'Auto Capacity Expansion' toggle not explicitly listed in Table 1, suggesting a newer UI element. | Parameters such as File System Type, Maximum Capacity, and Quantity from Table 1 are not visible in this portion of the form (likely scrolled out of view). | No contradictions between the image content and the RST description.",File System Type selector (SFS Capacity-Oriented vs SFS Turbo) not visible in the screenshot. | Maximum Capacity and Quantity fields from Table 1 are not visible. | The 'Create Now' and 'Submit' buttons mentioned in the RST steps are not visible in this crop.
umn/source/getting_started/create_a_file_system.rst,Create a File System,en-us_image_0000002498372989.png,screenshot,pass,1.00,"Image is a UI screenshot of the 'Create General Purpose File System' page, matching Figure 2 reference in the RST. | All parameters from Table 2 are visible: Region, Data Redundancy Policy (Multi-AZ), Name, Protocol Type (NFS), VPC, and Tags. | The 'Create Now' button at the bottom right matches the RST step 'Click Create Now'. | The breadcrumb and page title confirm this is the General Purpose File System creation flow. | No contradictions between the image content and the RST description.","The VPC dropdown values are partially blurred/redacted, making specific VPC names unreadable."
umn/source/getting_started/create_a_file_system.rst,Create a File System,en-us_image_0000001168006352.png,screenshot,pass,1.00,"Image is a UI screenshot of the SFS Turbo 'Create File System' page, matching Figure 3 reference in the RST. | The file system type table shows all types listed in Table 3: 20MB/s/TiB, 40MB/s/TiB, 125MB/s/TiB, 250MB/s/TiB, Standard, Standard-Enhanced, Performance, Performance-Enhanced. | Region and AZ selectors are visible, matching the RST parameters. | The 'Create Now' button at the bottom right matches the RST step 'Click Create Now'. | Capacity ranges shown in the table (e.g., 3.6 TB - 1 PB for 20MB/s/TiB, 500 GB - 32 TB for Standard) align with Table 3 remarks. | No contradictions between the image content and the RST description.","Lower portion of the form (VPC, Security Group, Automatic Backup, Encryption, Name fields) is not visible in this screenshot crop."
umn/source/getting_started/enabling_or_adding_a_software_repository.rst,Enabling or Adding a Software Repository,en-us_image_0077173267.png,screenshot,pass,1.00,"Shows the exact command 'yum repolist all' as described in step 1 of the CentOS section. | All repositories display 'disabled' status, matching the RST description that status is disabled. | Figure 1 caption 'Checking software repositories' aligns with the image content.",
umn/source/getting_started/enabling_or_adding_a_software_repository.rst,Enabling or Adding a Software Repository,en-us_image_0077173268.png,screenshot,pass,1.00,"Shows the command 'yum-config-manager --enable Public-OTC-CentOS-7-Base' exactly as in step 2. | Output displays the repository configuration with enabled = 1, confirming the enable action. | Figure 2 caption 'Enabling a software repository' matches the image content.",
umn/source/getting_started/enabling_or_adding_a_software_repository.rst,Enabling or Adding a Software Repository,en-us_image_0077173489.png,screenshot,pass,1.00,Shows 'yum repolist all' with Public-OTC-CentOS-7-Base now displaying 'enabled' status. | Matches step 3 description that status is enabled after the enable command. | Figure 3 caption 'Checking whether the software repository has been enabled' aligns with the image.,
