document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0000001508295281.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis_sfs_capacity-oriented_and_sfs_turbo/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis_sfs_capacity-oriented_and_sfs_turbo/response.rst,Response,/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0000001773129352.png,figure,30,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/getting_started/enabling_or_adding_a_software_repository.rst,Enabling or Adding a Software Repository,/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0077181786.png,figure,60,screenshot,False,False,False,,2,2,3,3,1,0.73,partial,,,,200,stop,1,Shows the 'zypper lr' command as described in SUSE step 1. | The RST states 'If no software repository is detected' but the image clearly shows Public-OTC-OBS with Enabled: Yes. | This is a direct contradiction between the text description and the image content.,The image does not show an empty repository list as the RST text implies for Figure 4.
umn/source/getting_started/mount_a_file_system/mounting_an_nfs_file_system_to_ecss_windows.rst,Mounting an NFS File System to ECSs (Windows),/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0110722360.png,substitution_image,171,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,2,Small copy icon (two overlapping squares) referenced as |image1| in the RST | Used to indicate the copy button next to the mount point in the console | Icon is small and low-resolution but semantically matches the copy action described,"Icon is very small and pixelated, making exact visual details hard to discern | No surrounding context visible to confirm it appears next to a mount point"
umn/source/getting_started/overview.rst,Overview,/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0153440615.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/overview.rst,Overview,/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0153455845.png,figure,27,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/overview.rst,Overview,/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0000002053880478.png,figure,34,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/introduction/basic_concepts/region_and_az.rst,Region and AZ,/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0184026531.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/introduction/what_is_sfs.rst,What Is SFS?,/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0259710043.png,figure,15,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/management/backup.rst,Backup,/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0000001304536416.png,substitution_image,74,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location-pin icon, referenced in the RST as |image1| in step 1b: 'Click |image1| in the upper left corner and select your desired region and project.' | The icon is a standard region/project selector symbol commonly found in cloud management consoles, consistent with its described purpose. | The icon is tangentially related to the backup topic as it is part of the navigation steps to access the CBR Console. | No contradictions between the icon and its described usage in the RST.","The icon is very small and low-resolution, making it difficult to confirm exact visual details. | The surrounding UI context (upper left corner placement) is not visible in the isolated icon image."
umn/source/management/file_system_management/viewing_a_file_system.rst,Viewing a File System,/home/ubuntu/repotesting/scalable-file-service/umn/source/_static/images/en-us_image_0000001476183046.png,substitution_image,85,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"A small plus (+) pictogram, matching the |image1| reference used in step 4 to add a tag search criterion. | It is an isolated UI symbol rather than a full interface screenshot. | Relevant to the 'Search by Tag' procedure but not directly to viewing file system basic information.","No surrounding context is shown, so the exact button label/tooltip cannot be confirmed from the image alone."
