document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/public_parameters/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/public_parameters/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000001508295281.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000001976318720.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002624942854.png,figure,42,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the 'Create Topic' form (Figure 2) referenced in Step 1. | Shows Topic Name, Display Name, Enterprise Project, and Tag fields matching Table 1. | Helper text for display name and tag limits aligns with the RST descriptions.","No OK button visible in the cropped view, though the form context implies it."
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002655065061.png,figure,107,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the 'Add Subscription' dialog (Figure 3) referenced in Step 2. | Displays Topic Name, Protocol (SMS), Endpoint, Description, and Filter Policy matching Table 2. | Includes Cancel and OK buttons consistent with the step instructions.","Request Header and Version fields not shown (protocol-dependent, SMS selected)."
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002624784058.png,figure,234,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the 'Create Message Template' dialog (Figure 4) referenced in Step 3. | Shows Template Name, Protocol (Default), and Content fields matching Table 3. | Placeholder guidance text matches the RST description of {xxx} variables.","No example template name filled in, but the form structure is complete."
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002624799164.png,figure,324,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the 'Generate Template Message' dialog (Figure 5) referenced in Step 4. | Shows template tem_001 with startdate (February 10) and enddate (February 21) variables, Default protocol. | Matches the RST example of replacing variables in tem_001.",Preview tab not active in this view (Variables tab shown).
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002624799530.png,figure,334,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Image is the 'Preview' tab of Generate Template Message (Figure 6) referenced in Step 4. | Displays the generated message text matching the RST example exactly. | Shows protocol radio options and Message Preview button.,None significant; preview content matches the documented example.
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002655079145.png,figure,346,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the 'Publish Message' dialog (Figure 7) referenced in Step 4. | Shows Message Format set to Template and JSON message with tem_001, startdate, enddate. | Includes Message Attributes section matching Table 4.",Topic Name value is redacted/blurred in the image.
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0114842271.png,figure,395,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the email message example (Figure 8) referenced in Step 5. | Contains the exposition message text and an unsubscribe link, matching the RST email description. | Demonstrates the email protocol subscription endpoint content.","No email subject line or sender header visible, only the body content."
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0151546390.png,substitution_image,420,icon,False,False,False,,2,2,2,3,3,0.77,partial,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is a location/map-pin icon used as |image1|/|image3|/|image5|/|image7| for region and project selection. | Relevant to the 'select the desired region and project' step in each procedure. | Isolated symbolic graphic, not a full UI screenshot.",No surrounding UI context shown; only the icon symbol is visible.
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002659158837.png,substitution_image,415,icon,False,False,False,,2,2,2,3,3,0.77,partial,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Image is a save (floppy disk) icon used as |image2| for 'Save as Quick Filter Set'. | Relevant to the search/filter step in Step 1. | Isolated symbolic graphic.,No surrounding search box context shown; only the icon is visible.
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002659278785.png,substitution_image,417,icon,False,False,False,,2,2,2,3,3,0.77,partial,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Image is a save (floppy disk) icon used as |image4| for 'Save as Quick Filter Set'. | Relevant to the search/filter step in Step 2. | Isolated symbolic graphic.,No surrounding search box context shown; only the icon is visible.
umn/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002628919572.png,substitution_image,419,icon,False,False,False,,2,2,2,3,3,0.77,partial,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Image is a save (floppy disk) icon used as |image6| for 'Save as Quick Filter Set'. | Relevant to the search/filter step in Step 3. | Isolated symbolic graphic.,No surrounding search box context shown; only the icon is visible.
umn/source/message_template_management/deleting_a_message_template.rst,Deleting a Message Template,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0151546390.png,substitution_image,38,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a small location pin/marker icon used for region and project selection | Matches the RST reference in step 2 where the user clicks this icon in the upper left corner | The icon is a generic navigation element, not specific to message template deletion | Serves as a UI symbol for selecting region/project context before navigating to SMN","The icon is very small and low-resolution, making fine details hard to discern | No surrounding UI context is visible to confirm its exact placement in the upper left corner"
umn/source/overview/region_and_az.rst,Region and AZ,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0184026531.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/permissions_management/creating_a_user_and_granting_smn_permissions.rst,Creating a User and Granting SMN Permissions,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000001569113488.png,figure,30,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
