document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
doc/best-practice/source/best_practices/migrating_container_images/migrating_images_to_swr_using_image-syncer.rst,Migrating Images to SWR Using image-syncer,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/best-practice/source/best_practices/migrating_container_images/migrating_images_to_swr_using_image-syncer.rst,Migrating Images to SWR Using image-syncer,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001400827629.png,figure,49,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/best_practices/migrating_container_images/synchronizing_images_across_clouds_from_harbor_to_swr.rst,Synchronizing Images Across Clouds from Harbor to SWR,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/best-practice/source/best_practices/migrating_container_images/synchronizing_images_across_clouds_from_harbor_to_swr.rst,Synchronizing Images Across Clouds from Harbor to SWR,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001469005545.png,substitution_image,85,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/best_practices/migrating_container_images/synchronizing_images_across_clouds_from_harbor_to_swr.rst,Synchronizing Images Across Clouds from Harbor to SWR,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001418569120.png,substitution_image,86,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/best_practices/migrating_container_images/synchronizing_images_across_clouds_from_harbor_to_swr.rst,Synchronizing Images Across Clouds from Harbor to SWR,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001468885853.png,substitution_image,87,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/best_practices/migrating_container_images/synchronizing_images_across_clouds_from_harbor_to_swr.rst,Synchronizing Images Across Clouds from Harbor to SWR,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001418729104.png,substitution_image,88,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/faqs/general_faqs/how_do_i_create_a_container_image.rst,How Do I Create a Container Image?,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0165153802.png,figure,21,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
doc/best-practice/source/faqs/general_faqs/how_do_i_create_a_container_image.rst,How Do I Create a Container Image?,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0165153805.png,figure,73,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
doc/best-practice/source/image_management/obtaining_a_long-term_valid_login_command.rst,Obtaining a Long-Term Valid Login Command,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001507528236.png,substitution_image,96,,,,,,,,,,,,fail,,,kein valides Bild,200,stop,1,,
doc/best-practice/source/image_management/pulling_an_image.rst,Pulling an Image,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/best-practice/source/image_management/pulling_an_image.rst,Pulling an Image,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001154597496.png,figure,29,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/image_management/pulling_an_image.rst,Pulling an Image,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0282767856.png,substitution_image,48,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/image_management/setting_image_attributes.rst,Setting Image Attributes,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/best-practice/source/image_management/setting_image_attributes.rst,Setting Image Attributes,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001154760600.png,figure,25,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/image_management/sharing_private_images.rst,Sharing Private Images,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/best-practice/source/image_management/sharing_private_images.rst,Sharing Private Images,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001200681339.png,figure,34,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/image_management/uploading_an_image_through_the_client.rst,Uploading an Image Through the Client,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/best-practice/source/image_management/uploading_an_image_through_the_client.rst,Uploading an Image Through the Client,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001201043047.png,figure,38,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/image_management/uploading_an_image_through_the_client.rst,Uploading an Image Through the Client,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001200577091.png,figure,77,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/image_management/uploading_an_image_through_the_client.rst,Uploading an Image Through the Client,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0143894038.png,substitution_image,125,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/organization_management.rst,Organization Management,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001154801774.png,figure,17,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
doc/best-practice/source/organization_management.rst,Organization Management,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001361665969.png,figure,34,,,,,,,,,,,,fail,,Images with the forbidden color were not sent to the AI API.,kein valides Bild,,local_hard_fail,0,,
doc/best-practice/source/organization_management.rst,Organization Management,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001154966988.png,figure,56,,,,,,,,,,,,fail,,Images with the forbidden color were not sent to the AI API.,kein valides Bild,,local_hard_fail,0,,
doc/best-practice/source/overview.rst,Overview,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001200587685.png,figure,13,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
doc/best-practice/source/permissions_management/creating_a_user_and_granting_swr_permissions.rst,Creating a User and Granting SWR Permissions,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001127297210.png,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
doc/best-practice/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0294353976.png,figure,22,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
doc/best-practice/source/service_overview/basic_concepts.rst,Basic Concepts,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0195122694.png,figure,31,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
doc/best-practice/source/service_overview/related_services.rst,Related Services,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0196304259.png,figure,12,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
doc/best-practice/source/user_permissions.rst,User Permissions,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001200802327.png,figure,30,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
doc/best-practice/source/user_permissions.rst,User Permissions,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001154645118.png,figure,57,,,,,,,,,,,,fail,,Images with the forbidden color were not sent to the AI API.,kein valides Bild,,local_hard_fail,0,,
umn/source/faqs/general_faqs/how_do_i_create_a_container_image.rst,How Do I Create a Container Image?,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0165153802.png,figure,21,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/faqs/general_faqs/how_do_i_create_a_container_image.rst,How Do I Create a Container Image?,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0165153805.png,figure,73,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/organization_management.rst,Organization Management,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001154801774.png,figure,17,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/organization_management.rst,Organization Management,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000002319439097.png,substitution_image,60,icon,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"The image is a small trash/delete icon inside a square border, consistent with a UI delete button symbol. | The RST references this image as |image1| in the 'Deleting an Organization' section with the instruction 'Click |image1| and then click Yes', which matches a delete icon. | The icon is semantically appropriate for the deletion workflow described in the document. | No contradictions between the image content and its textual usage.","The icon is shown in isolation without surrounding UI context, so the exact button label or tooltip is not visible."
umn/source/overview.rst,Overview,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001200587685.png,figure,13,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/permissions_management/configuring_iam_permissions.rst,Configuring IAM Permissions,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001127297210.png,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/permissions_management/configuring_image_permissions.rst,Configuring Image Permissions,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001200802327.png,figure,42,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0294353976.png,figure,22,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/basic_concepts.rst,Basic Concepts,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0195122694.png,figure,31,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
