document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
doc/best-practice/source/best_practices/migrating_container_images/migrating_images_to_swr_using_image-syncer.rst,Migrating Images to SWR Using image-syncer,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/best_practices/migrating_container_images/synchronizing_images_across_clouds_from_harbor_to_swr.rst,Synchronizing Images Across Clouds from Harbor to SWR,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/image_management/pulling_an_image.rst,Pulling an Image,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/image_management/setting_image_attributes.rst,Setting Image Attributes,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/image_management/sharing_private_images.rst,Sharing Private Images,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/image_management/uploading_an_image_through_the_client.rst,Uploading an Image Through the Client,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/service_overview/introduction.rst,Introduction,/home/ubuntu/repotesting/software-repository-container/umn/source/_static/images/en-us_image_0000001200534503.png,figure,13,screenshot,True,False,True,"Interactive buttons/links are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,The image visually depicts the three-step SWR workflow referenced in the figure caption. | The content aligns with the Introduction section's overview of SWR functionality.,
umn/source/faqs/general_faqs/about_swr.rst,About SWR,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/faqs/general_faqs/how_do_i_create_a_container_image.rst,How Do I Create a Container Image?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/troubleshooting/why_does_the_login_command_fail_to_be_executed.rst,Why Does the Login Command Fail to Be Executed?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/image_management/obtaining_a_long-term_docker_login_command.rst,Obtaining a Long-Term Docker Login Command,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/image_management/pulling_an_image.rst,Pulling an Image,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/image_management/uploading_an_image_through_a_container_engine_client.rst,Uploading an Image Through a Container Engine Client,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/organization_management.rst,Organization Management,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/permissions_management/configuring_iam_permissions.rst,Configuring IAM Permissions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/permissions_management/configuring_image_permissions.rst,Configuring Image Permissions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/basic_concepts.rst,Basic Concepts,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/introduction.rst,Introduction,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/related_services.rst,Related Services,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
