document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/getting_started/configuring_cross-az_dr/configuration_process.rst,Configuration Process,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665371.png,figure,18,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/configuring_cross-az_dr/step_1_create_a_protection_group.rst,Step 1: Create a Protection Group,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0000002148848834.png,figure,16,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/configuring_cross-az_dr/step_1_create_a_protection_group.rst,Step 1: Create a Protection Group,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665274.png,figure,35,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is a screenshot of the 'Create Protection Group' page in a management console, matching Figure 2 in the RST. | All fields from Table 1 are visible: Region, DR Direction (Production Site and DR Site), Deployment Model, VPC, and Protection Group Name. | The 'Create Now' button and 'Back to Protection Group List' link are visible, matching the procedure steps. | Example values in the image (eu-de, eu-de-01, eu-de-02, VPC migration, vpc-sdrs, Protection-Group-3089) are consistent with the RST table structure.","The RST table uses slightly different example values (az-01, az-02, vpc-test, protection_group_001) than the image (eu-de-01, eu-de-02, vpc-sdrs, Protection-Group-3089), but this is a minor cosmetic difference in example data."
umn/source/getting_started/configuring_cross-az_dr/step_1_create_a_protection_group.rst,Step 1: Create a Protection Group,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665395.png,substitution_image,74,icon,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is a small circular icon with a checkmark, representing a status indicator. | The RST references this image as |image1| in the context of the protection group status being 'Available'. | The checkmark-in-circle icon is a standard visual representation for a successful/available status. | The icon is appropriately small and symbolic, fitting the 'icon' classification.","The icon is very small and low-resolution, making it difficult to discern fine details, but the checkmark-in-circle shape is clearly identifiable."
umn/source/getting_started/configuring_cross-az_dr/step_2_create_a_protected_instance.rst,Step 2: Create a Protected Instance,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665321.png,figure,18,other,False,False,False,,3,3,3,3,3,1.00,pass,,"Expected 2 image results, but received 1 unique valid results. Missing results for: /home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665405.png",,200,stop,1,"The diagram illustrates the cross-AZ DR architecture with a protection group spanning Production site (AZ 1) and DR site (AZ 2) within a VPC, matching the document's topic of creating protected instances for DR. | The diagram shows ECS instances, ELB, and disks on both sites with a 'Replication pair creation' link between them, consistent with the RST description that disks form replication pairs automatically. | The figure is placed in the Scenarios section to provide a conceptual overview of how protected instances work across two AZs. | All elements in the diagram (VPC, ELB, ECS, disks, replication pairs) are semantically aligned with the RST content.",The diagram does not show the 'Stopped' state of the DR site server mentioned in the RST. | No specific server specifications or names are shown in the diagram.
umn/source/service_overview/basic_concepts/region_and_az.rst,Region and AZ,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0184026531.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/supported_dr_scenarios.rst,Supported DR Scenarios,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665307.png,figure,16,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/supported_dr_scenarios.rst,Supported DR Scenarios,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665264.png,figure,35,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/supported_dr_scenarios.rst,Supported DR Scenarios,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665385.png,figure,52,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/supported_dr_scenarios.rst,Supported DR Scenarios,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665263.png,figure,69,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/supported_dr_scenarios.rst,Supported DR Scenarios,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665319.png,figure,88,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
