document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/faqs/what_can_i_do_if_the_nic_names_of_the_dr_drill_server_and_production_site_server_are_different.rst,What Can I Do If the NIC Names of the DR Drill Server and Production Site Server Are Different?,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665316.png,figure,18,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Shows a terminal window with NIC names eth0 to eth4. | Directly matches the document's description of the production site server NIC names in the Symptom section.,
umn/source/faqs/what_can_i_do_if_the_nic_names_of_the_dr_drill_server_and_production_site_server_are_different.rst,What Can I Do If the NIC Names of the DR Drill Server and Production Site Server Are Different?,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665320.png,figure,26,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Shows a terminal window with NIC names eth5 to eth9. | Directly matches the document's description of the DR drill server NIC names in the Symptom section.,
umn/source/getting_started/configuring_cross-az_dr/configuration_process.rst,Configuration Process,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665371.png,figure,18,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a flowchart illustrating the cross-AZ DR configuration process. | It directly corresponds to the referenced Figure 1 in the text. | The steps shown (Create a protection group, Create a protected instance, Enable protection) align perfectly with the section topic.",
umn/source/getting_started/configuring_cross-az_dr/step_1_create_a_protection_group.rst,Step 1: Create a Protection Group,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/getting_started/performing_a_dr_drill.rst,Performing a DR Drill,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665327.png,figure,26,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a technical architecture diagram illustrating the DR drill workflow. | It accurately depicts the production site, DR site, data replication, and the process of using a snapshot to create a drill server in a separate VPC, directly matching the RST description.",
umn/source/management/interconnecting_with_cts/viewing_traces.rst,Viewing Traces,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665281.png,figure,40,screenshot,True,False,True,"Interactive button 'View Trace' is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Matches the figure caption 'Expanding trace details'. | Shows the expanded trace information table as described in the procedure.,
umn/source/management/interconnecting_with_cts/viewing_traces.rst,Viewing Traces,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665404.jpg,substitution_image,47,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches the RST reference for the expand/collapse control icon. | Shows a downward chevron used to expand trace details.,
umn/source/management/managing_dr_drills/performing_a_dr_drill.rst,Performing a DR Drill,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665327.png,figure,26,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a technical architecture diagram illustrating the DR drill process. | It accurately depicts the production site, DR site, data replication, and the creation of a drill server in a separate VPC using snapshots, which aligns perfectly with the RST description.",
umn/source/management/managing_protected_instances/attaching_a_replication_pair.rst,Attaching a Replication Pair,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665398.png,figure,41,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Attach Replication Pair' dialog window, which directly corresponds to the procedure steps described in the document. | The UI elements, including the table for selecting a replication pair and the 'OK' button, match the textual description. | The 'OK' button is magenta, adhering to the interactive button color rule.",
umn/source/management/managing_protected_instances/deleting_a_protected_instance.rst,Deleting a Protected Instance,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665372.png,figure,40,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image displays the 'Delete Protected Instance' dialog box explicitly mentioned in step 5 of the procedure. | It accurately reflects the warning message, the 'Delete DR site server' checkbox, and the instance details table. | The 'No' button is magenta, which satisfies the mandatory button color rule.",
umn/source/management/managing_protected_instances/modifying_specifications_of_a_protected_instance.rst,Modifying Specifications of a Protected Instance,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665266.png,figure,42,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Protected Instances' page with the 'More' dropdown menu expanded, displaying the exact options to modify production or DR site server specifications as described in step 4.",
umn/source/management/managing_protected_instances/modifying_specifications_of_a_protected_instance.rst,Modifying Specifications of a Protected Instance,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665326.png,figure,52,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays the specification modification dialog box with fields for server type, vCPU, and memory, along with the checkbox for modifying both sites, directly illustrating steps 6 and 7.",
umn/source/management/managing_replication_pairs/deleting_a_replication_pair.rst,Deleting a Replication Pair,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665400.png,figure,40,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image accurately depicts the 'Delete Replication Pair' dialog box described in step 5 of the procedure. | It clearly shows the warning message, the 'Delete DR site disk' checkbox, and the 'Yes'/'No' confirmation buttons. | The visual content directly aligns with the textual instructions and provides strong evidence for the UI state.",
umn/source/service_overview/supported_dr_scenarios.rst,Supported DR Scenarios,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665307.png,figure,16,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Diagram clearly illustrates the 'Production site being faulty' scenario with a red X over the production site box. | Accurately depicts ECS instances and storage resources at both production and DR sites.,None
umn/source/service_overview/supported_dr_scenarios.rst,Supported DR Scenarios,/home/ubuntu/repotesting/storage-disaster-recovery-service/umn/source/_static/images/en-us_image_0288665264.png,figure,35,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Diagram accurately illustrates the 'DR site being faulty' scenario with a red X over the DR site box. | Correctly shows the architecture with unaffected production site and faulty DR site.,None
