document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001884958205.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/getting_started/adding_tags_to_cloud_resources.rst,Adding Tags to Cloud Resources,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002502623003.png,substitution_image,95,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image shows a hamburger menu icon (three horizontal lines), consistent with the RST instruction to click the menu in the upper left corner of the page | The icon is used in the 'Adding Tags on the TMS Console' section as a navigation element to reach Tag Management Service | The icon is a generic navigation symbol, not specific to tag management, but correctly placed in the procedural steps | The image is very small and low resolution but the three-line pattern is clearly identifiable","The image is extremely small (approximately 30x30 pixels), making it difficult to confirm any additional details | No label or text is visible in the icon to confirm it is specifically the Huawei Cloud navigation menu"
umn/source/getting_started/adding_tags_to_cloud_resources.rst,Adding Tags to Cloud Resources,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001982445689.png,substitution_image,96,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image shows a hamburger menu icon (three horizontal lines), matching the RST instruction to click the menu in the upper left corner | Used in the 'Checking Whether a Tag Takes Effect' section as a navigation step to reach Tag Management Service | The icon is a generic navigation symbol appropriate for the procedural context | The image is very small and low resolution but the three-line hamburger pattern is identifiable","The image is extremely small (approximately 30x30 pixels), limiting detail verification | No distinguishing text or branding is visible to confirm the specific console context"
umn/source/getting_started/index.rst,Getting Started,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002285916460.png,substitution_image,100,icon,True,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines), a standard navigation symbol in cloud management consoles | Referenced in step 2 of 'Adding Tags on the TMS Console' as the element to click in the upper left corner | The icon matches the described action of opening the main navigation menu to reach Management & Deployment > Tag Management Service | It is a generic UI navigation icon, not specific to TMS or tag management | No contradiction between the image and the RST description","The icon is very small and low-resolution, making it difficult to confirm exact styling | No surrounding UI context is visible to confirm it is specifically the TMS console menu"
umn/source/getting_started/index.rst,Getting Started,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002320589057.png,substitution_image,101,icon,True,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines), identical in type to image1 | Referenced in step 2 of 'Checking Whether a Tag Takes Effect' as the element to click in the upper left corner | Used to navigate to Management & Deployment > Tag Management Service, consistent with the RST procedure | It is a generic UI navigation icon, not specific to TMS or tag management | No contradiction between the image and the RST description","The icon is very small and low-resolution, making it difficult to confirm exact styling | No surrounding UI context is visible to confirm it is specifically the TMS console menu"
umn/source/permissions_management/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001700714200.png,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/quotas.rst,Quotas,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001701522432.png,substitution_image,45,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"The image is a small bar-chart-style icon (three vertical bars of decreasing height), consistent with a UI symbol for quotas or statistics. | The RST references this image as a clickable element in the upper-right corner that opens the Service Quota page, which aligns with a bar-chart/statistics icon. | The icon is placed in the 'How Do I View My Quotas?' section, making it directly relevant to that procedure. | No contradiction is visible between the icon and the surrounding text.","The image does not show the surrounding management-console UI, so the 'upper right corner' placement cannot be visually confirmed. | No label or tooltip is visible on the icon to explicitly confirm it represents 'Service Quota'."
umn/source/service_overview/logging_in_to_tms.rst,Logging In to TMS,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002473916720.png,substitution_image,18,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small symbolic graphic: three stacked horizontal bars forming a hamburger/menu icon. | The RST references this image as the element to click in the management console to open navigation and select Tag Management Service, which is consistent with a menu icon. | The icon is generic and not specific to TMS, so topic and detail match are moderate rather than exact. | No contradiction between the icon and the surrounding text.",No surrounding UI context is visible to confirm this is the navigation menu button in the console. | No label or text accompanies the icon to identify it explicitly.
umn/source/service_overview/region_and_az.rst,Region and AZ,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0184026531.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
