document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faqs/how_do_i_start_the_activex_plug-in_when_using_internet_explorer_9_to_import_files.rst,How Do I Start the ActiveX Plug-in When Using Internet Explorer 9 to Import Files?,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0141727097.png,substitution_image,38,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a gear icon, which is the universal symbol for settings or options, perfectly aligning with the procedure step to click it to access Internet Options.",
umn/source/getting_started/adding_tags_to_cloud_resources.rst,Adding Tags to Cloud Resources,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002502623003.png,substitution_image,95,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image clearly shows a hamburger menu icon, which directly matches the RST instruction to click the icon in the upper left corner of the console.",
umn/source/getting_started/adding_tags_to_cloud_resources.rst,Adding Tags to Cloud Resources,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001982445689.png,substitution_image,96,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,The image displays the same hamburger menu icon referenced in the second procedure for accessing the Tag Management Service.,
umn/source/getting_started/index.rst,Getting Started,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002285916460.png,substitution_image,100,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a standard hamburger menu icon, which aligns with the RST instruction to click a menu in the upper left corner. | The visual content directly matches the |image1| placeholder referenced in the 'Adding Tags on the TMS Console' section.",
umn/source/getting_started/index.rst,Getting Started,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002320589057.png,substitution_image,101,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a standard hamburger menu icon, matching the RST instruction to click a menu in the upper left corner. | The visual content directly matches the |image2| placeholder referenced in the 'Checking Whether a Tag Takes Effect' section.",
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0174331264.png,figure,16,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Diagram illustrates central management of resources by editing and filtering tags, directly supporting the section text.",
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001079874496.png,figure,31,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Diagram illustrates the resource migration process with predefined tags, including export, import, and association steps described in the text.",
umn/source/service_overview/logging_in_to_tms.rst,Logging In to TMS,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002473916720.png,substitution_image,18,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,2,"The image shows a hamburger menu icon, which aligns with the text instruction to click it for navigation within the management console.","The image is a standalone icon without surrounding UI context, so specific console layout details are not visible."
umn/source/tag_management/predefined_tags/creating_predefined_tags.rst,Creating Predefined Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002502623003.png,substitution_image,33,icon,False,False,False,,2,3,2,3,3,0.83,pass,,200,completed,1,"The image displays a hamburger menu icon, which directly corresponds to the |image1| reference in the navigation instructions. | It is a standard symbolic graphic used to open the main application menu, aligning with the step to access Management & Deployment.",
umn/source/tag_management/resource_tags/adding_resource_tags.rst,Adding Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002469652388.png,substitution_image,86,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image displays a standard hamburger menu icon, which aligns with the RST instruction to click it in the upper left corner to access navigation.",
umn/source/tag_management/resource_tags/adding_resource_tags.rst,Adding Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001980527349.png,substitution_image,87,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image shows a gear/settings icon, matching the RST step to click it for configuring tag key display options.",
umn/source/tag_management/resource_tags/adding_resource_tags.rst,Adding Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001702823502.png,substitution_image,88,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image is a plus sign icon, consistent with the RST instruction to click it in the tag key column to add or modify tags.",
umn/source/tag_management/resource_tags/adding_resource_tags.rst,Adding Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001702996730.png,substitution_image,89,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image displays a plus sign icon, which matches the RST description of the indicator shown for resources that have not been tagged.",
umn/source/tag_management/resource_tags/adding_resource_tags.rst,Adding Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001750583273.png,substitution_image,90,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image shows a checkmark icon, aligning with the RST step to click it to confirm and save the added tag values.",
umn/source/tag_management/resource_tags/adding_resource_tags.rst,Adding Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002502623003.png,substitution_image,91,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image displays a hamburger menu icon, matching the RST instruction to click it in the upper left corner when adding tags to multiple resources.",
umn/source/tag_management/resource_tags/deleting_resource_tags.rst,Deleting Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002502623003.png,substitution_image,79,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a hamburger menu icon, which matches the instruction to click the menu in the upper left corner of the page.",
umn/source/tag_management/resource_tags/deleting_resource_tags.rst,Deleting Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001949896556.png,substitution_image,77,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a settings gear icon, corresponding to the step to click an icon in the search result area to adjust the key display list.",
umn/source/tag_management/resource_tags/deleting_resource_tags.rst,Deleting Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001980537901.png,substitution_image,78,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows an 'X' icon, which is a standard symbol for deletion, aligning with the instruction to click it to remove a resource tag.",
umn/source/tag_management/resource_tags/modifying_resource_tags.rst,Modifying Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002502623003.png,substitution_image,88,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a hamburger menu icon, which aligns with the instruction to click the menu in the upper left corner. | Standard UI symbol for navigation menus.",
umn/source/tag_management/resource_tags/modifying_resource_tags.rst,Modifying Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001980456121.png,substitution_image,85,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a gear/settings icon, matching the step to configure the key display list. | Consistent with standard UI conventions for settings or options.",
umn/source/tag_management/resource_tags/modifying_resource_tags.rst,Modifying Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0153920847.png,substitution_image,86,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image depicts a pencil icon, which universally represents editing functionality. | Directly corresponds to the instruction to click the edit button for a specific resource row.",
umn/source/tag_management/resource_tags/modifying_resource_tags.rst,Modifying Resource Tags,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0153921664.png,substitution_image,87,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a checkmark icon, indicating confirmation or completion. | Matches the final step to confirm the modified tag value.",
umn/source/tag_management/resource_tags/searching_for_resources.rst,Searching for Resources,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000002502623003.png,substitution_image,45,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Standard hamburger menu icon representing the navigation menu. | Directly matches the RST instruction to click the icon in the upper left corner to access the Management & Deployment section.,
umn/source/tag_management/resource_tags/searching_for_resources.rst,Searching for Resources,/home/ubuntu/repotesting/tag-management-service/umn/source/_static/images/en-us_image_0000001756448773.png,substitution_image,46,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Standard circular arrow icon representing a refresh action. | Directly matches the RST instruction to click the icon to refresh the resource list.,
