document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001828922089.png,figure,63,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001828921437.png,figure,31,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001562311076.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/getting_started/connecting_to_a_db_instance_over_a_private_network/step_1_create_a_db_instance.rst,Step 1: Create a DB Instance,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001352219100.png,substitution_image,158,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small gray location-pin icon, consistent with a region/project selector in a management console UI. | The RST step 2 instructs the user to 'Click |image1| in the upper left corner and select a region and a project,' which aligns with a location-pin icon. | The icon is a generic UI symbol and does not depict the DB instance creation workflow itself, so topic match is moderate. | No contradiction exists between the icon and the surrounding text.","The image does not show the surrounding UI context (e.g., the upper-left corner of the console) to confirm placement. | No label or text accompanies the icon to explicitly identify it as a region selector."
umn/source/getting_started/connecting_to_a_db_instance_over_a_public_network/step_3_configure_security_group_rules.rst,Step 3: Configure Security Group Rules,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001352219100.png,substitution_image,73,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin / map-marker symbol, consistent with an isolated UI icon. | In the RST it is referenced as |image1| in step 2: 'Click |image1| in the upper left corner and select a region and a project,' which matches a region/location selector icon. | The icon is part of the Procedure section and supports the login/region-selection step, though it is not directly about security group rules. | No contradiction between the icon and the surrounding text.","The image is a generic location pin without surrounding UI context, so its exact placement in the console cannot be confirmed. | No label or text accompanies the icon to confirm it is the region/project selector."
umn/source/working_with_taurusdb/account_management_non-administrator/deleting_a_database_account.rst,Deleting a Database Account,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001352219100.png,substitution_image,31,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker icon, an isolated UI symbol rather than a full screenshot. | It is referenced in step 2 as the control to click in the upper-left corner to select a region and a project, which matches a region/locator icon. | The icon supports the navigation procedure but is not directly about deleting a database account, so topic match is partial. | No visible interactive buttons or controls are present in the image itself.",No text label in the image confirms it is the region/project selector. | No surrounding UI context is shown to verify its placement in the upper-left corner.
umn/source/working_with_taurusdb/backups_and_restorations/deleting_a_manual_backup.rst,Deleting a Manual Backup,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001352219100.png,substitution_image,35,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker symbol, matching the region/project selector icon referenced in step 2. | The RST uses |image1| in the Procedure step 'Click |image1| in the upper left corner and select a region and a project', which is consistent with a location pin icon. | The icon is an isolated UI symbol, not a full screenshot or interactive button, so it is classified as an icon. | No contradiction between the icon and the surrounding text.","The image does not show the surrounding console UI, so the exact placement in the upper-left corner cannot be visually confirmed. | No label or text accompanies the icon to explicitly identify it as the region/project selector."
