document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faqs/how_can_i_install_the_mysql_client.rst,How Can I Install the MySQL Client?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/how_do_i_import_the_ssl_certificate_of_an_rds_instance_to_a_windows_or_linux_server.rst,How Do I Import the SSL Certificate of an RDS Instance to a Windows or Linux Server?,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/getting_started/connecting_to_a_db_instance_over_a_private_network/step_2_configure_security_group_rules.rst,Step 2: Configure Security Group Rules,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001352219100.png,substitution_image,86,icon,False,False,False,,3,2,3,3,3,0.93,pass,,200,completed,1,"The image displays a location pin icon, which directly corresponds to the RST instruction to click it to select a region and project. | The icon is a standard UI symbol for location/region selection, aligning with the procedural step context.",
umn/source/getting_started/connecting_to_a_db_instance_over_a_private_network/step_3_connect_to_a_db_instance_over_a_private_network.rst,Step 3: Connect to a DB Instance over a Private Network,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001352219096.png,figure,52,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the 'Open Session' dialog box with the 'New...' button, matching Figure 1 and Step 2 instructions.",
umn/source/getting_started/connecting_to_a_db_instance_over_a_private_network/step_3_connect_to_a_db_instance_over_a_private_network.rst,Step 3: Connect to a DB Instance over a Private Network,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001352379004.png,figure,61,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image displays the 'Add Account' dialog with fields for Host, Port, User, and Password, aligning with Figure 2 and Table 1 parameter descriptions.",
umn/source/getting_started/connecting_to_a_db_instance_over_a_private_network/step_3_connect_to_a_db_instance_over_a_private_network.rst,Step 3: Connect to a DB Instance over a Private Network,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001402858817.png,figure,90,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the 'Open Session' window with a created connection listed and the 'Open' button, directly illustrating Figure 3 and Step 4.",
umn/source/getting_started/connecting_to_a_db_instance_over_a_private_network/step_3_connect_to_a_db_instance_over_a_private_network.rst,Step 3: Connect to a DB Instance over a Private Network,/home/ubuntu/repotesting/taurusdb/umn/source/_static/images/en-us_image_0000001352219100.png,substitution_image,142,icon,False,False,False,,3,2,3,3,3,0.93,pass,,200,completed,1,"Image is a location pin icon, consistent with the region selector mentioned in the SSL Connection section Step 2.",
