document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/authentication.rst,Authentication,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
umn/source/cluster_federation/adding_labels_and_taints_to_a_cluster.rst,Adding Labels and Taints to a Cluster,en-us_image_0000001568318244.png,icon,pass,1.00,"The image is a tag/label icon, which directly represents the 'labels' concept in the document about adding labels and taints to a cluster. | The RST instructs the user to click this icon in the upper right corner to open the 'Manage Labels and Taints' dialog box, and a tag icon is a standard symbol for label management. | The icon is placed in step 2 of the 'Managing Cluster Labels and Taints' procedure, which is the correct contextual location. | The visual content (a price-tag shape with a dot) is unambiguous and consistent with a label/tag action button.",The full UI context (the upper-right corner of the cluster page) is not visible; only the isolated icon is shown.
umn/source/cluster_federation/adding_labels_and_taints_to_a_cluster.rst,Adding Labels and Taints to a Cluster,en-us_image_0000001568637180.png,icon,pass,1.00,"The image is a plus-sign-in-circle icon, the universal symbol for 'add', which matches the RST instruction to click it to add a node label or taint. | The RST places this icon in step 3 of the 'Managing Cluster Labels and Taints' procedure, where the user adds a new label or taint entry. | The visual content (a '+' inside a circle) is clear and unambiguous as an add/create action button. | No contradiction between the icon's meaning and the surrounding text describing the add operation.",The surrounding dialog box UI (the 'Manage Labels and Taints' dialog) is not visible; only the isolated add icon is shown.
umn/source/cluster_federation/configmaps_and_secrets/configmaps.rst,ConfigMaps,en-us_image_0000001503824204.png,icon,pass,0.83,"The image is a small plus (+) symbol, an isolated UI icon used as an add control. | In the RST it is referenced as |image1| in the ConfigMap Data row: 'Click |image1| and enter the key and value,' matching an add-key-value action. | The icon is placed within the 'Creating a ConfigMap' section (Table 1), so it is topically relevant to ConfigMap creation. | The visual content (a simple plus glyph) is clearly visible and unambiguous.","The image shows only the plus glyph without surrounding form context, so the exact UI placement cannot be confirmed from the image alone. | No label or tooltip is visible to confirm the button's purpose beyond the RST text."
umn/source/cluster_federation/enabling_cluster_federation.rst,Enabling Cluster Federation,en-us_image_0000001416896654.png,icon,partial,0.72,The image is a small symbolic icon (hexagon with a cube and a plus sign) used as the 'Add Cluster' button in the UCS console. | The RST references this icon in the 'Adding Clusters' section as an alternative to clicking the 'Add Cluster' text button. | The icon's plus sign and cube motif are consistent with an 'add cluster' action in a cloud-native service context. | The icon is a generic add-type pictogram rather than a detailed illustration specific to cluster federation.,The icon does not explicitly depict federation or multi-cluster concepts; it is a generic add-cluster symbol. | No surrounding UI context is visible to confirm its placement in the upper-right corner of the fleet card.
umn/source/cluster_federation/mci/overview.rst,Overview,en-us_image_0000001756494569.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/mci/overview.rst,Overview,en-us_image_0000001772226485.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/mcs/north-south_mcs/overview.rst,Overview,en-us_image_0000002053985625.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/mcs/overview.rst,Overview,en-us_image_0000001801477477.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/mcs/overview.rst,Overview,en-us_image_0000001749257256.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/multi-cluster_workload_scaling/creating_an_hpa_policy_with_custom_metrics.rst,Creating an HPA Policy with Custom Metrics,en-us_image_0000002527868302.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/multi-cluster_workload_scaling/creating_an_hpa_policy_with_custom_metrics.rst,Creating an HPA Policy with Custom Metrics,en-us_image_0000002558988139.png,screenshot,pass,1.00,"The image is a terminal screenshot showing the JSON output of a kubectl get --raw command against the custom metrics API. | The output contains metricName ""container_cpu_usage_core_per_second"", exactly the custom metric described in the RST example. | The apiVersion ""custom.metrics.k8s.io/v1beta1"" and namespace ""default"" match the verification command in Step 3. | The image is placed immediately after the |image1| reference that follows the verification command, confirming its intended location. | No interactive UI controls are visible; it is plain command-line text output.","No console or cluster UI is visible, only raw terminal text. | The specific pod name (test-67cbc85848-qmk6t) and timestamp are run-specific and not stated in the RST."
umn/source/cluster_federation/multi-cluster_workload_scaling/cronfederatedhpa/how_cronfederatedhpa_works.rst,How CronFederatedHPA Works,en-us_image_0000001796643017.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/multi-cluster_workload_scaling/cronfederatedhpa/how_cronfederatedhpa_works.rst,How CronFederatedHPA Works,en-us_image_0000001749724282.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/multi-cluster_workload_scaling/cronfederatedhpa/how_cronfederatedhpa_works.rst,How CronFederatedHPA Works,en-us_image_0000001796723973.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/multi-cluster_workload_scaling/cronfederatedhpa/how_cronfederatedhpa_works.rst,How CronFederatedHPA Works,en-us_image_0000001749883158.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/multi-cluster_workload_scaling/federatedhpa/how_federatedhpa_works.rst,How FederatedHPA Works,en-us_image_0000001770983106.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/multi-cluster_workload_scaling/overview.rst,Overview,en-us_image_0000001810853161.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/multi-cluster_workload_scaling/using_scaling_policies.rst,Using Scaling Policies,en-us_image_0000001770812128.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/multi-cluster_workload_scaling/using_scaling_policies.rst,Using Scaling Policies,en-us_image_0000001770629424.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/multi-cluster_workload_scaling/using_scaling_policies.rst,Using Scaling Policies,en-us_image_0000001770644580.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/overview.rst,Overview,en-us_image_0000001682205542.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/cluster_federation/services_and_ingresses/ingresses.rst,Ingresses,en-us_image_0000001834789605.png,icon,pass,1.00,"The image is a toggle switch icon, which is a small symbolic UI graphic, correctly classified as an icon. | The RST references |image1| in the context of enabling 'Interconnect with Nginx' for Nginx Ingress, and the toggle switch is the standard UI element for enabling/disabling such a feature. | The image appears in the 'Creating an Ingress' section under the 'Interconnect with Nginx' parameter, making it directly relevant to that section. | The visual content (a gray toggle switch in the off position) clearly matches the described action of clicking to enable a feature. | No contradictions between the image content and the surrounding text.",The image does not show any label or text identifying it as the 'Interconnect with Nginx' toggle; context from the RST is required to confirm its specific role.
umn/source/cluster_federation/services_and_ingresses/services/clusterip.rst,ClusterIP,en-us_image_0000001503984840.png,icon,partial,0.72,"The image is a simple plus (+) sign icon, a common 'add' or 'create' symbol in UI contexts. | In the RST, |image1| is used in the phrase 'click |image1| to configure the Service' during the Service Settings step of workload creation. | A plus icon is a standard representation for adding or configuring a new resource, which aligns with the described action. | The icon is generic and not specific to ClusterIP services, but it is semantically appropriate for the 'add/configure' action described. | No contradiction between the icon and its described usage in the document.",The icon is a generic plus sign with no text or additional context to confirm it specifically represents 'configure Service' rather than a generic add action. | No surrounding UI context is visible to confirm the exact button label or placement.
umn/source/cluster_federation/services_and_ingresses/services/clusterip.rst,ClusterIP,en-us_image_0000001554906629.png,icon,pass,0.90,"The image is a circular arrow (refresh/reload) icon in blue, a standard UI symbol for refreshing a list or data. | In the RST, |image2| is used in the phrase 'click |image2| to refresh it' when the workload is not displayed in the list during Selector configuration. | A refresh icon is the exact and expected symbol for the 'refresh' action described in the document. | The icon appears in the 'After Workload Creation' section under the Selector > Workload sub-step, which is precisely where a refresh action would be needed. | No contradiction between the icon and its described usage.",No surrounding UI context is visible to confirm the exact placement of the refresh button in the workload selection dropdown.
umn/source/cluster_federation/services_and_ingresses/services/loadbalancer.rst,LoadBalancer,en-us_image_0000001554906629.png,icon,pass,0.90,"The image is a small blue circular-arrow refresh symbol, an isolated UI pictogram, so it is classified as an icon. | In the RST it is referenced as |image1| in the step 'If your workload is not displayed in the list, click |image1| to refresh it', which matches a refresh control. | The icon appears within the 'Creating a Service' procedure (Selector / Workload refresh), so it is relevant to that section. | The visual content (circular refresh arrow) directly supports the 'refresh' action described in the text. | No contradiction between the image and the surrounding RST content.","The image shows only the symbol without surrounding UI context (no button label or panel), so its exact placement in the console cannot be confirmed visually. | No color or styling details beyond the blue arrow are available to validate against a specific UI theme."
umn/source/cluster_federation/services_and_ingresses/services/nodeport.rst,NodePort,en-us_image_0000001554793633.png,icon,partial,0.72,"The image is a simple plus (+) icon, a common UI symbol for adding or creating an item. | The RST references it as 'click |image1| to configure the Service' in the Service Settings step during workload creation. | A plus icon is a standard 'add' button, consistent with the action of configuring/adding a Service. | The icon is generic and not specific to NodePort services, but it is contextually appropriate for the 'create/configure' action described. | No contradiction between the icon and the surrounding text.","The icon is very small and low-resolution; no additional context (e.g., surrounding UI) is visible to confirm it is specifically a 'configure Service' button. | No label or tooltip is visible on the icon itself."
umn/source/cluster_federation/services_and_ingresses/services/nodeport.rst,NodePort,en-us_image_0000001554906629.png,icon,pass,0.83,"The image is a circular arrow (refresh/reload) icon in blue, a standard UI symbol for refreshing a list. | The RST references it as 'click |image2| to refresh it' in the context of refreshing the workload list when selecting a workload for a Service selector. | The refresh icon directly matches the described action of refreshing the workload list. | The icon is generic and not specific to NodePort, but it is contextually appropriate for the 'refresh' action described. | No contradiction between the icon and the surrounding text.",The icon is small and isolated; no surrounding UI context is visible to confirm it is specifically the workload-list refresh button. | No label or tooltip is visible on the icon itself.
umn/source/cluster_federation/storage/creating_a_pvc.rst,Creating a PVC,en-us_image_0000001504164728.png,icon,partial,0.78,"The image is a small plus-sign icon, consistent with a UI 'add/select' control. | The RST references |image1| in step 4 as the control to click in order to select the cluster for PVC deployment, which matches a plus/add icon. | The icon is placed in the 'Creating a PVC' section under the Cluster parameter, making it topically relevant. | The plus icon is a generic UI symbol; it does not carry PVC-specific labeling, so detail match is moderate. | No contradiction between the icon and the surrounding text.","The icon is a generic plus sign with no text label, so its specific function (select cluster vs. add item) is inferred from context rather than visible in the image. | No surrounding UI context (e.g., a form field or dropdown) is visible to confirm the exact placement of the icon."
umn/source/cluster_federation/storage/mounting_a_local_volume.rst,Mounting a Local Volume,en-us_image_0000001503820864.png,icon,pass,1.00,"The image is a small plus (+) symbol, a standard 'add' icon used in UI toolbars. | The RST references this image (|image1|–|image4|) at the step 'On the Local Volumes tab page, click |imageN|' to add a local volume, which matches the add-icon semantics. | The icon is consistent across all four sections (hostPath, emptyDir, ConfigMap, Secret) where a new local volume is added. | No contradiction between the plus icon and the documented 'add a local volume' action.","The image shows only the plus glyph without surrounding button chrome, so the exact button label/context is not visible. | No text or tooltip is present in the image to confirm the 'add local volume' label."
umn/source/cluster_federation/storage/mounting_a_pv.rst,Mounting a PV,en-us_image_0000001504004280.png,icon,partial,0.77,"The image is a small plus (+) glyph, an isolated UI symbol, matching the 'icon' classification. | In the RST, |image1| is referenced in step 1 of 'Using a PVC to Mount a Cloud Storage Volume' as the control to click on the PersistentVolumeClaims (PVCs) tab, consistent with an add/PVC button. | The plus sign visually corresponds to an 'add' action, aligning with the step of adding a PVC to mount a cloud storage volume. | No contradiction between the image and the surrounding text.","The image shows only a generic plus icon without surrounding UI context (no tab, labels, or panel), so its exact placement cannot be visually confirmed. | No text or label in the image identifies it specifically as the PVC add control."
umn/source/cluster_federation/workloads/container_settings/configuring_a_scheduling_policy_affinity_anti-affinity.rst,Configuring a Scheduling Policy (Affinity/Anti-affinity),en-us_image_0000001503659388.png,other,pass,1.00,"Image is a diagram showing four node boxes with label combinations (DISK=SSD, gpu=true) and corresponding priority levels (Highest, Second, Third, Lowest). | The RST text in the Node Preference Rule section explicitly states: 'Nodes with both SSD and gpu=true labels have the highest priority. Nodes with the SSD label but no gpu=true label have the second priority. Nodes with the gpu=true label but no SSD label have the third priority. Nodes without any of these two labels have the lowest priority.' | The figure caption in the RST is 'Figure 1 Scheduling priority' which matches the image content exactly. | All four priority levels and their label combinations in the image align perfectly with the described scheduling behavior.",
umn/source/cluster_federation/workloads/container_settings/configuring_a_scheduling_policy_affinity_anti-affinity.rst,Configuring a Scheduling Policy (Affinity/Anti-affinity),en-us_image_0000001554898973.png,icon,pass,1.00,"Image is a small plus (+) sign icon, consistent with a UI 'add' button. | The RST references this image as |image1| in the instruction: 'Under Node affinity, Workload affinity, and Workload anti-affinity, click |image1| to add scheduling policies.' | A plus icon is the standard symbol for adding a new item in UI contexts, matching the 'add scheduling policies' action described. | The icon is appropriately small and symbolic, fitting the 'icon' classification.",
umn/source/cluster_federation/workloads/workload_creation/daemonsets.rst,DaemonSets,en-us_image_0000001554286565.png,icon,pass,1.00,"The image is a plus (+) icon, a standard UI symbol for adding a new item. | The RST references this icon in the step 'Click |image1| in the Service Settings area to configure a Service for the workload,' which aligns with the add/plus semantics. | The icon is directly relevant to the DaemonSet creation workflow described in the document. | No contradiction between the visual content and the textual description.",The surrounding UI context (Service Settings area) is not visible; only the isolated icon is shown.
umn/source/cluster_federation/workloads/workload_creation/daemonsets.rst,DaemonSets,en-us_image_0000001503446844.png,icon,pass,1.00,"The image is a toggle switch icon (in the off position), a standard UI control for enabling/disabling a setting. | The RST references this icon in the step 'Click |image2| in the upper right corner of the target cluster to specify differentiated settings,' which aligns with a toggle to enable differentiated configuration. | The icon is directly relevant to the Scheduling and Differentiation step of the DaemonSet creation workflow. | No contradiction between the visual content and the textual description.",The surrounding UI context (upper right corner of the target cluster) is not visible; only the isolated toggle icon is shown.
umn/source/cluster_federation/workloads/workload_creation/deployments.rst,Deployments,en-us_image_0000001554286565.png,icon,pass,1.00,"The image is a small plus (+) icon, consistent with a UI 'add' or 'configure' button. | The RST references this icon in the Service Settings area: 'Click |image1| in the Service Settings area to configure a Service for the workload.' | The plus icon is a standard symbolic representation for adding or enabling a configuration option. | The icon is directly relevant to the Deployment creation workflow described in the document.","The icon is isolated without surrounding UI context, so the exact placement in the Service Settings area cannot be visually confirmed."
umn/source/cluster_federation/workloads/workload_creation/deployments.rst,Deployments,en-us_image_0000001503446844.png,icon,pass,1.00,"The image is a toggle switch icon (shown in the off position), a common UI control for enabling/disabling a feature. | The RST references this icon: 'Click |image2| in the upper right corner of the target cluster to specify differentiated settings.' | A toggle switch is a standard representation for enabling or disabling a setting, which aligns with specifying differentiated settings for a cluster. | The icon is directly relevant to the Scheduling and Differentiation step in the Deployment creation workflow.","The icon is isolated without surrounding UI context, so the exact placement in the upper right corner of a cluster card cannot be visually confirmed."
umn/source/cluster_federation/workloads/workload_creation/statefulsets.rst,StatefulSets,en-us_image_0000001554286565.png,icon,pass,1.00,"The image is a plus (+) icon, a standard 'add' button symbol | The RST references it as the button to click in the Service Settings area to configure a Service | The plus icon semantically matches the action of adding a new Service configuration | It is used in the StatefulSet creation workflow, specifically in the optional Service configuration step",No additional context needed; the icon clearly represents an add/create action consistent with the RST description
umn/source/cluster_federation/workloads/workload_creation/statefulsets.rst,StatefulSets,en-us_image_0000001503446844.png,icon,pass,1.00,"The image is a toggle switch icon (in the off position), a standard UI control for enabling/disabling settings | The RST references it as the button to click in the upper right corner of a target cluster to specify differentiated settings | The toggle icon semantically matches the action of enabling or specifying differentiated settings for a cluster | It is used in the multi-cluster scheduling and differentiated settings step of the StatefulSet creation workflow",No additional context needed; the toggle icon clearly represents an enable/disable control consistent with the RST description
