document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/cluster_federation/adding_labels_and_taints_to_a_cluster.rst,Adding Labels and Taints to a Cluster,/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000001568318244.png,substitution_image,42,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,1,"The image displays a tag icon, which semantically aligns with the 'Labels' functionality described in the text.",
umn/source/cluster_federation/adding_labels_and_taints_to_a_cluster.rst,Adding Labels and Taints to a Cluster,/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000001568637180.png,substitution_image,43,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The plus icon visually represents the 'add' action specified in the instructions for adding labels or taints.,
umn/source/cluster_federation/configmaps_and_secrets/configmaps.rst,ConfigMaps,/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000001503824204.png,substitution_image,95,icon,False,False,False,,2,2,3,3,3,0.83,pass,,200,completed,2,"The image shows a plus icon, which aligns with the instruction to add key-value pairs for ConfigMap data in the Creating a ConfigMap section.",
umn/source/cluster_federation/mci/overview.rst,Overview,/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000001756494569.png,figure,16,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Diagram accurately depicts the traffic flow from the internet through MCI to specific domains and clusters as described in the text.,
umn/source/cluster_federation/mci/overview.rst,Overview,/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000001772226485.png,figure,36,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Diagram correctly illustrates the control plane and data plane components involved in the MCI Controller's working principle.,
umn/source/cluster_federation/mcs/overview.rst,Overview,/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000001801477477.png,figure,33,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The diagram accurately illustrates the working principle of MCS as described in the text. | It correctly depicts the Control Plane, Cluster A, and Cluster B components, including the karmada-controller-manager, Service foo, and Endpoint Slice foo. | The data flow arrows align with the four-step process outlined in the document.",
