document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/cluster_federation/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/fleets/managing_fleets.rst,Managing Fleets,/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000002240667777.png,figure,63,screenshot,True,False,True,"Visible interactive buttons are blue and gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"The screenshot displays the 'Add Permission' UI, directly matching the section instructions.",
umn/source/permissions/kubernetes_resource_permissions_in_a_cluster_kubernetes_rbac-based.rst,Kubernetes Resource Permissions in a Cluster (Kubernetes RBAC-based),/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000002216023866.png,figure,190,screenshot,True,False,True,"Interactive button 'Administrator' is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,UI screenshot shows the 'Add Permission' dialog for granting cluster-admin permissions. | Matches the section describing how to grant cluster administrator permissions on the UCS console.,
umn/source/permissions/kubernetes_resource_permissions_in_a_cluster_kubernetes_rbac-based.rst,Kubernetes Resource Permissions in a Cluster (Kubernetes RBAC-based),/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000002250985213.png,figure,196,screenshot,True,False,True,"Interactive button 'Administrator' is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,UI screenshot shows the 'Add Permission' dialog for granting fleet administrator permissions. | Aligns with the text section on granting cluster-admin permissions to a fleet.,
umn/source/permissions/kubernetes_resource_permissions_in_a_cluster_kubernetes_rbac-based.rst,Kubernetes Resource Permissions in a Cluster (Kubernetes RBAC-based),/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000002251339337.png,figure,207,screenshot,True,False,True,"Interactive button 'O&M' is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,UI screenshot shows the 'Add Permission' dialog with the O&M role selected for a cluster. | Corresponds to the section on granting namespace O&M permissions on all namespaces of a cluster.,
umn/source/permissions/kubernetes_resource_permissions_in_a_cluster_kubernetes_rbac-based.rst,Kubernetes Resource Permissions in a Cluster (Kubernetes RBAC-based),/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000002216024982.png,figure,213,screenshot,True,False,True,"Interactive button 'O&M' is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,UI screenshot shows the 'Add Permission' dialog with the O&M role selected for a fleet. | Matches the section on granting O&M permissions on all namespaces of a fleet.,
umn/source/permissions/kubernetes_resource_permissions_in_a_cluster_kubernetes_rbac-based.rst,Kubernetes Resource Permissions in a Cluster (Kubernetes RBAC-based),/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000002251004289.png,figure,224,screenshot,True,False,True,"Interactive button 'Developer' is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,UI screenshot shows the 'Add Permission' dialog with the Developer role selected for the default namespace. | Aligns with the section on granting namespace developer permissions on a fleet.,
umn/source/permissions/kubernetes_resource_permissions_in_a_cluster_kubernetes_rbac-based.rst,Kubernetes Resource Permissions in a Cluster (Kubernetes RBAC-based),/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000002251008065.png,figure,235,screenshot,True,False,True,"Interactive button 'Viewer' is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,UI screenshot shows the 'Add Permission' dialog with the Viewer role selected for multiple namespaces. | Matches the section on granting read-only namespace permissions on a cluster.,
umn/source/permissions/kubernetes_resource_permissions_in_a_cluster_kubernetes_rbac-based.rst,Kubernetes Resource Permissions in a Cluster (Kubernetes RBAC-based),/home/ubuntu/repotesting/ubiquitous-cloud-native-service/umn/source/_static/images/en-us_image_0000002304604953.png,substitution_image,251,screenshot,True,False,True,"Interactive elements (dropdown, checkboxes) are not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,UI screenshot shows the namespace selection dropdown with an error message regarding namespace selection rules. | Directly illustrates the precaution note about not being able to select other namespaces when 'All namespaces' is chosen.,
