document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/faqs/what_are_the_relationships_among_firewall_groups_policies_and_rules.rst,"What Are the Relationships Among Firewall Groups, Policies, and Rules?",,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/faqs/what_are_the_relationships_among_firewall_groups_policies_and_rules.rst,"What Are the Relationships Among Firewall Groups, Policies, and Rules?",/home/ubuntu/repotesting/virtual-private-cloud/umn/source/_static/images/en-us_image_0000001487964866.png,substitution_image,162,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/faqs/what_are_the_relationships_among_firewall_groups_policies_and_rules.rst,"What Are the Relationships Among Firewall Groups, Policies, and Rules?",/home/ubuntu/repotesting/virtual-private-cloud/umn/source/_static/images/en-us_image_0000001538445357.png,substitution_image,163,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/faqs/what_are_the_relationships_among_firewall_groups_policies_and_rules.rst,"What Are the Relationships Among Firewall Groups, Policies, and Rules?",/home/ubuntu/repotesting/virtual-private-cloud/umn/source/_static/images/en-us_image_0000001538444809.png,substitution_image,164,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/access_control/differences_between_security_groups_and_firewalls.rst,Differences Between Security Groups and Firewalls,/home/ubuntu/repotesting/virtual-private-cloud/umn/source/_static/images/en-us_image_0000001818982946.png,figure,17,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/access_control/firewall/firewall_overview.rst,Firewall Overview,/home/ubuntu/repotesting/virtual-private-cloud/umn/source/_static/images/en-us_image_0000001818982946.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/access_control/firewall/firewall_overview.rst,Firewall Overview,/home/ubuntu/repotesting/virtual-private-cloud/umn/source/_static/images/en-us_image_0000001818982962.png,figure,106,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/access_control/firewall/management_firewall_rules/changing_the_sequence_of_a_firewall_rule.rst,Changing the Sequence of a Firewall Rule,/home/ubuntu/repotesting/virtual-private-cloud/umn/source/_static/images/en-us_image_0000001818982734.png,substitution_image,36,icon,False,False,False,,1,2,2,2,3,0.62,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'select the desired region and project' in step 2. | It is a small symbolic graphic (icon), not a screenshot or page view. | The icon is part of the navigation procedure but not directly related to the core topic of changing firewall rule sequence. | No contradiction between the image and the RST text describing its use.","The image does not show the surrounding UI context (upper-left corner placement, region/project dropdown). | No label or text is visible on the icon to confirm it is specifically the region selector."
umn/source/access_control/firewall/management_firewall_rules/changing_the_sequence_of_a_firewall_rule.rst,Changing the Sequence of a Firewall Rule,/home/ubuntu/repotesting/virtual-private-cloud/umn/source/_static/images/en-us_image_0000001865582933.png,substitution_image,37,icon,False,False,False,,1,2,2,2,3,0.62,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to open a navigation menu and choose 'Network > Virtual Private Cloud' in step 3. | It is a small symbolic graphic (icon), not a screenshot or page view. | The icon is part of the navigation procedure but not directly related to the core topic of changing firewall rule sequence. | No contradiction between the image and the RST text describing its use.","The image does not show the surrounding UI context (upper-left corner placement, menu items like Network or Virtual Private Cloud). | No label or text is visible on the icon to confirm it is specifically the navigation menu trigger."
umn/source/access_control/firewall/management_firewall_rules/deleting_a_firewall_rule.rst,Deleting a Firewall Rule,/home/ubuntu/repotesting/virtual-private-cloud/umn/source/_static/images/en-us_image_0000001818982734.png,substitution_image,36,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a location pin icon, consistent with step 2's instruction to click it to select a region and project | The icon is a small symbolic graphic used as a UI element in the navigation procedure | It is part of the procedure for deleting a firewall rule but does not directly depict firewall rules | The location pin is a standard icon for region/location selection in cloud management consoles",No surrounding UI context visible to confirm it appears in the upper left corner | No text labels visible on the icon itself
