document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/api_reference_enterprise_edition_vpn/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/api_reference_enterprise_edition_vpn/before_you_start.rst,Before You Start,/home/ubuntu/repotesting/virtual-private-network/umn/source/_static/images/en-us_image_0000001594352997.png,figure,65,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/api_reference_enterprise_edition_vpn/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/api_reference_enterprise_edition_vpn/calling_apis/response.rst,Response,/home/ubuntu/repotesting/virtual-private-network/umn/source/_static/images/en-us_image_0000001594578277.png,figure,24,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/administrator_guide/configuring_vpn_when_fortinet_fortigate_firewall_is_used.rst,Configuring VPN When Fortinet FortiGate Firewall Is Used,/home/ubuntu/repotesting/virtual-private-network/umn/source/_static/images/en-us_image_0000001970660305.png,figure,22,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/administrator_guide/configuring_vpn_when_fortinet_fortigate_firewall_is_used.rst,Configuring VPN When Fortinet FortiGate Firewall Is Used,/home/ubuntu/repotesting/virtual-private-network/umn/source/_static/images/en-us_image_0000001542493866.jpg,figure,31,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is a UI panel titled 'Policy Details' showing IKE Policy and IPsec Policy fields, matching Figure 2 referenced in the RST for configuring VPN connection policies. | Values (SHA1, AES-128, Group 5, ESP, lifecycles 86400/3600) align with the CLI configuration in the RST (aes128-sha1, dhgrp 5, keylifeseconds 3600). | The panel is directly tied to the 'Topology Connection' section where Figure 2 is cited for cloud-side VPN policy configuration. | Text is clearly legible and provides concrete visual evidence of the policy parameters described in the document. | No visible contradiction between the image content and the RST description.","The image does not show the remote gateway IP (22.22.22.22) or subnet values, which are only present in the CLI section. | No indication of which cloud console or product the panel belongs to."
umn/source/faqs/s2c_classic_vpn/what_are_the_differences_between_the_application_scenarios_and_connection_modes_of_ipsec_and_ssl_vpns.rst,What Are the Differences Between the Application Scenarios and Connection Modes of IPsec and SSL VPNs?,/home/ubuntu/repotesting/virtual-private-network/umn/source/_static/images/en-us_image_0000001542174462.png,substitution_image,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/faqs/s2c_classic_vpn/what_is_the_vpn_quota.rst,What Is the VPN Quota?,/home/ubuntu/repotesting/virtual-private-network/umn/source/_static/images/en-us_image_0000001542334238.png,substitution_image,30,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location pin icon, consistent with its use in step 2 for selecting region and project. | A location pin is a standard UI symbol for region/area selection, matching the RST description. | The icon is used in the 'How Do I View My Quota?' section as part of navigation steps. | The visual clearly shows a map pin shape, appropriate for region selection.","The icon is very small and low-resolution, making it hard to confirm exact styling details. | No surrounding UI context is visible to confirm it appears in the upper left corner of a console."
umn/source/faqs/s2c_classic_vpn/what_is_the_vpn_quota.rst,What Is the VPN Quota?,/home/ubuntu/repotesting/virtual-private-network/umn/source/_static/images/en-us_image_0000001592574041.png,substitution_image,31,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"The image is a small bar chart icon, consistent with its use as the 'My Quotas' icon in step 3. | A bar chart is a reasonable visual metaphor for quota/usage metrics. | The icon is directly referenced in the 'How Do I View My Quota?' section for accessing the Service Quota page. | The visual shows three vertical bars of decreasing height, a common representation for data/usage metrics.","The icon is very small and low-resolution, making exact styling details unclear. | No surrounding UI context is visible to confirm it appears in the upper right corner of a console. | The RST labels it as the 'My Quotas' icon, but the bar chart shape is a generic metrics symbol rather than a quota-specific symbol."
umn/source/getting_started/s2c_classic_vpn/creating_a_vpn.rst,Creating a VPN,/home/ubuntu/repotesting/virtual-private-network/umn/source/_static/images/en-us_image_0000001592773969.png,substitution_image,238,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Small location pin / map marker icon | Referenced as |image1| in the RST for selecting region and project | Generic icon consistent with a region selector in a cloud console,"Icon is very small and low-resolution, making fine details hard to discern"
