document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/faqs/is_there_a_quota_limit_on_the_number_of_backups.rst,Is There a Quota Limit on the Number of Backups?,/home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0275513364.png,substitution_image,34,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'select the desired region and project' in the upper left corner. | The icon is used in the 'How Do I View My Quotas?' section as a navigation element for region selection. | A location pin is a standard UI symbol for region/area selection in management consoles. | The image clearly shows a map pin/location marker symbol.","The image does not show the full UI context (upper left corner placement, surrounding interface elements). | No text label is visible on the icon to confirm it specifically represents region selection."
umn/source/getting_started/creating_a_vbs_backup.rst,Creating a VBS Backup,/home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0152878917.png,figure,31,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,"Expected 10 image results, but received 4 unique valid results. Missing results for: /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0128947790.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148548673.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148405304.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148405236.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0123883658.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148548842.png",,200,stop,1,"Shows the 'Disks' panel with 'Available Disks' and 'Selected Disks' lists, matching Figure 1 'Selecting a disk'. | Columns (Name, Status, ECS/BMS, Capacity) and checkboxes align with the RST step of selecting EVS disks. | Right panel shows 'No data available' consistent with zero selected disks.",No backup configuration area visible (expected in a later step).
umn/source/getting_started/creating_a_vbs_backup.rst,Creating a VBS Backup,/home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0152879159.png,figure,46,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,"Expected 10 image results, but received 4 unique valid results. Missing results for: /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0128947790.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148548673.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148405304.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148405236.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0123883658.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148548842.png",,200,stop,1,"Shows 'Configure Backup' with Auto Backup and Immediate Backup options, matching Figure 2. | Includes Backup Policy dropdown, Create Policy button, Name, Description, Full Backup Enable, and Tag fields as described in the RST. | Encrypted note and tag key/value inputs match the parameter tables.",No selected-disk list visible in this cropped view.
umn/source/getting_started/creating_a_vbs_backup.rst,Creating a VBS Backup,/home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0152878946.png,figure,126,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,"Expected 10 image results, but received 4 unique valid results. Missing results for: /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0128947790.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148548673.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148405304.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148405236.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0123883658.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148548842.png",,200,stop,1,"Shows a disk selected in 'Available Disks' and moved to 'Selected Disks (1)', matching Figure 3. | A delete (trash) icon appears in the Operation column, matching the RST description of removing disks. | Status 'Available' aligns with the precaution that disks must be Available or In-use.",No backup configuration area visible in this cropped view.
umn/source/getting_started/creating_a_vbs_backup.rst,Creating a VBS Backup,/home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0152879164.png,figure,141,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,"Expected 10 image results, but received 4 unique valid results. Missing results for: /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0128947790.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148548673.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148405304.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148405236.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0123883658.png, /home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148548842.png",,200,stop,1,"Shows 'Configure Backup' with Immediate Backup selected and Auto Backup unchecked, matching Figure 4. | Name, Description, Full Backup Enable, and Tag fields match the RST parameter descriptions. | Encrypted note 'Backups of 1 disks will be encrypted' is consistent with the encryption note.",No selected-disk list visible in this cropped view.
umn/source/getting_started/operation_procedure.rst,Operation Procedure,/home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0162814404.png,figure,12,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/operation_guide/data_backup_using_a_backup_policy/associating_evs_disks_with_a_backup_policy_or_disassociating_them_from_a_backup_policy.rst,Associating EVS Disks with a Backup Policy or Disassociating Them from a Backup Policy,/home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148548673.png,substitution_image,68,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a location/region pin icon, used in step 2 to select a region and a project in the upper left corner. | A generic location marker is a reasonable representation of a region selector but does not show the actual console UI.","No visible region/project selection interface, only an isolated pin symbol."
umn/source/operation_guide/data_backup_using_a_backup_policy/associating_evs_disks_with_a_backup_policy_or_disassociating_them_from_a_backup_policy.rst,Associating EVS Disks with a Backup Policy or Disassociating Them from a Backup Policy,/home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148563132.png,substitution_image,70,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a downward chevron/expand icon, used in step 5 to expand the list of associated EVS disks for a selected backup policy. | A generic expand indicator is consistent with revealing the associated disks list but does not show the list itself.","No visible associated EVS disks list or policy row, only an isolated chevron symbol."
umn/source/operation_guide/data_backup_using_a_backup_policy/creating_a_backup_policy.rst,Creating a Backup Policy,/home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0148548673.png,substitution_image,103,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a location pin icon used as |image1| in step 2 for selecting region and project. | The icon is a standard map/location marker consistent with a region selector in a management console. | It is a small symbolic graphic, not a full UI screenshot.",The icon alone does not show the region/project selection dropdown that would appear after clicking it.
umn/source/operation_guide/data_backup_using_a_backup_policy/creating_a_backup_policy.rst,Creating a Backup Policy,/home/ubuntu/repotesting/volume-backup-service/umn/source/_static/images/en-us_image_0128947790.png,substitution_image,104,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image shows 'Service List' with a dropdown arrow, matching |image2| in step 3. | The RST instructs to click this to navigate under Storage to Volume Backup Service. | It is a small isolated UI menu button, classified as an icon.","The dropdown menu contents (Storage, Volume Backup Service) are not visible in the image."
