document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000002392005504.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001980011633.png,figure,17,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891761.png,figure,43,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_public_ip_address_of_obs_over_public_networks/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001949612340.png,figure,21,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_public_ip_address_of_obs_over_public_networks/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001949612332.png,figure,41,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/configuring_a_vpc_endpoint_for_communications_across_vpcs_of_different_accounts/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891873.png,figure,38,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/configuring_a_vpc_endpoint_for_communications_across_vpcs_of_different_accounts/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001949612412.png,figure,20,other,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"The image is an architectural schematic (Figure 1) showing cross-VPC communications, matching the RST description of ECS in VPC 1 accessing a load balancer in VPC 2 via a VPC endpoint. | Labels (Region, VPC 1, VPC 2, ECS, VPC endpoint, VPC endpoint service, Load balancer) align with the scenario described in the Overview section. | The one-way arrow from VPC endpoint to VPC endpoint service is consistent with the note that only one-way communications are supported. | No interactive UI controls are present; it is a static diagram.","The diagram does not explicitly label the two VPCs as belonging to different accounts, though the RST states this. | The two cloud resource icons on the right are unlabeled, so their exact role is not specified in the image."
umn/source/getting_started/configuring_a_vpc_endpoint_for_communications_across_vpcs_of_different_accounts/step_2_add_a_whitelist_record.rst,Step 2: Add a Whitelist Record,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891813.png,substitution_image,78,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Image is a location pin icon used as |image1| in the RST for selecting region and project | The RST says 'Click |image1| in the upper left corner and select the required region and project' | The icon is a generic UI element (map marker) not specific to VPC endpoint functionality | It serves as a navigation aid in step 1 of the whitelist procedure,The icon is shown in isolation without surrounding UI context | No text label is visible on the icon itself
umn/source/getting_started/configuring_a_vpc_endpoint_for_communications_across_vpcs_of_the_same_account/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001949612308.png,figure,37,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/configuring_a_vpc_endpoint_for_communications_across_vpcs_of_the_same_account/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001949612412.png,figure,20,other,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"The diagram depicts a Region containing VPC 1 and VPC 2, matching the same-account, same-region scenario in the Overview. | It shows ECS in VPC 1, a VPC endpoint, a VPC endpoint service, and a load balancer in VPC 2, consistent with the RST description of cross-VPC communication. | The one-way arrow from VPC endpoint to VPC endpoint service aligns with the note that only one-way communications are supported. | This is Figure 1 'Cross-VPC communications' referenced in the Overview section.","The diagram does not explicitly label the private IP address used for access, though the RST mentions it."
umn/source/permissions_management/creating_a_user_and_granting_vpc_endpoint_permissions.rst,Creating a User and Granting VPC Endpoint Permissions,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001949612456.png,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/quotas.rst,Quotas,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0275513364.png,substitution_image,49,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to click it to select a region and project. | It is used as a navigation element in the 'How Do I View My Quotas?' section, step 2. | The icon is a small, isolated UI symbol (map marker), fitting the 'icon' classification. | No contradiction between the icon's appearance and its described function in the document.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it appears in the upper-left corner of a console."
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001949612416.png,figure,19,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001949612412.png,figure,55,other,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"The diagram is an architecture illustration (not a UI screenshot or icon), matching the 'other' classification. | It depicts a Region containing VPC 1 (ECS + VPC endpoint) and VPC 2 (VPC endpoint service + Load balancer + two cloud resources), exactly as described in the Cross-VPC Connection section. | The flow from ECS through VPC endpoint to VPC endpoint service to the load balancer matches the RST statement that an ECS in VPC 1 accesses a load balancer in VPC 2 over a private network. | Labels (Region, VPC 1, VPC 2, ECS, VPC endpoint, VPC endpoint service, Load balancer) are clearly visible, providing strong visual evidence. | No interactive controls or buttons are present in the image.","The diagram does not explicitly label the private network path or the two backend cloud resources, though they are implied by the load balancer connections."
umn/source/service_overview/product_concepts/region_and_az.rst,Region and AZ,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0184026531.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/what_is_vpc_endpoint.rst,What Is VPC Endpoint?,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001980011813.png,figure,25,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/vpc_endpoint_services/managing_whitelist_records_of_a_vpc_endpoint_service.rst,Managing Whitelist Records of a VPC Endpoint Service,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891813.png,substitution_image,72,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'Click [icon] in the upper left corner and select the required region and project.' | It is used as a generic navigation/region-selector icon in both the Add and Delete whitelist record procedures. | The icon is a standard UI symbol for region or location selection, not specific to VPC endpoint service management. | No contradiction with the RST content; it serves as a placeholder for the region/project selector button.","The icon is very small and low-resolution, making it difficult to confirm exact visual details. | No surrounding UI context is visible to confirm its placement in the upper left corner of the console."
umn/source/vpc_endpoints/configuring_access_control_for_a_vpc_endpoint.rst,Configuring Access Control for a VPC Endpoint,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891813.png,substitution_image,67,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location-pin icon, used in the RST as |image1| and |image2| for step 2: 'Click [icon] in the upper left corner and select the required region and project.' | A location pin is a common UI symbol for region/area selection in cloud management consoles, making it contextually appropriate for selecting a region. | The icon is generic and not specific to VPC endpoints or access control; it serves as a navigation element rather than illustrating the core topic. | The icon is used identically in both the 'Enable Access Control' and 'Delete a Whitelist Record' sections as a standard navigation step. | No contradiction between the icon and the RST description of its use.","The icon does not display any text or label indicating 'region' or 'project' selection. | The surrounding UI context (upper-left corner placement, dropdown menu) is not visible in the isolated icon image."
umn/source/vpc_endpoints/creating_a_vpc_endpoint.rst,Creating a VPC Endpoint,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891813.png,substitution_image,242,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"A small location/map-pin icon, matching the |image1|/|image2| reference used in step 2 ('Click ... in the upper left corner and select the required region and project'). | It is a generic region selector pictogram rather than a VPC-endpoint-specific graphic. | Clearly an isolated symbolic icon, not a full UI screenshot.",The icon alone does not show the region/project selection UI; it only represents the region selector control.
umn/source/vpc_endpoints/deleting_a_vpc_endpoint.rst,Deleting a VPC Endpoint,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891813.png,substitution_image,38,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small location pin/marker icon used as the region/project selector in step 2 | The RST references this as |image1| for clicking in the upper left corner to select region and project | The icon is a generic location pin, consistent with a region selector in a cloud management console | It is a preliminary navigation step, not directly related to the VPC endpoint deletion action itself","The icon is small and low-resolution, making it difficult to confirm exact visual details | No surrounding UI context is visible to confirm it is in the upper left corner of a management console"
umn/source/vpc_endpoints/managing_tags_of_a_vpc_endpoint.rst,Managing Tags of a VPC Endpoint,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891813.png,substitution_image,100,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker pictogram, i.e. an isolated UI symbol, so it is classified as an icon. | In the RST it is referenced as |image1|/|image2|/|image3| for the step 'Click ... in the upper left corner and select the required region and project', which is consistent with a region/project selector icon. | The icon is a generic navigation symbol and is not specific to VPC endpoints or tag management, so topic and detail match are moderate. | It appears in the Add a Tag, Edit a Tag, and Delete a Tag sections as the same navigation step, making it relevant to those sections. | The visual content (a location pin) clearly matches the described region/project selector, with no contradiction to the text.","No surrounding console UI is visible, so the icon's exact role as the region/project selector cannot be confirmed from the image alone. | The image contains no text or label to identify it explicitly."
umn/source/vpc_endpoints/querying_and_accessing_a_vpc_endpoint.rst,Querying and Accessing a VPC Endpoint,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891813.png,substitution_image,213,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"A small location pin/marker icon used as the region selector in the upper left corner | Referenced as |image1| in step 2: 'Click |image1| in the upper left corner and select the required region and project' | The icon is a generic location symbol, appropriate for a region/project selector","The icon is very small and low-resolution, making it hard to confirm exact visual details"
