document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001980011633.png,figure,17,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The diagram accurately illustrates the network architecture described in the text. | It correctly shows the VPC, subnets, VPC endpoints, DNS/OBS services, VPN/Direct Connect, and IDC components.",
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891761.png,figure,43,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,The flowchart correctly outlines the configuration steps mentioned in the document. | It matches the 'Configuration flowchart' caption and visually represents the process from start to end.,
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/step_1_create_a_vpc_endpoint_for_connecting_to_dns.rst,Step 1: Create a VPC Endpoint for Connecting to DNS,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000002185000233.png,figure,30,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image displays the 'Create VPC Endpoint' form page as described in step 4. | Visible interactive buttons such as 'Create Now' and 'Cloud service' are magenta, satisfying the color rule. | Directly corresponds to Figure 1 and the parameter table in the RST.",
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/step_1_create_a_vpc_endpoint_for_connecting_to_dns.rst,Step 1: Create a VPC Endpoint for Connecting to DNS,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000002184964665.png,figure,138,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the 'Summary' tab of a VPC endpoint, matching Figure 2. | Displays endpoint details like Status (Accepted) and Type (Interface) as described in step 8. | Clear UI screenshot illustrating the post-creation state.",
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/step_1_create_a_vpc_endpoint_for_connecting_to_dns.rst,Step 1: Create a VPC Endpoint for Connecting to DNS,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891813.png,substitution_image,143,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,1,Image is a location pin icon used for region selection. | Corresponds to the |image1| reference in step 2 for selecting the region and project. | Small symbolic graphic consistent with UI navigation elements.,
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/step_2_create_a_vpc_endpoint_for_connecting_to_obs.rst,Step 2: Create a VPC Endpoint for Connecting to OBS,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000002185004557.png,figure,32,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Matches Figure 1 in the RST document, illustrating the 'Create VPC Endpoint' page. | The 'Create Now' button is magenta, adhering to the UI style rule. | Clearly displays the form fields and parameters described in the procedure.",
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/step_2_create_a_vpc_endpoint_for_connecting_to_obs.rst,Step 2: Create a VPC Endpoint for Connecting to OBS,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000002149740152.png,figure,114,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Matches Figure 2 in the RST document, showing the 'Summary of the VPC endpoint' page. | Displays the 'Accepted' status and 'Gateway' type as described in the text. | Clearly illustrates the final step of viewing endpoint details after creation.",
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/step_2_create_a_vpc_endpoint_for_connecting_to_obs.rst,Step 2: Create a VPC Endpoint for Connecting to OBS,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001979891813.png,substitution_image,119,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches the region selector icon referenced in step 2 of the RST document. | Visually represents the location pin used to select the region and project.,
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_private_ip_address_of_obs_over_private_networks/step_3_access_obs.rst,Step 3: Access OBS,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000002149659408.png,figure,34,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Summary' tab of a VPC endpoint, directly matching the figure caption and Step 1 context. | The active 'Summary' tab text is magenta, satisfying the mandatory button color rule. | UI fields like ID, VPC, Status, and IPv4 Address clearly illustrate the endpoint details view described in the text.",None.
umn/source/getting_started/configuring_a_vpc_endpoint_for_accessing_the_public_ip_address_of_obs_over_public_networks/overview.rst,Overview,/home/ubuntu/repotesting/vpc-endpoint/umn/source/_static/images/en-us_image_0000001949612340.png,figure,21,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image is a network architecture diagram that visually represents the scenario described in the text: connecting an IDC to a VPC via VPN or Direct Connect to access OBS through a VPC endpoint.,
