document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/applying_for_a_cloud_waf_instance.rst,Applying for a Cloud WAF Instance,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361496364.jpg,substitution_image,41,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location pin/marker icon, consistent with a region or project selector in a management console. | The RST step 2 instructs to click this icon in the upper left corner to select a region or project, which matches the location pin semantics. | The icon is a generic UI navigation element, not specific to WAF, but it is part of the WAF application workflow. | The image is clearly visible and unambiguous as a location/region selector icon.","The image is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is in the upper left corner of a management console."
umn/source/applying_for_a_cloud_waf_instance.rst,Applying for a Cloud WAF Instance,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361654944.png,substitution_image,42,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), a standard navigation menu toggle. | The RST step 3 instructs to click this icon in the upper left corner to open the menu and choose Web Application Firewall (Dedicated) under Security, which matches the hamburger menu semantics. | The icon is a generic UI navigation element, not specific to WAF, but it is part of the WAF application workflow. | The image is clearly visible and unambiguous as a hamburger/menu icon.","The image is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is in the upper left corner of a management console."
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395174933.png,substitution_image,150,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"Small location-pin icon used as the region/project selector in the WAF console, matching step 2 description. | Referenced as |image1| in the RST for selecting a region or project in the upper left corner. | Icon is small and low-resolution but clearly a map/location pin symbol.",Icon is very small and slightly blurry; exact styling details are hard to discern.
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395334641.png,substitution_image,151,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,Hamburger menu icon (three horizontal lines) used to open the service navigation menu in the WAF console. | Referenced as |image2| in the RST for choosing Web Application Firewall (Dedicated) under Security. | Icon is small and low-resolution but the three-line pattern is recognizable.,Icon is very small and slightly blurry; exact color and styling are hard to confirm.
umn/source/configuring_protection_policies/configuring_a_known_attack_source_rule_to_block_specific_visitors_for_a_specified_duration.rst,Configuring a Known Attack Source Rule to Block Specific Visitors for a Specified Duration,,,,,,,,,,,,,,,fail,backend_error,,,,,2,,
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361655288.png,figure,37,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395175325.png,figure,52,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the 'Event Distribution' donut chart labeled Figure 2 in the RST. | Shows total 18 with Javascript challenges 16, JavaScript authentication 2, Other 0, matching the RST text exactly. | Appears in the 'How JavaScript Anti-Crawler Protection Works' section as expected.",
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361655788.png,figure,104,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the Feature Library tab (Figure 3) showing anti-crawler detection features. | Shows Protective Action 'Block' selected and Scanner enabled by default, matching the RST. | Lists Search Engine, Scanner, Script Tool, Other with status toggles as described in Table 1.",
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002395335661.png,figure,142,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the JavaScript tab (Figure 4) with Status toggle on and Protection Mode 'Protect specified requests'. | Shows a rule table with wafjs, Path Include /admin, Effective Date Immediate, matching Table 2 example values. | Includes the CDN/Cookie caution banner consistent with the RST important note.",
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,/home/ubuntu/repotesting/web-application-firewall-dedicated/umn/source/_static/images/en-us_image_0000002361655832.png,figure,164,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is the 'Exclude Rule' dialog (Figure 5) for protecting all paths except a specified path. | Fields Rule Name wafjs, Path /admin, Logic Include, Effective Date Immediate match Table 2. | Contains Confirm and Cancel buttons as described in the RST step.",
